,text,true,model,true_num,model_num
0,pack variety com www http href stash pie grey earl twinings selection bergamot bigelow pecan,bad,bad,-2,-2
2,piece beef jerky everything season break pill training pocket jack two tender crush nose garbage,bad,good,-2,2
3,mix cream ice pour strawberry stir pancake waffle muffin pomegranate frozen whip grainy instead lollipop,good,bad,2,-2
5,magnesium oil olive energy diamond bowel blue rda body blood almond tolerance skin allowance source,good,bad,2,-2
7,dry liver freeze gravy movie walk cube lick style portion popped tub reward due beg,bad,bad,-2,-2
8,bone bubble rawh oat gum chewer miso slim china steel mushroom bulldog dubble chew groat,bad,bad,-2,-2
9,year month friend husband gift weight ago lose already none week healthy two thrill start,bad,good,-2,2
10,can't run wait iced cocoa bone beat steep alot watery mug canister hear one's everytime,bad,bad,-2,-2
11,ingredient honey list special contains raw splenda berry test label china contain prov book usa,bad,good,-2,2
15,package item receive rice fresh soup disappointed white fast absolutely anyone wrong noodle awesome return,bad,bad,-2,-2
18,know review since smell bad think people i'll read reviewer though see open another seal,bad,good,-2,2
20,oil salt chew energy help gum bone hair body toy olive skin blue magnesium night,bad,bad,-2,-2
21,problem pay sent ball convenience place crystal leave fancy litter gobble scoop mate spray skeptical,bad,bad,-2,-2
23,absolutely grain there's process terrible experience satisfied replace sticky wild anyway disgust lol freshness average,bad,good,-2,2
24,package work receive surprised sample recipe future description party damage pack pleasantly careful say way,bad,bad,-2,-2
25,bottle shipping plastic iced delivery glass lemon seller mint lime peach forward prime drinking count,good,bad,2,-2
28,feel normal health oreo birthday particular heart notice dairy adult crisp chia kashi omega- hairball,bad,bad,-2,-2
29,right bean candy quick refresh grind mango beverage sweetness ant pineapple cold antiox unique grinder,good,bad,2,-2
32,place container easily soft hold melt together open mess shape stuck chewy somewhat cool around,bad,good,-2,2
33,stuff coconut health tell believe difference cannot care please notice benefit fact pure horrible case,bad,good,-2,2
34,pack com www http href fill pie pecan can europe whole clif brewer larabar single,bad,bad,-2,-2
37,n't milk diet stomach soy substitute shake sensitive nasty upset allergic dissolve pain gallon zero,good,bad,2,-2
40,per let must choice simply sit seed fish totally age vegan wine jelly ten kit,bad,bad,-2,-2
45,green protein powder vitamin body soy normal fiber source mixed contains shake daily con meal,good,good,2,2
51,feel actually friend fact notice normal sort particular otherwise issue trouble crisp sensitive gummy might,bad,bad,-2,-2
57,away roast dark full rich flavorful pick rest extremely world double drinker magic consistently drank,bad,bad,-2,-2
58,mix less problem diet clean switch coat vet crazy ball feed kibble leave wellness spoon,bad,good,-2,2
59,bottle shipping delivery subscribe hazelnut prime peach charge wine cost gallon kit sparkle mio cola,bad,bad,-2,-2
60,notice believe life show completely face supplement heart fix number common sleep habit doctor recent,bad,good,-2,2
65,buying sauce regular serve per save cost cheaper red spicy pepper pay subscribe bulk option,bad,good,-2,2
67,bar almond granola nut oat cluster omega- chia yogurt flaxseed clif flax cereal shiitake mar,good,bad,2,-2
69,ingredient color corn allergy puppy source stevia research filler allergic main yellow list human soy,bad,good,-2,2
74,value teeth difficult msg pea bone rawh spent what's glutamate monosodium europe potential inexpensive japanese,bad,bad,-2,-2
78,green vitamin mountain form teaspoon nutritional mineral smoothie load grass calcium hemp smoothy spaghetti iron,bad,good,-2,2
80,thing quite expect probably i'd seem n't either wish stock certainly stir though kind end,bad,good,-2,2
81,pasta pill diamond rice almond magnesium rda blue cook brown blood allowance sore bbq approximately,bad,bad,-2,-2
83,calorie low fat protein fiber weight serve sodium gram high per carbs diet nutrition carb,good,good,2,2
84,especially often mind set instant five decent starbucks total roll via flower classic bigger grape,bad,good,-2,2
85,morning usually light breakfast packet easily mild indiv pour convenient liqu wrap stevia ual afternoon,bad,bad,-2,-2
86,keep container easily melt hold mess shape stuck plastic room bigger loose together separate expectation,bad,good,-2,2
89,thought anything nothing end type house else stick course bite opinion boil touch there's pumpkin,bad,bad,-2,-2
90,oil bone toy olive magnesium diamond blue body blood bowel rda truffle muscle tolerance heart,bad,bad,-2,-2
91,vanilla iced indiv caffeine soda orange stevia lemon mango beverage ually flower herbal illy lipton,bad,bad,-2,-2
95,receive rice absolutely disappointed white fast noodle dish return customer service anyway terrible satisfied process,bad,bad,-2,-2
99,always sure last open whole case they're week maybe couple jar that's part mine someone,bad,good,-2,2
101,snack bar cooky sweet cereal fruit butter peanut nut cookie cracker almond apple crunchy oatmeal,good,bad,2,-2
107,cheese bake homemade could fry slice onion spoon put contact spread sandwich oven somewhere cardboard,good,bad,2,-2
109,cut wheat actually miss texture oat biscuit seriously quaker unlike winner country absolute regular family,bad,good,-2,2
110,ingredient color corn allergy puppy source stevia research filler allergic list yellow main human soy,bad,good,-2,2
111,dec hope date online past maybe original shipment anywhere expiration previous hol could everywhere disappointment,bad,good,-2,2
113,bar cereal sweet nut yummy oatmeal granola chewy blueberry banana dessert crunch raisin tart crunchy,good,bad,2,-2
115,back wonderful new home change amaze next absolutely issue thank left wait difficult office fantastic,bad,bad,-2,-2
117,sweet delicious bar milk cereal texture nut almond yummy cinnamon fill granola strawberry chewy caramel,good,bad,2,-2
119,anything juice guess wrong throw picture immediately actual concentrate squeeze strip photo funny pas mislead,bad,bad,-2,-2
120,calorie low fat protein weight sodium gram high fiber diet content carbs lose substitute carb,good,good,2,2
122,excellent white yummy egg oatmeal gluten-free mill excite bob's frost call marshmallow lovely biscotti service,good,bad,2,-2
123,rice season tomato tuna steak pea fudge hol mustard wasabi bubble usa cookie oreo creme,good,bad,2,-2
130,sweet bar perfect milk texture yummy soft cinnamon plain granola strawberry yogurt blueberry combination addict,good,bad,2,-2
132,oil salt chew energy gum bone hair body toy olive blue skin magnesium help night,bad,good,-2,2
133,year old easy save soup carry subscribe area since prepare tomato buying sign almost seafood,bad,good,-2,2
135,size baby quickly daughter thanks work night start month since formula pump move old child,bad,good,-2,2
137,ever cereal sell unfortunately truly stale pancake vendor appreciate threw understand think could fell allow,bad,good,-2,2
142,market difference pasta stomach mean brown hold soda sour coat compare cook upset nicely folk,bad,good,-2,2
143,need result clean cheap basically breath greenies concerned major trust tummy pet space finicky dental,bad,good,-2,2
144,mix sauce easy hot cheese recipe bread spicy pepper cook chicken season cake salad meal,good,good,2,2
146,put thought anything nothing stick else something course boil cover end house air burn know,bad,good,-2,2
147,bought arrive jar pretty still tin could gift crack shell four otherwise fancy think second,bad,good,-2,2
148,keep easily container melt plastic mess work hold shape stuck room loose bigger expectation break,bad,good,-2,2
154,absolutely white fast super return customer service experience process terrible horrible satisfied replace sticky lol,good,bad,2,-2
155,year old save soup ago awesome subscribe area stock discover chili tomato since vegan still,good,good,2,2
156,value money difficult quantity bulk msg okay bacon teeth what's glutamate monosodium con potential although,bad,bad,-2,-2
160,nice salt excellent cracker please sea surprise unique table wine pork kit puff describe graham,bad,good,-2,2
161,say can't run wait cocoa iced dont least four alot know personally bone watery sure,bad,good,-2,2
163,chip star potato reason salty corn veggie thin rating kettle rate garden addictive greasy sesame,good,bad,2,-2
164,back wonderful new home change next amaze issue thank left lose difficult office fantastic anywhere,bad,good,-2,2
169,help coconut difference tell cannot benefit everyday pleasant told improve health munch along temperature many,bad,good,-2,2
170,hot milk cold stomach diet substitute shake warm sensitive nasty soy dissolve upset pain dairy,good,good,2,2
171,vanilla iced indiv caffeine espresso stevia mango fuel ually flower herbal jet illy lipton jasmine,good,bad,2,-2
172,case salty sour live hooked suggest crispy cheddar tangy less since heaven market smallest new,bad,good,-2,2
175,pasta stomach pill dont freeze upset pocket sensitive finger staple tummy rinse tire tongue alcohol,bad,bad,-2,-2
177,salt bean dish sea cooking pork kitchen gourmet rind table grinder basic process jamaica cook,good,bad,2,-2
180,delicious small dry hard smaller surprised large larger liver size freeze locally six perfect tire,bad,bad,-2,-2
182,calorie low fat protein weight fiber content high sodium gram diet substitute carbs lose lower,good,good,2,2
183,always case salty awesome live sour hooked tuna cheddar crispy pantry suggest since new tangy,bad,bad,-2,-2
184,perfect easy shipping con fast quick delivery seller ering pro reach reasonably bonus tad pick-me-up,good,bad,2,-2
185,hot packet cream ice machine leaf cold mild iced indiv pot cocoa breakfast pour convenient,bad,bad,-2,-2
187,favorite blend black bitter k-cups keurig wife drinking k-cup aftertaste decaf choice caffeine enough perfect,good,good,2,2
188,free hard gluten value difficult packaging bulk search hair damage prime available shampoo conditioner scalp,good,good,2,2
189,caramel top sugar cake wine california vanilla drizzle natural mmmm kernel flip monster mmmmm pan,good,bad,2,-2
190,free gluten salmon balance wet turkey diet kitten natural ocean fussy since limit grain important,good,good,2,2
191,cooky cookie mouth raspberry thin brownie fudge xylitol oreo creme package gooey pan think soft,good,bad,2,-2
192,seem may prefer soft version everyone super opinion slightly matter chewy short tart forward although,bad,good,-2,2
193,texture cut pasta wheat version actually miss search oat office biscuit minute cook seriously type,bad,good,-2,2
194,stuff coconut case health weight tell difference please benefit con include lose immediately cause realize,bad,bad,-2,-2
196,oil spice olive cooking christmas garlic worst smoke italian sister recipe regularly virgin canola extra,good,good,2,2
197,calorie protein low fat weight sodium fiber gram high content diet carbs lose substitute carb,good,good,2,2
198,could cheese bake finally homemade fry slice spoon spread onion stand cardboard oven somewhere kraft,good,bad,2,-2
199,sweet delicious bar milk cereal texture nut almond yummy cinnamon oatmeal fill granola strawberry chewy,good,bad,2,-2
202,dry feel worth pasta brown stomach pill cook liver dont coat extremely wet money upset,bad,bad,-2,-2
204,always case salty awesome live sour hooked tuna cheddar crispy pantry tangy since new suggest,bad,bad,-2,-2
207,hair clear heard thick wash scent shampoo conditioner oily manufacturer shiny scalp head apply shower,good,bad,2,-2
208,big nut plus extra fan etc mixed hit microwave dessert flavour cashew thats walnut car,good,bad,2,-2
209,coconut tell difference cannot benefit along told pleasant everyday pure level improve temperature munch admit,bad,good,-2,2
211,stuff coconut tell difference cannot told benefit face wow everyday improve munch admit skin pure,bad,good,-2,2
213,ever never far sell version hop unfortunately truly chewy pancake think fudge whole muffin simply,bad,bad,-2,-2
216,diet feed change pet vet switch formula wellness grain research kibble allergy eats science week,good,good,2,2
217,help chew hour honey energy minute night hair toy bone skin drop effect trip within,bad,bad,-2,-2
218,cheese bread bake follow homemade spread slice spoon toast direction fry sandwich usual mustard oven,good,good,2,2
