,text,topic,text_split,cos_sim
0,encryption chip clipper security phone privacy public algorithm secure escrow message encrypt agency technology secret,['security'],"['encryption', 'chip', 'clipper', 'security', 'phone', 'privacy', 'public', 'algorithm', 'secure', 'escrow', 'message', 'encrypt', 'agency', 'technology', 'secret']",0.7045084953308105
1,function code text islam muslim null subject error reference date output application open research translation,['research'],"['function', 'code', 'text', 'islam', 'muslim', 'null', 'subject', 'error', 'reference', 'date', 'output', 'application', 'open', 'research', 'translation']",0.6606852968533834
2,package fresh item receive rice arrive gift disappointed white fast noodle awesome packaging anyone return,['gift'],"['package', 'fresh', 'item', 'receive', 'rice', 'arrive', 'gift', 'disappointed', 'white', 'fast', 'noodle', 'awesome', 'packaging', 'anyone', 'return']",0.720234622557958
3,chew pod pound toy bone caramel larger play pet two minute rawh puppy target german,"['pet', 'pet']","['chew', 'pod', 'pound', 'toy', 'bone', 'caramel', 'large', 'play', 'pet', 'two', 'minute', 'rawh', 'puppy', 'target', 'german']",0.5966491083304087
4,player hockey season league goal leaf playoff division pick next flyer penalty draft playing final,['hockey'],"['player', 'hockey', 'season', 'league', 'goal', 'leaf', 'playoff', 'division', 'pick', 'next', 'flyer', 'penalty', 'draft', 'play', 'final']",0.468403426806132
5,vanilla deal smooth brew several machine french maker shop sample pot espresso house two drinker,"['coffee', 'coffee']","['vanilla', 'deal', 'smooth', 'brew', 'several', 'machine', 'french', 'maker', 'shop', 'sample', 'pot', 'espresso', 'house', 'two', 'drinker']",0.5724063475926717
6,sweet bar crunchy granola crunch yogurt raisin combination flake snack cereal almond cranberry nutritious tooth,['granola'],"['sweet', 'bar', 'crunchy', 'granola', 'crunch', 'yogurt', 'raisin', 'combination', 'flake', 'snack', 'cereal', 'almond', 'cranberry', 'nutritious', 'tooth']",0.6642744859059652
7,player season hockey league baseball goal division period pittsburgh pick leaf next boston mike chicago,['hockey'],"['player', 'season', 'hockey', 'league', 'baseball', 'goal', 'division', 'period', 'pittsburgh', 'pick', 'leaf', 'next', 'boston', 'mike', 'chicago']",0.4627191146214803
8,window display screen color manager server application create client visual pixel colors size mode colormap,['display'],"['window', 'display', 'screen', 'color', 'manager', 'server', 'application', 'create', 'client', 'visual', 'pixel', 'color', 'size', 'mode', 'colormap']",0.816140886147817
9,green wonderful bean vanilla black drinking honey ice orange cold iced indiv lemon caffeine refresh,['drink'],"['green', 'wonderful', 'bean', 'vanilla', 'black', 'drinking', 'honey', 'ice', 'orange', 'cold', 'iced', 'indiv', 'lemon', 'caffeine', 'refresh']",0.6497365017731984
10,health medical increase national cancer report among child april center newsletter page disease research volume,"['healthcare', 'healthcare']","['health', 'medical', 'increase', 'national', 'cancer', 'report', 'among', 'child', 'april', 'center', 'newsletter', 'page', 'disease', 'research', 'volume']",0.5713748633861542
11,switch input signal audio circuit helmet level output voltage noise build relay receiver plastic frequency,"['communication', 'communication']","['switch', 'input', 'signal', 'audio', 'circuit', 'helmet', 'level', 'output', 'voltage', 'noise', 'build', 'relay', 'receiver', 'plastic', 'frequency']",0.7848574638366699
12,period boston pittsburgh player score detroit third chicago dave toronto louis baseball murray lemieux yankee,"['baseball', 'baseball']","['period', 'boston', 'pittsburgh', 'player', 'score', 'detroit', 'third', 'chicago', 'dave', 'toronto', 'louis', 'baseball', 'murray', 'lemieux', 'yankee']",0.40758638878663384
13,country land care germany happy money waste german health company proposal europe race european spend,['innovation'],"['country', 'land', 'care', 'germany', 'happy', 'money', 'waste', 'german', 'health', 'company', 'proposal', 'europe', 'race', 'european', 'spend']",0.5840175648530325
