,true,model_extracted,task,true_num,classification_metric
0,bad,-2,able amaze fill glad stop daily fantastic move prime plenty empty subtle job strongly litter,-2,0
1,bad,-2,able amaze fill stop glad daily fantastic move plenty prime empty job subtle strongly litter,-2,0
2,bad,-2,able amaze fill stop glad daily fantastic move plenty prime empty subtle job strongly litter,-2,0
3,bad,-2,able amaze glad fill stop fantastic daily move prime empty plenty subtle job strongly litter,-2,0
4,good,-2,absolute church truth doug scripture symbol libxmu font bible free undefined type motif error application,2,0
5,bad,2,absolute church truth mission nasa doug mars earth free application error type font email symbol,-2,1
6,good,-2,absolute mission church nasa mars earth truth lunar shuttle doug telescope symbol planetary libxmu launch,2,0
7,bad,-2,absolutely fast white rice service noodle terrible customer grain process satisfied super delivery disappointed experience,-2,0
8,good,-2,absolutely fast white super service customer return terrible satisfied horrible replace sticky process package disgust,2,0
9,bad,-2,absolutely grain experience soon there's process anyway true terrible satisfied knew average replace sort wild,-2,0
10,bad,-2,absolutely grain experience soon there's process true anyway knew terrible sort satisfied average replace wild,-2,0
11,bad,-2,absolutely grain experience there's soon process anyway terrible satisfied average true replace sort wild knew,-2,0
12,bad,-2,absolutely grain there's process experience terrible anyway satisfied replace average sticky wild soon disgust lol,-2,0
13,bad,-2,absolutely grain there's process experience terrible satisfied replace anyway sticky wild average disgust lol freshness,-2,0
14,bad,-2,absolutely grain there's process terrible experience satisfied replace sticky wild anyway disgust lol freshness average,-2,0
15,bad,-2,absolutely grain there's process terrible satisfied experience replace sticky wild disgust lol freshness anyway gag,-2,0
16,bad,-2,absolutely grain there's terrible satisfied process replace experience sticky wild disgust rice lol freshness gag,-2,0
17,good,-2,absolutely white fast super return customer service experience process terrible horrible satisfied replace sticky lol,2,0
18,good,-2,absolutely white fast super return service customer terrible satisfied horrible replace process experience sticky lol,2,0
19,good,-2,absolutely white fast super service customer return terrible satisfied horrible replace sticky process disgust lol,2,0
20,bad,-2,absolutely white fast super service customer return terrible satisfied horrible replace sticky process experience disgust,-2,0
21,bad,-2,access appear digex henry phone toronto informatik mass hamburg price bontchev level comet spencer saturn,-2,0
22,bad,-2,access appear digex henry toronto informatik phone hamburg mass intercon amanda spencer hole bontchev walker,-2,0
23,bad,-2,access appear henry phone digex experience price comet orbit level bontchev saturn secure mass nasa,-2,0
24,good,-2,access appear henry toronto digex cover mass star spencer constant jupiter universe theory radius galaxy,2,0
25,bad,-2,access appear henry toronto digex mass cover star spencer hole constant theory jupiter universe radius,-2,0
26,bad,-2,access appear henry toronto digex spencer cover mass star light hole theory black universe constant,-2,0
27,bad,-2,access henry appear toronto digex captain hole star mass spencer harris theory weaver universe light,-2,0
28,bad,-2,access henry digex appear toronto informatik intercon hole amanda walker mass hamburg spencer captain cover,-2,0
29,bad,-2,access henry toronto digex appear hole informatik intercon amanda walker spencer mass hamburg captain cover,-2,0
30,bad,-2,access toronto henry appear digex hole informatik intercon spencer walker amanda captain hamburg mass star,-2,0
31,bad,-2,access toronto henry appear digex hole informatik intercon spencer walker amanda hamburg star mass cover,-2,0
32,bad,-2,access toronto henry appear digex hole informatik intercon walker amanda spencer captain hamburg mass cover,-2,0
33,bad,-2,access toronto henry digex appear hole informatik intercon amanda walker spencer hamburg mass captain cover,-2,0
34,bad,-2,actually texture cut version wheat pasta search miss cook office oat biscuit unlike seriously winner,-2,0
35,bad,-2,actually texture cut version wheat pasta search miss cook office unlike oat biscuit seriously winner,-2,0
36,bad,-2,actually texture cut version wheat pasta search miss unlike oat biscuit seriously winner similar standard,-2,0
37,bad,-2,actually texture cut wheat miss oat biscuit unlike seriously quaker country winner absolute whole swiss,-2,0
38,bad,-2,address send request bear militia amendment receive constitution arms shall mailing free organize regulate organization,-2,0
39,good,-2,address send request bear militia receive amendment constitution arms shall mailing free organize regulate organization,2,0
40,bad,-2,address send request receive bear militia free amendment shall constitution arms mailing organize sent regulate,-2,0
41,bad,-2,address send request receive militia bear amendment mailing arms shall constitution organize regulate free expo,-2,0
42,bad,-2,almond blue cocoa magnesium iced bitter wait grey diamond earl ounce rda beat bowel body,-2,0
43,bad,-2,almond body blue magnesium cause blood diamond level reminds nutrient bowel rda present approximately diarrhea,-2,0
44,bad,-2,almond body blue magnesium diamond blood cause reminds bowel rda nutrient level approximately diarrhea source,-2,0
45,good,-2,almond body blue magnesium diamond blood reminds cause bowel rda nutrient approximately diarrhea source level,2,0
46,bad,-2,almond body blue magnesium diamond blood reminds cause bowel rda nutrient approximately level diarrhea source,-2,0
47,bad,-2,almond body smooth blue magnesium cause diamond reminds increase peppermint bowel nutrient rda blood source,-2,0
48,bad,-2,almond smooth body blue magnesium cause diamond reminds increase bowel peppermint nutrient rda blood source,-2,0
49,bad,-2,always case salty awesome live sour hooked tuna cheddar crispy pantry since suggest new tangy,-2,0
50,good,-2,always case salty awesome live sour hooked tuna cheddar crispy pantry since tangy new suggest,2,0
51,bad,-2,always case salty awesome live sour hooked tuna cheddar crispy pantry suggest since new tangy,-2,0
52,bad,-2,always case salty awesome live sour hooked tuna cheddar crispy pantry tangy since new suggest,-2,0
53,bad,-2,always case salty awesome live sour hooked tuna suggest cheddar crispy pantry since tangy new,-2,0
54,bad,-2,always case salty awesome live sour tuna hooked cheddar crispy pantry tangy since new less,-2,0
55,bad,-2,always case salty live awesome sour hooked suggest tuna cheddar since crispy pantry tangy heaven,-2,0
56,bad,-2,always case salty live awesome sour hooked tuna suggest cheddar crispy pantry since tangy heaven,-2,0
57,bad,-2,always case salty live awesome suggest sour hooked tuna crispy cheddar since pantry tangy heaven,-2,0
58,bad,-2,always case salty live awesome suggest sour hooked tuna since cheddar crispy pantry tangy heaven,-2,0
59,bad,-2,always last buying whole open worth case they're that's hand couple jar part mine pouch,-2,0
60,bad,-2,always last sure case they're open couple jar week two whole part mine someone seed,-2,0
61,bad,-2,always powder several usually chai gold meal scoop replacement tablespoon living since nature authentic prefers,-2,0
62,good,-2,always powder vitamin aroma supplement teaspoon grow soy form along grass mineral hint hemp tablespoon,2,0
63,bad,-2,always several powder usually chai gold replacement scoop meal living tablespoon since nature authentic orgain,-2,0
64,bad,-2,always several powder usually chai replacement gold scoop living tablespoon since nature meal authentic orgain,-2,0
65,bad,-2,always several usually powder chai replacement gold scoop living since authentic orgain prefers buttermilk nature,-2,0
66,bad,-2,always sure case last they're couple jar open week two mine part someone seed pouch,-2,0
67,bad,-2,always sure case last they're couple week jar open two part mine someone seed pouch,-2,0
68,bad,-2,always sure last case they're couple week open jar two part mine someone seed pouch,-2,0
69,bad,-2,always sure last case they're two week couple jar part mine maybe someone open seed,-2,0
70,bad,-2,always sure last open whole case they're week maybe couple jar that's part mine someone,-2,0
71,bad,-2,andrew disclaimer james chris lost columbia navy model gary behanna callison houston rick bird chuck,-2,0
72,bad,-2,andrew disclaimer james chris lost navy columbia gary behanna model callison rick bird houston baby,-2,0
73,bad,-2,andrew disclaimer lost james chris columbia behanna navy callison houston pack bird gary uoknor init,-2,0
74,bad,-2,andrew homosexual james lost cleveland chris cramer internet bitnet michael gatech virginia freenet clayton sexual,-2,0
75,bad,-2,andrew homosexual lost james chris cramer bitnet internet gatech michael cleveland virginia clayton sexual male,-2,0
76,bad,-2,andrew homosexual lost james chris cramer internet bitnet gatech michael clayton male sexual disclaimer virginia,-2,0
77,bad,-2,andrew james disclaimer chris lost model navy columbia gary behanna callison houston rick bird weight,-2,0
78,bad,-2,andrew lost disclaimer james chris columbia navy behanna callison houston bird pack init uoknor gary,-2,0
79,bad,-2,andrew lost james chris disclaimer model navy columbia gary behanna houston callison rick weight bird,-2,0
80,bad,-2,andrew lost james chris disclaimer model navy columbia gary behanna houston callison weight rick bird,-2,0
81,bad,-2,andrew lost james disclaimer model chris navy behanna houston callison weight columbia hell uoknor wild,-2,0
82,good,2,anonymous internet news usenet service privacy email electronic congress network user public bill site address,2,1
83,bad,2,anonymous news bill public conference congress vote internet usenet anon colorado member abuse service cview,-2,1
84,bad,2,anonymous news congress service bill anon internet usenet conference public server abuse privacy user electronic,-2,1
85,good,2,anonymous news service usenet conference congress public privacy email electronic internet network bill user server,2,1
86,bad,2,anonymous news service usenet privacy network electronic internet email site public user server congress archive,-2,1
87,good,2,anonymous private public news crime server conference internet privacy carry bill paul congress pretty abuse,2,1
88,bad,2,anonymous public private news crime server religion carry cview pretty bill internet paul congress conference,-2,1
89,good,-2,anonymous public private news crime server religion carry pretty bill cview internet paul hold thought,2,0
90,bad,-2,anyone son hair super oatmeal skin okay pure fall mom gas recently wash improve seriously,-2,0
91,bad,-2,anyone son super oatmeal body skin okay pure fall heard mom gas wash improve seriously,-2,0
92,bad,-2,anything juice guess wrong throw immediately think actual n't concentrate squeeze picture might could strip,-2,0
93,bad,-2,anything juice guess wrong throw picture immediately actual concentrate squeeze strip photo funny pas mislead,-2,0
94,bad,-2,anything juice guess wrong throw picture immediately actual concentrate squeeze strip think photo funny pas,-2,0
95,bad,-2,anything juice guess wrong throw picture immediately actual concentrate think squeeze strip photo might funny,-2,0
96,bad,-2,anything juice wrong guess throw immediately think n't concentrate squeeze actual could might photo strip,-2,0
97,bad,-2,anything juice wrong guess throw immediately think n't concentrate squeeze actual might could picture strip,-2,0
98,bad,-2,apartment building water left azerbaijani home woman city sumgait dept father face neighbor door crowd,-2,0
99,good,-2,apartment home left woman door father azerbaijani room building neighbor sumgait city mother later beat,2,0
100,bad,-2,appear access henry digex comet orbit phone toronto experience appreciate nasa galileo ghost backup mass,-2,0
101,bad,-2,appear access henry toronto hole digex star captain harris spencer mass theory light weaver black,-2,0
