,task,INPUT:dataset_name,OUTPUT:quality,homogenity,true,model_extracted,classification_metric
0,able amaze fill glad stop daily fantastic move prime plenty empty subtle job strongly litter,amazon_food,"['rather_bad', 'bad', 'rather_bad']",0.7,-1,2,1.0
1,able amaze fill stop glad daily fantastic move plenty prime empty job subtle strongly litter,amazon_food,"['bad', 'rather_good', 'rather_bad', 'rather_bad', 'bad', 'rather_bad', 'bad', 'good', 'bad', 'rather_bad', 'rather_bad', 'rather_bad']",0.5,-1,-2,0.0
2,able amaze fill stop glad daily fantastic move plenty prime empty subtle job strongly litter,amazon_food,"['bad', 'rather_bad', 'rather_bad']",0.7,-1,1,0.75
3,able amaze glad fill stop fantastic daily move prime empty plenty subtle job strongly litter,amazon_food,"['bad', 'bad', 'bad']",1.0,-2,1,0.75
4,absolute church truth doug scripture symbol libxmu font bible free undefined type motif error application,20newsgroups,"['rather_good', 'bad', 'bad', 'rather_good', 'rather_good']",0.6,1,1,0.75
5,absolute church truth mission nasa doug mars earth free application error type font email symbol,20newsgroups,"['rather_bad', 'rather_bad', 'bad', 'rather_bad', 'rather_bad']",0.8,-1,-1,0.25
6,absolute mission church nasa mars earth truth lunar shuttle doug telescope symbol planetary libxmu launch,20newsgroups,"['good', 'good', 'bad', 'good', 'good']",0.8,2,1,0.75
7,absolutely fast white rice service noodle terrible customer grain process satisfied super delivery disappointed experience,amazon_food,"['rather_bad', 'bad', 'rather_bad', 'good', 'bad', 'rather_bad']",0.5,-1,0,0.5
8,absolutely fast white super service customer return terrible satisfied horrible replace sticky process package disgust,amazon_food,"['bad', 'good', 'rather_good', 'rather_good', 'rather_bad', 'bad', 'good', 'good', 'good']",0.4,2,2,1.0
9,absolutely grain experience soon there's process anyway true terrible satisfied knew average replace sort wild,amazon_food,"['bad', 'bad', 'rather_bad']",0.7,-2,-2,0.0
10,absolutely grain experience soon there's process true anyway knew terrible sort satisfied average replace wild,amazon_food,"['rather_bad', 'bad', 'bad']",0.7,-2,-2,0.0
11,absolutely grain experience there's soon process anyway terrible satisfied average true replace sort wild knew,amazon_food,"['bad', 'bad', 'bad']",1.0,-2,2,1.0
12,absolutely grain there's process experience terrible anyway satisfied replace average sticky wild soon disgust lol,amazon_food,"['bad', 'rather_bad', 'rather_bad']",0.7,-1,0,0.5
13,absolutely grain there's process experience terrible satisfied replace anyway sticky wild average disgust lol freshness,amazon_food,"['bad', 'bad', 'bad']",1.0,-2,-1,0.25
14,absolutely grain there's process terrible experience satisfied replace sticky wild anyway disgust lol freshness average,amazon_food,"['bad', 'bad', 'good']",0.7,-2,-2,0.0
15,absolutely grain there's process terrible satisfied experience replace sticky wild disgust lol freshness anyway gag,amazon_food,"['rather_bad', 'bad', 'bad']",0.7,-2,-1,0.25
16,absolutely grain there's terrible satisfied process replace experience sticky wild disgust rice lol freshness gag,amazon_food,"['bad', 'bad', 'bad']",1.0,-2,-1,0.25
17,absolutely white fast super return customer service experience process terrible horrible satisfied replace sticky lol,amazon_food,"['good', 'bad', 'rather_good']",0.3,0,-2,0.0
18,absolutely white fast super return service customer terrible satisfied horrible replace process experience sticky lol,amazon_food,"['rather_good', 'rather_bad', 'good']",0.3,0,-1,0.25
19,absolutely white fast super service customer return terrible satisfied horrible replace sticky process disgust lol,amazon_food,"['rather_bad', 'good', 'good']",0.7,2,2,1.0
20,absolutely white fast super service customer return terrible satisfied horrible replace sticky process experience disgust,amazon_food,"['bad', 'bad', 'rather_good']",0.7,-2,1,0.75
21,access appear digex henry phone toronto informatik mass hamburg price bontchev level comet spencer saturn,20newsgroups,"['bad', 'bad', 'rather_bad', 'bad', 'bad']",0.8,-2,-2,0.0
