,task,true,model,model_extracted,true_num,classification_metric
0,pack variety com www http href stash pie grey earl twinings selection bergamot bigelow pecan,bad, NO</s>,-2,-2,0
1,south island ship secret military rutgers british newspaper nuclear kaldis rockefeller plan naval easter sport,bad, NO</s>,-2,-2,0
2,piece beef jerky everything season break pill training pocket jack two tender crush nose garbage,bad, YES</s>,2,-2,1
3,mix cream ice pour strawberry stir pancake waffle muffin pomegranate frozen whip grainy instead lollipop,good, NO</s>,-2,2,0
4,window display screen color server application manager client create default memory visual colors resource running,good, YES</s>,2,2,1
5,magnesium oil olive energy diamond bowel blue rda body blood almond tolerance skin allowance source,good, NO</s>,-2,2,0
6,encryption chip clipper security escrow secure phone algorithm technology encrypt agency privacy public enforcement protect,good, YES</s>,2,2,1
7,dry liver freeze gravy movie walk cube lick style portion popped tub reward due beg,bad, NO</s>,-2,-2,0
8,bone bubble rawh oat gum chewer miso slim china steel mushroom bulldog dubble chew groat,bad, NO</s>,-2,-2,0
9,year month friend husband gift weight ago lose already none week healthy two thrill start,bad, YES</s>,2,-2,1
10,can't run wait iced cocoa bone beat steep alot watery mug canister hear one's everytime,bad, NO</s>,-2,-2,0
11,ingredient honey list special contains raw splenda berry test label china contain prov book usa,bad, YES</s>,2,-2,1
12,israel israeli kill arab palestinian country innocent human civilian murder peace trial killing lebanon soldier,good, NO</s>,-2,2,0
13,argument colorado conclusion music letter fallacy form flame japanese motorcycle therefore occur denizen onur yalcin,bad, bike firearm knife criminal carry death weapon scsi murder smith handgun moral child defense tape - YESappreciate advance anybody info thank experience hello greatly suggestion wonder edge able email recently thanx - NObible christ matthew heaven scripture lord father word passage teach mary spirit doctrine verse faith - YESargument colorado conclusion music letter fallacy form flame japanese motorcycle therefore occur denizen onur yalcin - NO</s>,2,-2,1
14,country land care germany happy money waste german health company proposal europe race european spend,good, YES</s>,2,2,1
15,package item receive rice fresh soup disappointed white fast absolutely anyone wrong noodle awesome return,bad, bike firearm knife criminal carry death weapon scsi murder smith handgun moral child defense tape - YESappreciate advance anybody info thank experience hello greatly suggestion wonder edge able email recently thanx - NObible christ matthew heaven scripture lord father word passage teach mary spirit doctrine verse faith - YESpackage item receive rice fresh soup disappointed white fast absolutely anyone wrong noodle awesome return - NO</s>,2,-2,1
16,drug country nazi german anti society party germany insurance political freedom care free hitler social,good, NO</s>,-2,2,0
17,mark care insurance business ohio marriage parent child school greg married couple money magnus prince,bad, YES</s>,2,-2,1
18,know review since smell bad think people i'll read reviewer though see open another seal,bad, YES</s>,2,-2,1
19,wire ground circuit outlet connect wiring voltage electrical cable neutral current panel risc metal instruction,good, YES</s>,2,2,1
20,oil salt chew energy help gum bone hair body toy olive skin blue magnesium night,bad, NO</s>,-2,-2,0
