,text,topic,true_topic,cos_sim,cos_sim_class
2,package fresh item receive rice arrive gift disappointed white fast noodle awesome packaging anyone return,['gift'],"['delivery', 'delivery']",0.8161798119544983,VH
3,chew pod pound toy bone caramel larger play pet two minute rawh puppy target german,"['pets', 'pets']",['puppy'],0.7835034728050232,H
5,vanilla deal smooth brew several machine french maker shop sample pot espresso house two drinker,"['coffee', 'coffee']","['coffee', 'cafe']",0.8426847159862518,VH
6,sweet bar crunchy granola crunch yogurt raisin combination flake snack cereal almond cranberry nutritious tooth,['granola'],"['cereal', 'snack']",0.6922276020050049,H
9,green wonderful bean vanilla black drinking honey ice orange cold iced indiv lemon caffeine refresh,['drink'],"['drink', 'food', 'drinking']",0.8263439734776815,VH
14,mix cream ice strawberry pour pancake waffle pomegranate muffin recipe frozen grainy lollipop margarita fluffy,"['desserts', 'desserts']","['sweet', 'drink', 'food recipe']",0.6294454137484232,H
15,sweet delicious bar milk cereal texture nut almond yummy cinnamon oatmeal fill granola strawberry chewy,['breakfast'],"['flavour', 'candy bar', 'foood']",0.4321953058242798,M
16,item candy soup gift rice pasta noodle awesome customer thanks sent christmas service stock contact,['gifts'],"['shopping', 'cooking', 'christmas gift']",0.6309391657511393,H
17,organic quality expensive leaf pleased loose eye personal certify whether preference club among hunt rat,['luxury'],['leaf'],0.4730339050292969,M
18,roast dark full bit away long rich half flavorful miss person noodle extremely lover ground,['coffee'],['barbecue'],0.4437991976737976,M
19,right calorie bean low amount fat candy high light content sodium weight lower carbs mango,['healthy snacking'],"['diet', 'diet', 'health', 'food ingredient']",0.6273196041584015,H
21,notice believe life show completely face supplement heart fix number common sleep habit doctor leg,['health'],['healthy life style'],0.738004744052887,H
23,wonderful next thank left salad customer service issue dress goodness back word post introduce spring,"['service', 'service']",['restaurant'],0.5827856063842773,M
27,every month week family friend gift two ago lose already weight grow life plant none,['transformation'],['month'],0.5344030261039734,M
29,two every item several brew deal smooth machine maker pot shop espresso sample french christmas,['coffee'],['coffee'],1.0,VH
30,chip healthy snack tasty excellent lunch crave healthier fiber salty dip satisfy alternative crunch cheddar,"['snacking', 'snacking']","['snack', 'food', 'snack']",0.8987356424331665,VH
37,vanilla french aroma k-cup medium hint matcha bitterness creamer burnt caribou press wolfgang match subtle,['coffee'],"['creamer', 'beverage']",0.7199159562587738,H
38,chip blend roast com favorite www http href dark keurig k-cups brew bold rich pod,['coffee'],['chip blend'],0.6526730060577393,H
41,green vitamin mountain form teaspoon nutritional grass mineral hemp calcium smoothy spaghetti organic yeah smoothie,['smoothie'],"['nutrition', 'food']",0.5313141047954559,M
48,perfect easy shipping fast con quick delivery seller ering pro though tad reach reasonably meal,"['shipping', 'shipping']","['deliver', 'delivery', 'shipping', 'fast shipping', 'order']",0.7753888249397278,H
49,butter peanut apple orange aware jelly poor grape choke formula risk belly possibly watch and<br,['fruit'],['food'],0.6150050163269043,H
51,local grocery home deliver half ask realize trip shelf door brought picked reorder shopping across,['grocery shopping'],"['order', 'buy']",0.41573962569236755,M
53,splenda sugar sucralose canin maltodextrin bottle chicken royal duck diabetic lose granulate safer packet new,"['sweeteners', 'sweeteners']",['diabetic'],0.3251681327819824,M
54,candy soup gift rice pasta noodle item thanks awesome customer service christmas contact tuna hol,['gifts'],"['christmas boxing day gift', 'food', 'candy']",0.5562404195467631,M
55,size baby quickly daughter thanks work night start month since formula pump move old child,"['parenting', 'parenting']",['care'],0.6044761538505554,H
56,stuff coconut far health tell difference cannot benefit believe please pure realize horrible many face,['health'],['stuff coconut'],0.4552462697029114,M
60,syrup artificial sweetener high chemical sweeten splenda sometimes maple stevia natural agave corn extract fructose,"['sweeteners', 'sweeteners']","['syrup', 'ingredient', 'sweet']",0.7359320918718973,H
61,brew bitter bold yet starbucks decaf instant drinker weak smooth brewing via mocha peppermint magic,"['coffee', 'coffee']",['starbucks'],0.842736005783081,VH
62,green protein powder meal vitamin mixed soy fiber body daily shake source contains prov splenda,['protein'],"['protein', 'green']",0.7757058143615723,H
65,ingredient corn chicken gluten feed meat pet grain wheat vet syrup diet allergy wellness liver,['animal care'],"['balance diet', 'feed']",0.4620445519685745,M
66,think right calorie bean low fat candy amount high content sodium lower carbs sour plan,['healthy snacking'],['diet plan'],0.5520673990249634,M
68,sweet delicious bar milk cereal texture nut yummy almond fill cinnamon oatmeal definitely granola strawberry,['granola'],"['breakfast', 'breakfast', 'sweet']",0.5683828592300415,M
69,sauce spicy noodle heat kick chili restaurant lime pepper hot wasabi asian bbq ramen salsa,"['heat', 'heat']","['asian food', 'asían food', 'sauce', 'cooking']",0.531926304101944,M
71,bar sweet crunchy granola yogurt crunch cereal snack raisin flake combination almond texture cranberry nutritious,['granola'],"['snack', 'snack']",0.6318298578262329,H
75,sauce spicy apple pepper noodle heat kick chili hot restaurant lime tomato wasabi bland bbq,"['heat', 'heat']","['sauce', 'spicy', 'restaurant', 'food', 'barbecue']",0.5942682981491089,M
79,brew bitter bold starbucks decaf instant drinker weak via smooth mocha strong peppermint yet ground,"['coffee', 'coffee']","['cofee', 'starbucks']",0.7214434146881104,H
81,sauce rice meal cook noodle dish soy dinner cooked thick brown sprinkle restaurant cooking simple,['cooking'],"['food preparation', 'food']",0.8204076290130615,VH
85,bottle glass lemon plastic prov mint peach sparkle mio tip squirt tap grab iced electrolyte,['drink'],['beverage'],0.8877449631690979,VH
86,butter peanut apple orange jelly aware grape poor choke formula belly risk watch fact transition,['nutrition'],"['cooking', 'fruit']",0.5936009287834167,M
87,hair clear heard thick wash scent shampoo conditioner oily manufacturer shiny scalp head apply shower,['hair'],['shampo'],0.6648567914962769,H
88,rice meal ginger content contain picky sprinkle dinner eater label cooked thai fairly serve snap,['thai food'],['meal'],0.638343870639801,H
89,package item receive rice fresh soup absolutely disappointed white fast anyone wrong noodle awesome return,['disappointment'],['food'],0.38866162300109863,M
92,syrup artificial sweetener high sometimes chemical sweeten splenda stevia maple corn agave natural extract fructose,"['sweeteners', 'sweeteners']","['sweetener', 'edible', 'sweet']",0.81006787220637,VH
93,magnesium diamond oil blue bowel rda body olive blood energy tolerance source nutrient allowance dietary,['health'],['diet'],0.6559738516807556,H
95,bar granola nut almond oat cluster omega- cereal yogurt chia snack flax flaxseed sweet shiitake,"['breakfast', 'breakfast']","['food', 'healthy']",0.5444222241640091,M
97,green protein powder vitamin con body fiber mixed soy normal daily source contains prov shake,['protein'],"['food', 'shake', 'nutrient', 'nutrition', 'supplement']",0.6515591859817504,H
98,year two every size old last month start long week several keep baby friend three,"['parenting', 'parenting']",['amount'],0.56858229637146,M
103,absolutely fast white rice service noodle terrible customer grain process satisfied super delivery disappointed experience,['food'],['customer experience'],0.5224143862724304,M
106,dog treat training liver greenies ball dog's pup puppy beneful teeth owner reward beagle pet,['dog training'],['animal'],0.5227417945861816,M
113,feel hour energy work shot pizza boost effect crust lack favor felt sleep need faster,['energy'],['to sleep'],0.293184757232666,L
114,place container easily soft hold melt together open mess shape stuck chewy somewhat cool around,['chewy'],['cooking'],0.5249209403991699,M
116,old soup carry year stock area tomato discover longer since prepare course broth seafood chili,['cooking'],"['cooking', 'soup']",0.8671039938926697,VH
120,sweet right candy quick amount enjoy refresh sweetness cold mango summer think plain ant chunk,['summer'],"['candy', 'food']",0.38465675711631775,M
121,strong prefer bold orange ginger people medium weak shake cherry stronger subtle bitterness intense think,['flavor'],['fitness'],0.5543438196182251,M
122,almond body smooth blue magnesium cause diamond reminds increase peppermint bowel nutrient rda blood source,['health'],['nutrient'],0.6392734050750732,H
124,ingredient corn chicken gluten syrup natural feed free pet meat wheat grain vet diet allergy,['pet food'],"['culinary', 'food']",0.6421109437942505,H
125,calorie low fat protein sodium gram serve high carbs diet carb weight nutrition per watch,"['nutrition', 'nutrition']","['diet', 'diet', 'nutrition', 'nutrition', 'health and nutrition']",0.9226678609848022,VH
129,quality organic expensive real leaf pleased worth care high fact preservative matter premium loose likely,['premium'],['quality'],0.8252134323120117,VH
131,pretty star fruit juice cut orange mind soda exactly instant substitute raspberry five decent sour,['drinks'],['fruit'],0.6413354873657227,H
134,juice peach oat mango glass orange pineapple fruit jasmine relax blackberry squirt pearl sweeten quaker,['fruit'],"['pearl', 'juice']",0.5837335884571075,M
137,oil salt help chew energy gum bone hair body toy olive skin blue night magnesium,"['health', 'health']",['body'],0.6310309171676636,H
140,favorite blend black bitter keurig k-cups wife aftertaste k-cup drinking decaf choice become caffeine licorice,"['coffee', 'coffee']","['coffee', 'drink', 'coffee']",0.8933432698249817,VH
141,sell deal market teeth flour surprised bulk stale pancake pretzel pizza mill tin book muffin,"['baked goods', 'baked']",['store food'],0.7246074080467224,H
144,vanilla several deal brew smooth machine french house starbucks maker pot shop espresso sample drinker,"['coffee', 'coffee']",['drink'],0.6800296306610107,H
145,mix cream ice pour strawberry stir pancake waffle muffin pomegranate frozen whip grainy instead lollipop,"['desserts', 'desserts']",['cooking'],0.6177290678024292,H
146,organic natural real expensive high syrup artificial wheat sweetener pleased flour corn chemical care maple,['natural'],"['food', 'sugar']",0.49287644028663635,M
147,bitter almond blue cocoa iced magnesium wait grey diamond earl beat rda bowel nutrient blood,"['chocolate', 'chocolate']",['nutrition'],0.4505869746208191,M
153,sweet delicious bar milk cereal texture nut fruit definitely perfect yummy almond cinnamon fill oatmeal,['breakfast'],"['oatmeal', 'food', 'milk bar', 'sweet']",0.5644296258687973,M
155,vanilla light keurig k-cups french k-cup aroma medium chai mountain starbucks smooth brewer matcha hint,['coffee'],['drink'],0.6800295114517212,H
157,recipe bread flour baking simple traditional toast sandwich pizza mustard member crust celiac disease rise,['baking'],"['bread', 'food']",0.6905225813388824,H
167,bar cereal butter snack cooky peanut nut cracker almond oatmeal cookie granola fruit strawberry crunch,"['snacks', 'snacks']","['food item', 'breakfast', 'food']",0.7043367822964987,H
168,protein fat coconut fiber sodium calorie gram carbs splenda msg bpa ant grape antiox g<br,['nutrition'],['diet'],0.8508486747741699,VH
171,purchase happy ship offer website wonder impressed chance directly mother elsewhere enjoys promptly rip express,['adventure'],"['order', 'shipping', 'business']",0.5588009357452393,M
177,protein coconut fiber gram carbs splenda fat msg bpa g<br pineapple glutamate monosodium cholesterol hemp,['healthy ingredients'],['protein'],0.5124003887176514,M
178,calorie protein low fat sodium carbs high gram diet carb nutrition watch amount farm diabetic,['diet'],"['diet', 'sugar level', 'health']",0.7737536629041036,H
180,right calorie bean low amount fat candy high light content sodium carbs small mango weight,"['healthy snacks', 'healthy']",['meal plan'],0.5242096781730652,M
182,popcorn baby formula daughter pill he's pump kernel puff movie gerber popper earth's fussy pear,['movie'],"['babysitter', 'pop corn', 'baby care']",0.3634740610917409,M
183,chicken meat vegetable purchasing test hazelnut filler we're steak vegetarian by-product exception ingredient grill supplier,['culinary'],"['shop', 'steak']",0.6109426319599152,H
