,text,true,model,true_num
0,able amaze fill glad stop daily fantastic move prime plenty empty subtle job strongly litter,rather_bad, Answer: 1.</s>,-1
1,able amaze fill stop glad daily fantastic move plenty prime empty job subtle strongly litter,rather_bad, Answer: 1.</s>,-1
2,able amaze fill stop glad daily fantastic move plenty prime empty subtle job strongly litter,rather_bad, Answer: 1.</s>,-1
3,able amaze glad fill stop fantastic daily move prime empty plenty subtle job strongly litter,bad, Answer: 1.</s>,-2
7,absolutely fast white rice service noodle terrible customer grain process satisfied super delivery disappointed experience,rather_bad," Answer: 2.  Some words like ""absolutely,"" ""terrible,"" ""disappointed,"" and ""experience"" suggest customer service or feedback, while others like ""fast,"" ""white rice,"" ""noodle,"" and ""grain process"" suggest food or dining. The mixture of these topics makes it difficult to determine a clear topic for the presented word set.</s>",-1
8,absolutely fast white super service customer return terrible satisfied horrible replace sticky process package disgust,good, Answer: 1.</s>,2
9,absolutely grain experience soon there's process anyway true terrible satisfied knew average replace sort wild,bad, Answer: 1.</s>,-2
10,absolutely grain experience soon there's process true anyway knew terrible sort satisfied average replace wild,bad, Answer: 1.</s>,-2
11,absolutely grain experience there's soon process anyway terrible satisfied average true replace sort wild knew,bad, Answer: 1.</s>,-2
12,absolutely grain there's process experience terrible anyway satisfied replace average sticky wild soon disgust lol,rather_bad, Answer: 1.</s>,-1
13,absolutely grain there's process experience terrible satisfied replace anyway sticky wild average disgust lol freshness,bad, Answer: 1.</s>,-2
14,absolutely grain there's process terrible experience satisfied replace sticky wild anyway disgust lol freshness average,bad, Answer: 1.</s>,-2
15,absolutely grain there's process terrible satisfied experience replace sticky wild disgust lol freshness anyway gag,bad, Answer: 1.</s>,-2
16,absolutely grain there's terrible satisfied process replace experience sticky wild disgust rice lol freshness gag,bad, Answer: 1.</s>,-2
17,absolutely white fast super return customer service experience process terrible horrible satisfied replace sticky lol,bad, Answer: 1.</s>,-2
18,absolutely white fast super return service customer terrible satisfied horrible replace process experience sticky lol,good, Answer: 1.</s>,2
19,absolutely white fast super service customer return terrible satisfied horrible replace sticky process disgust lol,good, Answer: 1.</s>,2
20,absolutely white fast super service customer return terrible satisfied horrible replace sticky process experience disgust,bad," Answer: 2.  Some words like ""absolutely,"" ""fast,"" ""super,"" and ""customer"" suggest a topic related to customer service or experiences. However, words like ""white,"" ""sticky,"" ""process,"" and ""disgust"" seem out of place and could indicate a different topic or a mixture of topics. Additionally, words like ""terrible,"" ""satisfied,"" ""horrible,"" and ""replace"" are common in various topics and do not provide a clear indication of a specific topic.</s>",-2
34,actually texture cut version wheat pasta search miss cook office oat biscuit unlike seriously winner,rather_bad, Answer: 1.</s>,-1
35,actually texture cut version wheat pasta search miss cook office unlike oat biscuit seriously winner,bad," Answer: 2.  This word set seems to be a mixture of topics, with some words related to food (wheat, pasta, oat, biscuit) and others unrelated (search, miss, office, unlike, seriously, winner). The presence of both food-related and unrelated words makes it difficult to determine a clear topic for this set.</s>",-2
36,actually texture cut version wheat pasta search miss unlike oat biscuit seriously winner similar standard,rather_bad," Answer: 2.  This word set includes a mix of food-related words (wheat, pasta, oat, biscuit) and unrelated words (actually, texture, cut, version, search, miss, unlike, seriously, winner, similar, standard). The presence of both food-related and unrelated words makes it difficult to determine a clear topic for this word set.</s>",-1
37,actually texture cut wheat miss oat biscuit unlike seriously quaker country winner absolute whole swiss,bad," Answer: 2.  This word set seems to be related to food items, specifically grains and baked goods (wheat, oat, biscuit, quaker, country, winner). However, the presence of words like ""actually,"" ""texture,"" ""like,"" ""unlike,"" ""seriously,"" and ""absolute"" suggest that there may be some irrelevant or unrelated words in the set. These words do not have a strong connection to the food-related topic and could potentially indicate a mixture of topics or a lack of focus within the topic. Therefore, I would rate this word set as a 2.</s>",-2
