INPUT:wordset,INPUT:dataset_name,ASSIGNMENT:worker_id
able amaze fill glad stop daily fantastic move prime plenty empty subtle job strongly litter,amazon_food,3
able amaze fill stop glad daily fantastic move plenty prime empty job subtle strongly litter,amazon_food,12
able amaze fill stop glad daily fantastic move plenty prime empty subtle job strongly litter,amazon_food,3
able amaze glad fill stop fantastic daily move prime empty plenty subtle job strongly litter,amazon_food,3
absolute church truth doug scripture symbol libxmu font bible free undefined type motif error application,20newsgroups,5
absolute church truth mission nasa doug mars earth free application error type font email symbol,20newsgroups,5
absolute mission church nasa mars earth truth lunar shuttle doug telescope symbol planetary libxmu launch,20newsgroups,5
absolutely fast white rice service noodle terrible customer grain process satisfied super delivery disappointed experience,amazon_food,6
absolutely fast white super service customer return terrible satisfied horrible replace sticky process package disgust,amazon_food,9
absolutely grain experience soon there's process anyway true terrible satisfied knew average replace sort wild,amazon_food,3
absolutely grain experience soon there's process true anyway knew terrible sort satisfied average replace wild,amazon_food,3
absolutely grain experience there's soon process anyway terrible satisfied average true replace sort wild knew,amazon_food,3
absolutely grain there's process experience terrible anyway satisfied replace average sticky wild soon disgust lol,amazon_food,3
absolutely grain there's process experience terrible satisfied replace anyway sticky wild average disgust lol freshness,amazon_food,3
absolutely grain there's process terrible experience satisfied replace sticky wild anyway disgust lol freshness average,amazon_food,3
absolutely grain there's process terrible satisfied experience replace sticky wild disgust lol freshness anyway gag,amazon_food,3
absolutely grain there's terrible satisfied process replace experience sticky wild disgust rice lol freshness gag,amazon_food,3
absolutely white fast super return customer service experience process terrible horrible satisfied replace sticky lol,amazon_food,3
absolutely white fast super return service customer terrible satisfied horrible replace process experience sticky lol,amazon_food,3
absolutely white fast super service customer return terrible satisfied horrible replace sticky process disgust lol,amazon_food,3
absolutely white fast super service customer return terrible satisfied horrible replace sticky process experience disgust,amazon_food,3
access appear digex henry phone toronto informatik mass hamburg price bontchev level comet spencer saturn,20newsgroups,5
access appear digex henry toronto informatik phone hamburg mass intercon amanda spencer hole bontchev walker,20newsgroups,84
access appear henry phone digex experience price comet orbit level bontchev saturn secure mass nasa,20newsgroups,10
access appear henry toronto digex cover mass star spencer constant jupiter universe theory radius galaxy,20newsgroups,5
access appear henry toronto digex mass cover star spencer hole constant theory jupiter universe radius,20newsgroups,5
access appear henry toronto digex spencer cover mass star light hole theory black universe constant,20newsgroups,5
access henry appear toronto digex captain hole star mass spencer harris theory weaver universe light,20newsgroups,5
access henry digex appear toronto informatik intercon hole amanda walker mass hamburg spencer captain cover,20newsgroups,5
access henry toronto digex appear hole informatik intercon amanda walker spencer mass hamburg captain cover,20newsgroups,5
access toronto henry appear digex hole informatik intercon spencer walker amanda captain hamburg mass star,20newsgroups,5
access toronto henry appear digex hole informatik intercon spencer walker amanda hamburg star mass cover,20newsgroups,5
access toronto henry appear digex hole informatik intercon walker amanda spencer captain hamburg mass cover,20newsgroups,5
access toronto henry digex appear hole informatik intercon amanda walker spencer hamburg mass captain cover,20newsgroups,5
actually texture cut version wheat pasta search miss cook office oat biscuit unlike seriously winner,amazon_food,6
actually texture cut version wheat pasta search miss cook office unlike oat biscuit seriously winner,amazon_food,6
actually texture cut version wheat pasta search miss unlike oat biscuit seriously winner similar standard,amazon_food,3
actually texture cut wheat miss oat biscuit unlike seriously quaker country winner absolute whole swiss,amazon_food,9
address send request bear militia amendment receive constitution arms shall mailing free organize regulate organization,20newsgroups,5
address send request bear militia receive amendment constitution arms shall mailing free organize regulate organization,20newsgroups,5
address send request receive bear militia free amendment shall constitution arms mailing organize sent regulate,20newsgroups,5
address send request receive militia bear amendment mailing arms shall constitution organize regulate free expo,20newsgroups,5
almond blue cocoa magnesium iced bitter wait grey diamond earl ounce rda beat bowel body,amazon_food,3
almond body blue magnesium cause blood diamond level reminds nutrient bowel rda present approximately diarrhea,amazon_food,3
almond body blue magnesium diamond blood cause reminds bowel rda nutrient level approximately diarrhea source,amazon_food,3
almond body blue magnesium diamond blood reminds cause bowel rda nutrient approximately diarrhea source level,amazon_food,3
almond body blue magnesium diamond blood reminds cause bowel rda nutrient approximately level diarrhea source,amazon_food,9
almond body smooth blue magnesium cause diamond reminds increase peppermint bowel nutrient rda blood source,amazon_food,3
almond smooth body blue magnesium cause diamond reminds increase bowel peppermint nutrient rda blood source,amazon_food,3
always case salty awesome live sour hooked tuna cheddar crispy pantry since suggest new tangy,amazon_food,3
