,text,true,model
4,absolute church truth doug scripture symbol libxmu font bible free undefined type motif error application,rather_good,rather_bad
5,absolute church truth mission nasa doug mars earth free application error type font email symbol,rather_bad,rather_bad
6,absolute mission church nasa mars earth truth lunar shuttle doug telescope symbol planetary libxmu launch,good,rather_good
21,access appear digex henry phone toronto informatik mass hamburg price bontchev level comet spencer saturn,bad,rather_good
22,access appear digex henry toronto informatik phone hamburg mass intercon amanda spencer hole bontchev walker,bad,rather_good
23,access appear henry phone digex experience price comet orbit level bontchev saturn secure mass nasa,bad,rather_good
24,access appear henry toronto digex cover mass star spencer constant jupiter universe theory radius galaxy,rather_good,rather_good
25,access appear henry toronto digex mass cover star spencer hole constant theory jupiter universe radius,bad,rather_good
26,access appear henry toronto digex spencer cover mass star light hole theory black universe constant,bad,rather_good
27,access henry appear toronto digex captain hole star mass spencer harris theory weaver universe light,rather_bad,rather_good
28,access henry digex appear toronto informatik intercon hole amanda walker mass hamburg spencer captain cover,bad,rather_good
29,access henry toronto digex appear hole informatik intercon amanda walker spencer mass hamburg captain cover,rather_bad,rather_good
30,access toronto henry appear digex hole informatik intercon spencer walker amanda captain hamburg mass star,bad,rather_bad
31,access toronto henry appear digex hole informatik intercon spencer walker amanda hamburg star mass cover,bad,rather_good
32,access toronto henry appear digex hole informatik intercon walker amanda spencer captain hamburg mass cover,rather_bad,rather_bad
33,access toronto henry digex appear hole informatik intercon amanda walker spencer hamburg mass captain cover,bad,rather_good
38,address send request bear militia amendment receive constitution arms shall mailing free organize regulate organization,bad,rather_good
39,address send request bear militia receive amendment constitution arms shall mailing free organize regulate organization,good,rather_good
40,address send request receive bear militia free amendment shall constitution arms mailing organize sent regulate,bad,rather_good
41,address send request receive militia bear amendment mailing arms shall constitution organize regulate free expo,bad,rather_good
71,andrew disclaimer james chris lost columbia navy model gary behanna callison houston rick bird chuck,bad,rather_good
72,andrew disclaimer james chris lost navy columbia gary behanna model callison rick bird houston baby,rather_bad,rather_good
73,andrew disclaimer lost james chris columbia behanna navy callison houston pack bird gary uoknor init,bad,rather_bad
74,andrew homosexual james lost cleveland chris cramer internet bitnet michael gatech virginia freenet clayton sexual,rather_bad,rather_bad
75,andrew homosexual lost james chris cramer bitnet internet gatech michael cleveland virginia clayton sexual male,bad,rather_good
76,andrew homosexual lost james chris cramer internet bitnet gatech michael clayton male sexual disclaimer virginia,bad,rather_bad
77,andrew james disclaimer chris lost model navy columbia gary behanna callison houston rick bird weight,rather_bad,rather_good
78,andrew lost disclaimer james chris columbia navy behanna callison houston bird pack init uoknor gary,bad,rather_bad
79,andrew lost james chris disclaimer model navy columbia gary behanna houston callison rick weight bird,bad,rather_good
80,andrew lost james chris disclaimer model navy columbia gary behanna houston callison weight rick bird,rather_bad,rather_good
81,andrew lost james disclaimer model chris navy behanna houston callison weight columbia hell uoknor wild,bad,rather_bad
82,anonymous internet news usenet service privacy email electronic congress network user public bill site address,bad,rather_good
83,anonymous news bill public conference congress vote internet usenet anon colorado member abuse service cview,bad,rather_good
84,anonymous news congress service bill anon internet usenet conference public server abuse privacy user electronic,bad,rather_good
85,anonymous news service usenet conference congress public privacy email electronic internet network bill user server,rather_good,rather_good
86,anonymous news service usenet privacy network electronic internet email site public user server congress archive,bad,rather_good
87,anonymous private public news crime server conference internet privacy carry bill paul congress pretty abuse,good,rather_good
88,anonymous public private news crime server religion carry cview pretty bill internet paul congress conference,bad,rather_good
89,anonymous public private news crime server religion carry pretty bill cview internet paul hold thought,good,rather_good
98,apartment building water left azerbaijani home woman city sumgait dept father face neighbor door crowd,bad,rather_good
99,apartment home left woman door father azerbaijani room building neighbor sumgait city mother later beat,rather_good,rather_good
100,appear access henry digex comet orbit phone toronto experience appreciate nasa galileo ghost backup mass,bad,rather_good
101,appear access henry toronto hole digex star captain harris spencer mass theory light weaver black,good,rather_good
102,appear access hole henry toronto digex star light captain black theory harris spencer energy weaver,bad,rather_good
103,appear access hole henry toronto digex star light captain harris spencer theory black energy weaver,bad,rather_good
104,appear access hole henry toronto digex star light captain harris theory spencer black energy weaver,bad,rather_good
105,appear cover black light miss level theory hole story excellent trade henry toronto given physical,bad,rather_good
106,appear henry black toronto trade cover hole digex access captain light star company alaska level,bad,rather_good
107,appear henry toronto black trade cover hole digex access light captain star level company alaska,bad,rather_good
108,apple fast mouse speed slow robert simms clock processor machine move cheer centris hardware quadra,rather_bad,rather_good
109,apple mouse fast speed robert slow processor machine move clock simms week centris hardware pretty,bad,rather_good
110,apple mouse fast speed robert slow processor move clock machine week pretty centris simms hardware,rather_bad,rather_good
111,apple mouse robert fast processor speed move slow clock week pretty microsoft music chicago jason,rather_bad,rather_good
112,apple mouse robert fast speed processor slow move clock week pretty microsoft music machine chicago,rather_good,rather_good
113,apple mouse robert processor fast move speed slow clock week pretty microsoft music chicago jason,bad,rather_good
114,apple offer monitor sale price shipping pitt selling gordon banks sell purchase dealer sony excellent,good,rather_good
115,apple offer monitor sale price shipping pitt selling gordon purchase banks sell manual dealer excellent,good,rather_good
116,apple offer monitor sale price shipping pitt selling manual gordon sell purchase banks dealer excellent,rather_bad,rather_good
117,apple simms colorado message drug record simm math ripem chips thought news cigarette wonder mark,bad,rather_good
118,application window resource word science allow ever human child money health center return motif already,bad,rather_good
119,appreciate advance anybody info experience email thank suggestion hello greatly wonder recently response thanx advice,rather_bad,rather_good
120,appreciate advance anybody info keyboard looking thank hello greatly experience email access wonder type peter,bad,rather_good
121,appreciate advance anybody info keyboard thank greatly hello looking experience access email type wonder normal,bad,rather_good
122,appreciate advance anybody info looking keyboard thank hello greatly email experience wonder access thanx upenn,bad,rather_good
123,appreciate advance anybody info thank experience greatly hello suggestion edge wonder able looking technology recently,bad,rather_good
124,appreciate advance anybody info thank experience hello greatly suggestion wonder edge able email recently thanx,bad,rather_good
125,appreciate advance anybody info thank experience wonder hello suggestion greatly email looking able response edge,rather_bad,rather_good
126,appreciate advance info anybody experience greatly motherboard thank suggestion eisa type setup test hello upgrade,bad,rather_good
127,appreciate advance info anybody greatly experience thank motherboard edge suggestion eisa hello cmos review seizure,bad,rather_bad
128,appreciate advance info anybody greatly thank experience edge hello motherboard suggestion able eisa wonder technology,bad,rather_good
129,appreciate advance looking anybody info keyboard thank email hello greatly experience wonder thanx able peter,good,rather_good
130,appreciate anybody advance wonder info experience thank email suggestion hello greatly able advice edge thanx,good,rather_good
131,appreciate anybody advance wonder info experience thank suggestion hello greatly email advice edge able thanx,bad,rather_good
132,appreciate card israeli israel kill send drug wrong money attack cause phone land company thought,rather_bad,rather_bad
133,appreciate email anybody advance experience info thank wonder suggestion send hello greatly response recently advice,bad,rather_good
134,appreciate info error motherboard anybody advance keyboard graphics access upgrade internet test experience type hardware,good,rather_good
135,appreciate info keyboard advance anybody greatly motherboard access error upgrade experience test thank setup graphics,bad,rather_good
136,appreciate info keyboard error advance motherboard anybody access upgrade graphics test greatly internet experience type,good,rather_good
137,appreciate info motherboard advance anybody experience eisa test setup seizure greatly upgrade access cmos edge,bad,rather_good
138,appreciate info motherboard advance anybody experience test eisa setup seizure upgrade access greatly cmos edge,bad,rather_good
139,april canada buffalo roger maynard area spring pilot star wings ontario astronaut cand nasa always,bad,rather_good
140,april canada buffalo roger spring ontario area maynard pilot wings astronaut cand nasa star aircraft,bad,rather_good
141,april nasa star canada bike score always goal maynard area player hockey wings center white,bad,rather_good
142,arab israeli israel policy thousand none border mass bullet citizen trial prison switzerland religious building,good,rather_good
143,arab israeli policy tape jewish research population border israel associate center intelligence bullet georgia recognize,bad,rather_good
144,arab israeli tape population policy border village research bullet child occupy associate muslim israel jewish,rather_good,rather_good
145,argument colorado conclusion fallacy music japanese form letter therefore motorcycle flame authority occur denizen onur,bad,rather_bad
