,task,true,model,model_extracted,classification_metric
0,able amaze fill glad stop daily fantastic move prime plenty empty subtle job strongly litter,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
1,able amaze fill stop glad daily fantastic move plenty prime empty job subtle strongly litter,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2,able amaze fill stop glad daily fantastic move plenty prime empty subtle job strongly litter,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3,able amaze glad fill stop fantastic daily move prime empty plenty subtle job strongly litter,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
4,absolute church truth doug scripture symbol libxmu font bible free undefined type motif error application,1,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
5,absolute church truth mission nasa doug mars earth free application error type font email symbol,-1,"  Sure, I'd be happy to help!  Classification: rather no</s>",-1,0.25
6,absolute mission church nasa mars earth truth lunar shuttle doug telescope symbol planetary libxmu launch,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
7,absolutely fast white rice service noodle terrible customer grain process satisfied super delivery disappointed experience,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
8,absolutely fast white super service customer return terrible satisfied horrible replace sticky process package disgust,2,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
9,absolutely grain experience soon there's process anyway true terrible satisfied knew average replace sort wild,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
10,absolutely grain experience soon there's process true anyway knew terrible sort satisfied average replace wild,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
11,absolutely grain experience there's soon process anyway terrible satisfied average true replace sort wild knew,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
12,absolutely grain there's process experience terrible anyway satisfied replace average sticky wild soon disgust lol,-1,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
13,absolutely grain there's process experience terrible satisfied replace anyway sticky wild average disgust lol freshness,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
14,absolutely grain there's process terrible experience satisfied replace sticky wild anyway disgust lol freshness average,-2,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
15,absolutely grain there's process terrible satisfied experience replace sticky wild disgust lol freshness anyway gag,-2,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
16,absolutely grain there's terrible satisfied process replace experience sticky wild disgust rice lol freshness gag,-2,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
17,absolutely white fast super return customer service experience process terrible horrible satisfied replace sticky lol,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
18,absolutely white fast super return service customer terrible satisfied horrible replace process experience sticky lol,0,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
19,absolutely white fast super service customer return terrible satisfied horrible replace sticky process disgust lol,2,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
20,absolutely white fast super service customer return terrible satisfied horrible replace sticky process experience disgust,-2,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
21,access appear digex henry phone toronto informatik mass hamburg price bontchev level comet spencer saturn,-2,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather no</s>",-1,0.25
22,access appear digex henry toronto informatik phone hamburg mass intercon amanda spencer hole bontchev walker,-2,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
23,access appear henry phone digex experience price comet orbit level bontchev saturn secure mass nasa,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
24,access appear henry toronto digex cover mass star spencer constant jupiter universe theory radius galaxy,1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
25,access appear henry toronto digex mass cover star spencer hole constant theory jupiter universe radius,-2,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
26,access appear henry toronto digex spencer cover mass star light hole theory black universe constant,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
27,access henry appear toronto digex captain hole star mass spencer harris theory weaver universe light,-1,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
28,access henry digex appear toronto informatik intercon hole amanda walker mass hamburg spencer captain cover,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
29,access henry toronto digex appear hole informatik intercon amanda walker spencer mass hamburg captain cover,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
30,access toronto henry appear digex hole informatik intercon spencer walker amanda captain hamburg mass star,-2,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather no</s>",-1,0.25
31,access toronto henry appear digex hole informatik intercon spencer walker amanda hamburg star mass cover,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
32,access toronto henry appear digex hole informatik intercon walker amanda spencer captain hamburg mass cover,-1,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
33,access toronto henry digex appear hole informatik intercon amanda walker spencer hamburg mass captain cover,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
34,actually texture cut version wheat pasta search miss cook office oat biscuit unlike seriously winner,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
35,actually texture cut version wheat pasta search miss cook office unlike oat biscuit seriously winner,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
36,actually texture cut version wheat pasta search miss unlike oat biscuit seriously winner similar standard,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
37,actually texture cut wheat miss oat biscuit unlike seriously quaker country winner absolute whole swiss,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
38,address send request bear militia amendment receive constitution arms shall mailing free organize regulate organization,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
39,address send request bear militia receive amendment constitution arms shall mailing free organize regulate organization,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
40,address send request receive bear militia free amendment shall constitution arms mailing organize sent regulate,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
41,address send request receive militia bear amendment mailing arms shall constitution organize regulate free expo,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
42,almond blue cocoa magnesium iced bitter wait grey diamond earl ounce rda beat bowel body,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
43,almond body blue magnesium cause blood diamond level reminds nutrient bowel rda present approximately diarrhea,-1,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
44,almond body blue magnesium diamond blood cause reminds bowel rda nutrient level approximately diarrhea source,-1,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
45,almond body blue magnesium diamond blood reminds cause bowel rda nutrient approximately diarrhea source level,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
