,text,topic,true_topic,cos_sim,cos_sim_class
0,encryption chip clipper security phone privacy public algorithm secure escrow message encrypt agency technology secret,['security'],"['communication secrecy', 'security', 'security', 'technology']",0.8591493368148804,VH
1,function code text islam muslim null subject error reference date output application open research translation,['research'],"['computer', 'data entry', 'muslim']",0.6346724629402161,H
4,player hockey season league goal leaf playoff division pick next flyer penalty draft playing final,['hockey'],"['sport', 'sport', 'hockey', 'ice hockey']",0.6809729337692261,H
7,player season hockey league baseball goal division period pittsburgh pick leaf next boston mike chicago,['hockey'],"['sport', 'sport', 'hockey']",0.6004663010438284,H
8,window display screen color manager server application create client visual pixel colors size mode colormap,['display'],"['window', 'application', 'computer']",0.7585210601488749,H
10,health medical increase national cancer report among child april center newsletter page disease research volume,"['healthcare', 'healthcare']","['medical', 'health']",0.8432865738868713,VH
11,switch input signal audio circuit helmet level output voltage noise build relay receiver plastic frequency,"['communication', 'communication']","['audio device', 'audio signal', 'electric', 'radio', 'voltage', 'input', 'audio helmet', 'science', 'connection', 'electronics', 'audio', 'physic', 'device', 'radio component', 'signal audio', 'device', 'switch', 'frequency', 'sound', 'electrical', 'circuit', 'sound', 'electronic', 'audio transmission', 'frequency', 'audio device', 'electricity', 'signal', 'sound engineering', 'communication', 'radio signal', 'radio']",0.7585891149938107,H
12,period boston pittsburgh player score detroit third chicago dave toronto louis baseball murray lemieux yankee,"['baseball', 'baseball']","['sport', 'basketball']",0.4183422029018402,M
13,country land care germany happy money waste german health company proposal europe race european spend,['innovation'],"['country land', 'german health system']",0.32867226004600525,M
20,scsi controller interface transfer disk bios feature devices card jumper fast speed setting floppy standard,"['computer hardware', 'computer']","['computer card', 'computer', 'gadget']",0.8262511491775513,VH
22,bike speed mile front tire turn wheel road rear brake motorcycle fast left driving vehicle,['motorcycle'],"['sport', 'vehicle', 'motorcycle']",0.7168052991231283,H
24,father massacre begin russian jayne sport hole joel soldier yassin creed french newspaper erzurum spirit,['war'],['massacre'],0.7641921043395996,H
25,font print character page printer vice cell bitnet blow postscript student beauchaine bobbe code robert,['printing'],"['printer', 'print']",0.8846658170223236,VH
26,appreciate info error motherboard anybody advance keyboard graphics access upgrade internet test experience type hardware,['upgrade'],"['developer', 'hardware', 'internet and computer']",0.6440158685048422,H
28,drug money dollar cheap jeff rich average illegal screw crack choice curve spend legal easy,['addiction'],"['i̇llegal', 'drug', 'finance']",0.6843341588973999,H
31,encryption chip clipper security escrow secure agency technology encrypt privacy enforcement algorithm protect secret crypto,['security'],"['sec', 'security', 'technology']",0.8129967848459879,VH
32,child drug care country society party insurance freedom medium germany difference political german social suggest,['society'],"['economy', 'democracy and safety in germany']",0.5362253040075302,M
33,bike mile road front speed tire turn engine motorcycle driving wheel light ford rear honda,['motorcycle'],"['mororcycle', 'drive', 'drive topic', 'sport', 'traffic']",0.5642485857009888,M
34,disk card scsi driver speed fast apple monitor memory machine controller port chip mode board,['computer hardware'],"['computer', 'controller', 'electronics', 'computer', 'computer', 'computer accessary', 'machine', 'computer term', 'machine', 'computer program', 'apple phone']",0.7907449440522627,H
