,text,true,model,true_num,model_num
1,south island ship secret military rutgers british newspaper nuclear kaldis rockefeller plan naval easter sport,bad,good,-2,2
4,window display screen color server application manager client create default memory visual colors resource running,good,good,2,2
6,encryption chip clipper security escrow secure phone algorithm technology encrypt agency privacy public enforcement protect,good,good,2,2
12,israel israeli kill arab palestinian country innocent human civilian murder peace trial killing lebanon soldier,good,good,2,2
13,argument colorado conclusion music letter fallacy form flame japanese motorcycle therefore occur denizen onur yalcin,bad,bad,-2,-2
14,country land care germany happy money waste german health company proposal europe race european spend,good,good,2,2
16,drug country nazi german anti society party germany insurance political freedom care free hitler social,good,bad,2,-2
17,mark care insurance business ohio marriage parent child school greg married couple money magnus prince,bad,good,-2,2
19,wire ground circuit outlet connect wiring voltage electrical cable neutral current panel risc metal instruction,good,good,2,2
22,cwru mike freenet cleveland previous stephen stand ryan joke story koresh guess wave tape funny,bad,bad,-2,-2
26,internet water ground circuit connect service tower heat contact email plant network marc bitnet cooling,bad,good,-2,2
27,copy thor electronics libertarian steveh bell steve hendricks keyboard current persian free fail measure company,bad,good,-2,2
30,money spend gary columbia costs health market care happy dare private ucsc country canadian canada,bad,good,-2,2
31,controller scsi disk card bios interface feature jumper speed floppy fast transfer pope port mode,good,good,2,2
35,quote context ence agree accept argument taking death maybe dead live ever eternal kind learn,bad,good,-2,2
36,looking friend uiuc battery month steve running craig nice date remember junk area stick fine,bad,good,-2,2
38,disk tape memory error floppy boot swap backup install adaptec device instal running works config,good,good,2,2
39,church truth absolute doug symbol borland bible libxmu scripture paradox matter reading error interpretation exercise,good,good,2,2
41,image graphics package format object library site user directory processing database code routine convert unix,bad,good,-2,2
42,lost james model disclaimer houston navy callison init uoknor andrew presentation weight bird stick height,bad,bad,-2,-2
43,ground water food wire disease cause engine test light patient current study hole henry science,bad,good,-2,2
44,peter search history professor christianity hotel credit king view general mathematics hope ancient oulu attend,bad,good,-2,2
46,window display server application image memory screen color driver user apple running monitor mouse graphics,good,bad,2,-2
47,pres homosexual russian sexual cramer jewish sandvik activity russia dseg country child percent military continue,bad,good,-2,2
48,window display server application image screen color user memory driver graphics code apple running mouse,good,good,2,2
49,atheist belief religion atheism existence christianity ence faith cannot truth universe argument accept keith strong,good,good,2,2
50,dead body town duke shot kill mountain azeri soviet azerbaijan child massacre azerbaijani force helicopter,good,bad,2,-2
52,hockey season player goal league leaf playoff flyer penalty division wings next shot draft final,good,good,2,2
53,launch entry build project development commercial cost rule market satellite european output contest remark size,good,good,2,2
54,south george island secret military ship british jake employer bony nuclear rockefeller york naval plan,bad,good,-2,2
55,moral keith morality definition livesey caltech define community young goal behavior murder imply saying catholic,bad,good,-2,2
56,mouse move robert week processor chicago speed fast application microsoft anyway carry wait powerpc info,bad,bad,-2,-2
61,ground wire water circuit printer current battery connect cable outlet voltage wiring electrical panel heat,good,good,2,2
62,pres money clinton bill koresh business today house administration talk country press working rule stratus,bad,good,-2,2
63,turkish turk genoc soviet turkey russian armenia muslim today ottoman serve population serdar argic mountain,good,good,2,2
64,price monitor church port asking pitt build offer mask package spirit board send cannot shipping,bad,good,-2,2
66,research center april medical health national report washington institute cancer nasa disease virginia page child,good,good,2,2
68,food study ence bible death belief understand natural animal thought revelation rochester language nothing given,bad,good,-2,2
70,lost andrew james homosexual cramer chris white internet george clayton bitnet gatech disclaimer michael rose,bad,bad,-2,-2
71,image graphics package user unix directory anonymous format library site keyboard comp server contact database,good,good,2,2
72,research phone center organization technology office institute department national email engineering conference contact computing virginia,good,good,2,2
73,player season hockey league baseball goal division period pittsburgh pick leaf next boston mike chicago,good,good,2,2
75,wire ground circuit connect outlet wiring current electrical voltage panel neutral cable usually risc plastic,good,good,2,2
76,bill clinton modem batf stratus fire waco scott compound distribution company country warrant today agent,bad,good,-2,2
77,moral keith caltech school animal morality livesey goal behavior definition natural community humans solntze learning,bad,good,-2,2
79,engine model radar lock band detector rocket foot exhaust motor steal sport pressure cable sdsu,good,good,2,2
82,saturn liar nasa fool crazy dealer lunatic natural wrong gsfc caltech columbia price advertising billboard,bad,bad,-2,-2
87,henry access appear toronto digex orbit captain spencer mass weaver harris star hole universe theory,bad,bad,-2,-2
88,attack muslim lebanese religion left quite israeli fire hernlem away peace troops especially perhaps stop,good,bad,2,-2
92,love uiuc cwru thought wrong guess sorry frank keith nothing hell mine uucp objective homosexual,bad,good,-2,2
93,pres homosexual cramer administration working clinton house russian official community secretary sandvik sexual clayton private,bad,bad,-2,-2
94,unix resource server directory library user application type terminal converter release contrib running comp export,bad,good,-2,2
96,encryption chip clipper security privacy escrow encrypt technology agency enforcement message phone algorithm protect secure,good,good,2,2
97,weapon fire kill crime child firearm carry police cause woman death bill criminal member city,good,good,2,2
98,michael radio rutgers rock intelligence view associate amateur kaldis georgia covington broadcast mcovingt record central,bad,good,-2,2
100,weapon firearm police carry criminal license safety handgun self semi public auto officer crime illegal,good,good,2,2
102,hell alaska jack eternal forever motto acad main billion gene nsmca wright oakland adams heaven,bad,good,-2,2
103,looking friend uiuc battery month steve running craig fine nice junk date remember taste reaction,bad,bad,-2,-2
104,trade berkeley andy names tyre rick business prince division seattle stop uucp else custom forsale,bad,good,-2,2
105,turkish turk genoc soviet turkey armenia nazi today german russian ottoman captain serdar serve argic,bad,good,-2,2
106,land country care health drug disease money happy company patient physician insurance child gary jewish,bad,good,-2,2
108,lost james disclaimer model houston navy callison andrew weight bird init uoknor presentation behanna height,bad,bad,-2,-2
112,bible church christ faith matthew father word scripture truth lord belief heaven holy spirit authority,good,good,2,2
114,weapon firearm police criminal carry crime self auto handgun safety license semi citizen officer kill,good,good,2,2
116,islamic ohio charge magnus tube rice monash cheer turbo fred rushdie muslim movement mind khomeini,bad,good,-2,2
118,pres homosexual cramer administration working russian money russia private sexual secretary sandvik official clayton house,good,bad,2,-2
121,wave ryan guess story indiana ottawa stephen coming previous udel smoke roger mike compound gibson,bad,good,-2,2
124,weapon firearm carry police license handgun safety semi auto automatic revolver section dangerous officer rifle,good,good,2,2
125,remember andrew face reading dave reduce risc instruction duke intel instructions icon clone dear powerbook,bad,good,-2,2
126,love hell quote feel stup brian evil sorry learn choose fear accept death live maybe,bad,good,-2,2
127,access toronto henry appear digex hole informatik intercon walker amanda spencer captain hamburg mass cover,bad,good,-2,2
128,fire child kill cause away live woman doctor else remember face week left friend hand,bad,bad,-2,-2
129,driver card sound cards utexas light mode machine diamond gateway latest accelerator running austin crash,bad,good,-2,2
131,rule entry test output define section return size check count build author larry remark open,bad,bad,-2,-2
134,israel israeli country encryption arab drug attack pres chip clipper policy security administration health disease,bad,good,-2,2
136,drug court legal police illegal laws charge property federal lawyer francisco civil hate arrest anti,good,good,2,2
138,friend steve uiuc battery pain looking month week craig doug phil cause doctor remember taste,bad,good,-2,2
139,printer radio design quality technology laser signal print byte engineering project engineer component cost phone,good,bad,2,-2
140,ground water wire science bill engine food henry current battery level cwru center circuit outlet,good,good,2,2
141,bike speed turn mile front tire simms apple wheel engine motorcycle fast road rear left,good,good,2,2
145,appreciate advance anybody info keyboard looking thank hello greatly experience email access wonder type peter,bad,good,-2,2
149,kill weapon child fire crime firearm woman carry death police bill criminal city home doctor,good,good,2,2
150,treat larc company patient lyme nasa quack doctor culture ence khan physician tammy negative action,bad,good,-2,2
151,message apple colorado simms record simm thought arthur toshiba getting receive account wonder sent teel,bad,bad,-2,-2
152,israel medium israeli west bank palestinian joke suck bias arab report territory palestine east jerusalem,bad,good,-2,2
153,weapon firearm police carry criminal crime self handgun license safety auto semi citizen officer public,good,good,2,2
157,image graphics format package user code unix library motif directory comp site tool contact object,good,good,2,2
158,science theory scientific knowledge rochester experiment result dseg scientist process study methodology lady method hypothesis,good,good,2,2
159,drug country nazi child german anti care germany political party jewish society research policy insurance,good,bad,2,-2
162,saturn liar nasa fool crazy dealer gsfc lunatic columbia wrong caltech price advertising billboard lawrence,bad,bad,-2,-2
165,clinton movie class bill frame plan within animation sean administration charles mike bush quicktime regard,bad,good,-2,2
166,bill clinton fire batf stratus scott compound waco distribution child company agent watch today warrant,bad,bad,-2,-2
167,religion belief atheist atheism existence christianity faith ence cannot universe truth religious argument accept strong,good,good,2,2
168,encryption chip clipper security phone privacy public algorithm secure escrow message agency technology encrypt enforcement,good,good,2,2
173,discussion newsgroup vote topic misc electric utexas philip irvine uiuc newsgroups creation stove brent angry,bad,good,-2,2
174,bike engine mile front tire wheel motorcycle driving ford rear honda vehicle brake traffic radar,good,good,2,2
176,apple mouse fast speed robert slow processor machine move clock simms week centris hardware pretty,bad,good,-2,2
178,radio switch signal input audio helmet output level channel receiver noise relay frequency circuit local,good,good,2,2
179,simms apple drug record simm access math free news mark colorado allow price memory message,bad,good,-2,2
181,picture week pain stone gain blah beach timer caltech precision snow sleeve thomas integer iastate,bad,bad,-2,-2
186,andrew disclaimer lost james chris columbia behanna navy callison houston pack bird gary uoknor init,bad,bad,-2,-2
195,baseball player season period brave ball boston smith score hitter pitch pitcher dave pitching third,good,good,2,2
200,water tower internet nist plant cooling heat marc nuclear site ncsl email temperature cool contact,bad,good,-2,2
201,printer radio design print signal quality engineering laser engineer digital byte build technology electronics component,good,good,2,2
203,player hockey season league goal playoff leaf penalty flyer next shot puck draft pick city,good,good,2,2
205,henry access appear toronto digex captain star mass spencer hole harris weaver theory orbit universe,bad,good,-2,2
206,access appear henry toronto digex spencer cover mass star light hole theory black universe constant,bad,good,-2,2
210,image graphics user format package motif code unix library server object directory send application tool,bad,good,-2,2
212,food study effects brain animal gatech rochester chemical cause taste prism effect reaction eating chinese,bad,good,-2,2
214,israel israeli arab peace kill civilian lebanese lebanon human palestinian innocent soldier occupy village gaza,good,good,2,2
215,engine lock radar detector station model break foot head injury pound pressure rock exhaust rocket,good,good,2,2
219,research center washington april national report health institute medical department among child page virginia study,good,good,2,2
220,function code text islam muslim null reference error subject date translation cipher gregg following jaeger,bad,good,-2,2
221,switch signal helmet audio input radio level output receiver local relay noise circuit paint build,good,bad,2,-2
222,bike speed turn apple mile tire simms fast wheel mouse brake rear driver front engine,bad,good,-2,2
223,woman city building left home apartment father door face azerbaijani room neighbor sumgait later live,bad,good,-2,2
224,scsi controller fast interface transfer bios speed card jumper disk feature standard devices mode pope,bad,good,-2,2
225,entry launch remark rule satellite european build contest player test francis given author canadian cipher,bad,good,-2,2
227,father massacre begin jayne hole sport french soldier oracle russian creed cursor spirit erzurum view,bad,bad,-2,-2
228,picture keywords command risc fool instruction rose loss liar gain timer instructions cycle week blah,bad,good,-2,2
229,land israel drug israeli country arab kill attack care money million company cause insurance jewish,good,good,2,2
230,israel israeli jewish arab policy peace research center citizen palestinian gaza east authorities movement jerusalem,good,good,2,2
233,uiuc pres hell frank white andrew love light uucp michael ever james thought george cramer,bad,good,-2,2
236,font unit link cross banks gordon pitt surrender soon skepticism type intellect cadre allocation shameful,bad,bad,-2,-2
239,israel israeli arab palestinian kill attack peace land civilian human murder lebanese occupy trial policy,good,good,2,2
241,disk memory tape error floppy instal boot internal running swap backup crash install machine works,good,good,2,2
243,news anonymous service usenet network internet email electronic privacy message user public conference site congress,bad,bad,-2,-2
247,bill clinton fire batf scott stratus compound koresh child waco tear agent distribution cult watch,bad,good,-2,2
248,engine modem rocket phone model yeast level friend radar rock foot head motor sdsu band,bad,good,-2,2
249,argument ence moral keith human saying statement imply conclusion morality definition wrong caltech assume nature,bad,good,-2,2
250,printer quality byte laser higher component lower loop push cartr network design storage offset scope,good,good,2,2
251,crime death rate laws paul freedom black homic defense white study majority rates minority handgun,good,good,2,2
253,center virginia research nasa internet film maine contact office national conference north news report phone,bad,good,-2,2
254,access toronto henry digex appear hole informatik intercon amanda walker spencer hamburg mass captain cover,bad,good,-2,2
258,nasa mission launch surface shuttle radar detector atmosphere field orbiter probe april ozone three pasadena,good,good,2,2
262,berkeley love court hate francisco anti money jacket property leather charge choose loud museum safe,bad,good,-2,2
263,scsi controller interface transfer bios devices jumper feature fast standard card setting speed esdi disk,bad,bad,-2,-2
265,launch commercial project cost market development satellite contract money technology build million product venture next,good,good,2,2
267,printer font print character water thor analysis laser rochester jake postscript picture libertarian bony pattern,bad,bad,-2,-2
269,image graphics format package user object code send processing site database application convert library interface,good,good,2,2
271,doctor patient disease cand treatment medical blood medicine treat cause yeast physician body infection anti,good,good,2,2
273,turkish muslim turk greek turkey armenia genoc soviet russian islamic history mountain massacre army escape,good,good,2,2
274,font print printer character bitnet page postscript blow vice type paper text cell printing adobe,good,good,2,2
276,appreciate info error motherboard anybody advance keyboard graphics access upgrade internet test experience type hardware,good,good,2,2
277,scsi controller interface transfer bios devices jumper feature fast standard card setting speed disk esdi,good,good,2,2
278,south secret island jake nuclear bony rockefeller british employer york george ship attack occupy mass,bad,bad,-2,-2
279,bible christ matthew lord father faith word holy spirit scripture heaven teach passage doctrine mary,good,good,2,2
280,character font printer print vice page cell code bill beauchaine bobbe thought deskjet beep blow,good,good,2,2
281,kill death crime criminal self murder commit public innocent defense knife cause protect victim violent,good,good,2,2
282,player season hockey league baseball goal division pittsburgh period leaf boston chicago pick score next,good,good,2,2
283,disk scsi controller card modem floppy port chip speed interface motherboard serial clock bios fast,good,good,2,2
287,rutgers kaldis child koresh easter michael radio homosexual ence trial witness georgia germany theodore covington,bad,bad,-2,-2
291,health medical national increase cancer report among child center april research newsletter page disease volume,good,good,2,2
292,period player boston pittsburgh baseball season dave pitch brave score pitcher chicago third smith pitching,good,good,2,2
294,price board shipping package slot hello port sony thank unit sell purchase digital mask nubus,bad,good,-2,2
295,disk scsi controller port board floppy card modem motherboard interface transfer serial bios boot speed,good,good,2,2
296,ground water wire food engine science light current cause test henry hole battery level study,bad,good,-2,2
297,white pick male rose black harris round johnson philadelphia nothing hulman report winner cooper handling,bad,good,-2,2
299,attack tank fire buffalo ncsu away cover stand hernlem limbaugh stop pray brad hawk fight,bad,bad,-2,-2
303,moral livesey animal keith solntze morality goal imply school behavior saying community murder whether ence,bad,good,-2,2
304,price sell cheap shipping purchase dealer deal selling sale model phone cost offer company money,good,good,2,2
307,suck west bank thought agree joke carry stup fake cause inhabitant cover tire ling land,bad,bad,-2,-2
310,atheist atheism religion religious belief faith command theist strong saturn position universe following cause response,good,good,2,2
311,weapon firearm police carry safety auto handgun semi license automatic revolver section fire bill dangerous,good,good,2,2
312,intercon amanda walker hell distribution stup money phone next love easy newsreader listen else remember,bad,bad,-2,-2
314,steve libertarian thor vice steveh blow hendricks dream beauchaine bobbe sink eliminate regulation rally fail,bad,bad,-2,-2
317,font pitt soon unit gordon cross banks link input output newsreader character current surrender error,bad,good,-2,2
319,switch input signal audio circuit helmet output level voltage build radio relay receiver noise frequency,good,good,2,2
320,population bullet arab israeli thousand border policy daughter slaughter village muslim wife authorities switzerland religious,bad,good,-2,2
321,criminal crime bike knife murder commit death violent indiv firearm kill public defense carry parent,good,good,2,2
322,driver sound card mode cards utexas diamond gateway accelerator latest austin vesa svga cica stealth,bad,bad,-2,-2
