,task,true,model,model_extracted,true_num,classification_metric
0,able amaze fill glad stop daily fantastic move prime plenty empty subtle job strongly litter,bad,YES TEXT: able amaze fill glad stop daily fantastic move prime plenty empty subtle job strongly litter,2,-2,1
1,able amaze fill stop glad daily fantastic move plenty prime empty job subtle strongly litter,bad,YES TEXT: able amaze fill stop glad daily fantastic move plenty prime empty job subtle strongly litter,2,-2,1
2,able amaze fill stop glad daily fantastic move plenty prime empty subtle job strongly litter,bad,YES TEXT: able amaze fill stop glad daily fantastic move plenty prime empty subtle job strongly litter,2,-2,1
3,able amaze glad fill stop fantastic daily move prime empty plenty subtle job strongly litter,bad,YES TEXT: able amaze glad fill stop fantastic daily move prime empty plenty subtle job strongly litter,2,-2,1
4,absolute church truth doug scripture symbol libxmu font bible free undefined type motif error application,good,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,2,1
5,absolute church truth mission nasa doug mars earth free application error type font email symbol,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
6,absolute mission church nasa mars earth truth lunar shuttle doug telescope symbol planetary libxmu launch,good,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,2,1
7,absolutely fast white rice service noodle terrible customer grain process satisfied super delivery disappointed experience,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
8,absolutely fast white super service customer return terrible satisfied horrible replace sticky process package disgust,good,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,2,1
9,absolutely grain experience soon there's process anyway true terrible satisfied knew average replace sort wild,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
10,absolutely grain experience soon there's process true anyway knew terrible sort satisfied average replace wild,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
11,absolutely grain experience there's soon process anyway terrible satisfied average true replace sort wild knew,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
12,absolutely grain there's process experience terrible anyway satisfied replace average sticky wild soon disgust lol,bad,YES TEXT: absolutely grain there's process experience terrible anyway satisfied replace average sticky wild soon disgust lol,2,-2,1
13,absolutely grain there's process experience terrible satisfied replace anyway sticky wild average disgust lol freshness,bad,YES TEXT: absolutely grain there's process experience terrible satisfied replace anyway sticky wild average disgust lol freshness,2,-2,1
14,absolutely grain there's process terrible experience satisfied replace sticky wild anyway disgust lol freshness average,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
15,absolutely grain there's process terrible satisfied experience replace sticky wild disgust lol freshness anyway gag,bad,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,-2,1
16,absolutely grain there's terrible satisfied process replace experience sticky wild disgust rice lol freshness gag,bad,YES TEXT: absolutely grain there's terrible satisfied process replace experience sticky wild disgust rice lol freshness gag,2,-2,1
17,absolutely white fast super return customer service experience process terrible horrible satisfied replace sticky lol,good,"YES s>[INST]You are the assistant for text classification. You will receive a TEXT,",2,2,1
