,text,true_num,model_num,model_extracted,model,true
0,able amaze fill glad stop daily fantastic move prime plenty empty subtle job strongly litter,-1,0,0,neutral,rather_bad
1,able amaze fill stop glad daily fantastic move plenty prime empty job subtle strongly litter,-1,0,0,neutral,rather_bad
2,able amaze fill stop glad daily fantastic move plenty prime empty subtle job strongly litter,-1,0,0,neutral,rather_bad
3,able amaze glad fill stop fantastic daily move prime empty plenty subtle job strongly litter,-2,0,0,neutral,bad
7,absolutely fast white rice service noodle terrible customer grain process satisfied super delivery disappointed experience,-1,1,1,rather_good,rather_bad
8,absolutely fast white super service customer return terrible satisfied horrible replace sticky process package disgust,2,-1,-1,rather_bad,good
9,absolutely grain experience soon there's process anyway true terrible satisfied knew average replace sort wild,-2,0,0,neutral,bad
10,absolutely grain experience soon there's process true anyway knew terrible sort satisfied average replace wild,-2,0,0,neutral,bad
11,absolutely grain experience there's soon process anyway terrible satisfied average true replace sort wild knew,-2,0,0,neutral,bad
12,absolutely grain there's process experience terrible anyway satisfied replace average sticky wild soon disgust lol,-1,0,0,neutral,rather_bad
13,absolutely grain there's process experience terrible satisfied replace anyway sticky wild average disgust lol freshness,-2,0,0,neutral,bad
14,absolutely grain there's process terrible experience satisfied replace sticky wild anyway disgust lol freshness average,-2,0,0,neutral,bad
15,absolutely grain there's process terrible satisfied experience replace sticky wild disgust lol freshness anyway gag,-2,0,0,neutral,bad
16,absolutely grain there's terrible satisfied process replace experience sticky wild disgust rice lol freshness gag,-2,0,0,neutral,bad
17,absolutely white fast super return customer service experience process terrible horrible satisfied replace sticky lol,0,0,0,neutral,neutral
18,absolutely white fast super return service customer terrible satisfied horrible replace process experience sticky lol,0,0,0,neutral,neutral
19,absolutely white fast super service customer return terrible satisfied horrible replace sticky process disgust lol,2,0,0,neutral,good
20,absolutely white fast super service customer return terrible satisfied horrible replace sticky process experience disgust,-2,-1,-1,rather_bad,bad
34,actually texture cut version wheat pasta search miss cook office oat biscuit unlike seriously winner,-1,0,0,neutral,rather_bad
35,actually texture cut version wheat pasta search miss cook office unlike oat biscuit seriously winner,-2,0,0,neutral,bad
36,actually texture cut version wheat pasta search miss unlike oat biscuit seriously winner similar standard,-1,1,1,rather_good,rather_bad
37,actually texture cut wheat miss oat biscuit unlike seriously quaker country winner absolute whole swiss,-2,0,0,neutral,bad
42,almond blue cocoa magnesium iced bitter wait grey diamond earl ounce rda beat bowel body,-2,0,0,neutral,bad
43,almond body blue magnesium cause blood diamond level reminds nutrient bowel rda present approximately diarrhea,-1,1,1,rather_good,rather_bad
44,almond body blue magnesium diamond blood cause reminds bowel rda nutrient level approximately diarrhea source,-1,1,1,rather_good,rather_bad
45,almond body blue magnesium diamond blood reminds cause bowel rda nutrient approximately diarrhea source level,2,1,1,rather_good,good
46,almond body blue magnesium diamond blood reminds cause bowel rda nutrient approximately level diarrhea source,0,1,1,rather_good,neutral
47,almond body smooth blue magnesium cause diamond reminds increase peppermint bowel nutrient rda blood source,0,1,1,rather_good,neutral
48,almond smooth body blue magnesium cause diamond reminds increase bowel peppermint nutrient rda blood source,-2,1,1,rather_good,bad
49,always case salty awesome live sour hooked tuna cheddar crispy pantry since suggest new tangy,-2,1,1,rather_good,bad
50,always case salty awesome live sour hooked tuna cheddar crispy pantry since tangy new suggest,2,0,0,neutral,good
51,always case salty awesome live sour hooked tuna cheddar crispy pantry suggest since new tangy,0,1,1,rather_good,neutral
52,always case salty awesome live sour hooked tuna cheddar crispy pantry tangy since new suggest,-2,0,0,neutral,bad
53,always case salty awesome live sour hooked tuna suggest cheddar crispy pantry since tangy new,-1,0,0,neutral,rather_bad
54,always case salty awesome live sour tuna hooked cheddar crispy pantry tangy since new less,-1,0,0,neutral,rather_bad
55,always case salty live awesome sour hooked suggest tuna cheddar since crispy pantry tangy heaven,-2,1,1,rather_good,bad
56,always case salty live awesome sour hooked tuna suggest cheddar crispy pantry since tangy heaven,-2,1,1,rather_good,bad
57,always case salty live awesome suggest sour hooked tuna crispy cheddar since pantry tangy heaven,-1,1,1,rather_good,rather_bad
58,always case salty live awesome suggest sour hooked tuna since cheddar crispy pantry tangy heaven,-2,1,1,rather_good,bad
59,always last buying whole open worth case they're that's hand couple jar part mine pouch,0,0,0,neutral,neutral
60,always last sure case they're open couple jar week two whole part mine someone seed,-2,0,0,neutral,bad
61,always powder several usually chai gold meal scoop replacement tablespoon living since nature authentic prefers,-2,0,0,neutral,bad
62,always powder vitamin aroma supplement teaspoon grow soy form along grass mineral hint hemp tablespoon,2,0,0,neutral,good
63,always several powder usually chai gold replacement scoop meal living tablespoon since nature authentic orgain,-1,0,0,neutral,rather_bad
64,always several powder usually chai replacement gold scoop living tablespoon since nature meal authentic orgain,-2,0,0,neutral,bad
65,always several usually powder chai replacement gold scoop living since authentic orgain prefers buttermilk nature,-1,0,0,neutral,rather_bad
66,always sure case last they're couple jar open week two mine part someone seed pouch,-2,0,0,neutral,bad
67,always sure case last they're couple week jar open two part mine someone seed pouch,-2,0,0,neutral,bad
68,always sure last case they're couple week open jar two part mine someone seed pouch,-2,0,0,neutral,bad
69,always sure last case they're two week couple jar part mine maybe someone open seed,-1,0,0,neutral,rather_bad
70,always sure last open whole case they're week maybe couple jar that's part mine someone,-2,0,0,neutral,bad
90,anyone son hair super oatmeal skin okay pure fall mom gas recently wash improve seriously,-1,1,1,rather_good,rather_bad
91,anyone son super oatmeal body skin okay pure fall heard mom gas wash improve seriously,-2,0,0,neutral,bad
92,anything juice guess wrong throw immediately think actual n't concentrate squeeze picture might could strip,-2,0,0,neutral,bad
93,anything juice guess wrong throw picture immediately actual concentrate squeeze strip photo funny pas mislead,-2,0,0,neutral,bad
94,anything juice guess wrong throw picture immediately actual concentrate squeeze strip think photo funny pas,-2,0,0,neutral,bad
95,anything juice guess wrong throw picture immediately actual concentrate think squeeze strip photo might funny,-1,0,0,neutral,rather_bad
96,anything juice wrong guess throw immediately think n't concentrate squeeze actual could might photo strip,-2,0,0,neutral,bad
97,anything juice wrong guess throw immediately think n't concentrate squeeze actual might could picture strip,-2,0,0,neutral,bad
168,arrive second gum hope date online however original past finish last today stale broken shipment,-1,1,1,rather_good,rather_bad
169,arrive second gum hope date online however original past last finish today stale broken shipment,-2,1,1,rather_good,bad
170,arrive second gum hope date online original past stale shipment today finish however dec expiration,-2,1,1,rather_good,bad
171,arrive second gum hope online date original past already soon finish today broken stale plan,-2,-1,-1,rather_bad,bad
195,away dark full roast rich flavorful extremely rest double drinker steep world magic drank selection,0,1,1,rather_good,neutral
196,away roast dark full rich flavorful pick rest extremely world double drinker magic consistently drank,-1,1,1,rather_good,rather_bad
197,baby jerky broken ready veggie pump increase fall tender barely carrot freezer previously gerber earth's,-2,0,0,neutral,bad
198,baby jerky broken veggie fall ready pump increase freezer tender barely carrot older previously gerber,-2,0,0,neutral,bad
199,baby jerky broken veggie fall ready pump increase freezer tender barely carrot older previously parent,-1,0,0,neutral,rather_bad
200,baby pill jerky pump cost liter gerber hairball sodastream formula nursing reflux teriyaki week infant,-1,0,0,neutral,rather_bad
201,baby pill jerky pump cost liter gerber sodastream hairball reflux teriyaki nursing whatever med fenugreek,-2,0,0,neutral,bad
202,back wonderful home next thank left fantastic issue brought thrill mouth word post mini fabulous,-2,1,1,rather_good,bad
203,back wonderful home next thank left fantastic issue brought thrill word post mouth mini fabulous,-2,1,1,rather_good,bad
204,back wonderful home next thank left fantastic issue thrill brought word post mini fabulous reach,-2,1,1,rather_good,bad
205,back wonderful home next thank left fantastic issue thrill brought word post mouth mini reach,-2,0,0,neutral,bad
206,back wonderful new drinking home change amaze highly next issue thank left set excite share,-2,1,1,rather_good,bad
207,back wonderful new drinking home change highly amaze next issue thank left set excite share,-2,1,1,rather_good,bad
208,back wonderful new highly drinking home change amaze next issue thank left set excite share,-2,1,1,rather_good,bad
209,back wonderful new highly drinking home change amaze next issue thank left set share excite,-1,1,1,rather_good,rather_bad
210,back wonderful new home change absolutely amaze next issue thank left wait hope difficult fantastic,0,1,1,rather_good,neutral
211,back wonderful new home change amaze next absolutely issue thank left wait difficult office fantastic,-1,1,1,rather_good,rather_bad
212,back wonderful new home change amaze next issue thank left lose difficult office fantastic anywhere,-2,1,1,rather_good,bad
213,back wonderful new home change drinking amaze husband next issue thank left highly life anyone,-2,0,0,neutral,bad
214,back wonderful new home change next amaze issue thank left lose difficult office fantastic anywhere,0,1,1,rather_good,neutral
215,back wonderful new home change next amaze issue thank left lose hope life office fantastic,-2,1,1,rather_good,bad
216,back wonderful next life mouth issue thank left sit short fantastic stand eye brought ton,-1,0,0,neutral,rather_bad
217,back wonderful thank issue left next eye customer introduce doctor felt spring brought lose goodness,-1,0,0,neutral,rather_bad
219,bar almond granola nut oat cluster omega- chia yogurt clif flaxseed flax cereal shiitake mar,2,1,1,rather_good,good
220,bar almond granola nut oat cluster omega- chia yogurt flaxseed clif flax cereal shiitake mar,0,1,1,rather_good,neutral
221,bar butter peanut nut almond granola yogurt oat raisin cashew quaker walnut bran graham flax,2,1,1,rather_good,good
