,text,topic,true_topic,cos_sim,cos_sim_class
1,dog treat training liver greenies ball pup dog's puppy owner beneful beagle bully reward lick,['training'],"['dog training', 'dog', 'pet']",0.6173341671625773,H
2,morning breakfast light packet indiv mild convenient pour wrap easily stevia liqu way ual usually,['convenience'],['morning'],0.555207371711731,M
3,snack chip healthy tasty family cheese they're apple potato alternative salty enjoy lunch satisfy crave,['snacking'],"['snack', 'snack']",0.9492418169975281,VH
5,syrup sometimes artificial high sweetener chemical sweeten splenda stevia maple corn agave extract fructose diabetic,['sweetener'],"['sugar', 'syrup']",0.7813936471939087,H
6,chip star potato corn reason yellow kettle vinegar blue rating addictive garden tortilla trap think,['addictive'],['chip'],0.5119485259056091,M
9,tasty fiber satisfy lunch healthier crunch dip yum typical hungry late bill wholesome guilt disappear,['healthy'],['fiber'],0.5047988891601562,M
13,cooky cookie mouth bite raspberry thin brownie fudge xylitol crumb oreo creme gooey pan soft,['dessert'],"['dessert', 'cooky', 'cooking', 'cookie']",0.7512040734291077,H
14,cooky cookie raspberry thin agree brownie oreo fudge think gooey crumbly soft texture package enough,['dessert'],['cooking'],0.6308876872062683,H
16,purchase happy ship impressed website chance wonder offer directly mother elsewhere enjoys promptly refund however,['purchase'],['online shopping'],0.5267005562782288,M
17,vanilla keurig k-cups french light k-cup aroma medium chai matcha hint blend starbucks brewer creamer,['coffee'],['coffee'],1.0,VH
19,enjoy right candy amount quick cold plain hint refresh warm sweetness beverage summer mango quantity,['summer'],['juice'],0.4336378276348114,M
20,ingredient organic natural real corn syrup list label grain expensive pet artificial ginger feed wheat,['natural'],['food'],0.44305604696273804,M
22,vanilla several deal brew smooth machine french house starbucks maker pot shop espresso sample drinker,['coffee'],['drink'],0.6800295114517212,H
29,favorite oil ever popcorn spice pop season cooking olive salad cocoa chai top black garlic,[' flavor'],['recipe'],0.7169057130813599,H
32,chicken meat vegetable purchasing hazelnut test filler we're ingredient steak vegetarian by-product grill duck gloria,['food'],"['kitchen', 'cooking', 'fokd']",0.6736955444018046,H
33,morning breakfast indiv wrap convenient portion control ual afternoon ually deep enjoy lunch every worry,['healthy'],"['breakfast', 'food cycle']",0.3437720686197281,M
34,sweet delicious bar milk cereal texture nut fruit definitely perfect yummy almond cinnamon fill oatmeal,['dessert'],"['food', 'sweet', 'milk bar', 'oatmeal']",0.6541398167610168,H
35,year two size old last month every start week since baby several long ago three,['baby'],['time'],0.6934092044830322,H
40,pet vet feed ingredient wellness corn chicken liver meat diet filler science kibble kitten fructose,['nutrition'],"['pet care', 'veterinary', 'pet']",0.5264532168706259,M
42,stuff coconut cream ice tell cannot told pure wow everyday face bpa jelly pomegranate absolute,['natural'],['coconut'],0.5838305354118347,M
44,by-product cat meat tassimo unit ingredient pad real poop friskies temperature harvest chicken keurig breeze,['convenience'],['food'],0.579959511756897,M
46,oil ever popcorn spice jar pop season cooking olive salad cook top christmas sprinkle microwave,['cooking'],['cooking'],1.0000001192092896,VH
47,feed change diet vet formula wellness crazy eats switch pet whatever kibble science kitten fed,['nutrition'],['diett'],0.699762761592865,H
49,morning breakfast indiv convenient wrap portion control ual afternoon ually worry deep early since wake,['healthy'],['morning'],0.5920525789260864,M
52,without help anyone super body oatmeal skin recently okay fall gas face pure mom daily,['healthy'],['facial and body product'],0.4285740256309509,M
53,cheese bread bake follow homemade spread slice spoon toast direction fry sandwich usual mustard oven,['bread'],"['cooking', 'homemade bread']",0.7714022994041443,H
54,cooky cookie mouth raspberry thin brownie fudge xylitol oreo creme package gooey pan think soft,['dessert'],['candy and cooky'],0.7359544038772583,H
55,rice meal bowl ginger content picky label dinner contain sprinkle brown eater fairly cooked thai,['thai rice bowl'],"['food', 'rice']",0.5913694500923157,M
57,cooky cookie mouth raspberry thin brownie fudge xylitol oreo creme gooey pan think package soft,['dessert'],['cookie'],0.7080201506614685,H
59,bpa water g<br glutamate msg monosodium mio glutamic electrolyte coconut zico free hydrolyze essentia gatorade,['drink'],['manufacturing'],0.5837227702140808,M
61,several deal smooth brew machine maker french pot shop sample espresso two drinker anymore every,['coffee'],"['café', 'smooth brew']",0.6434109210968018,H
62,chip star potato salty corn veggie reason vinegar kettle rating think whole addictive garden still,['snack'],['chip'],0.5750962495803833,M
63,natural list contains raw berry book usa herb gross site ingredient root report aloe question,['nature'],['list natural ingredient found in internet'],0.4418749213218689,M
67,nice salt hard color cracker big smaller bite dish hit kind broken shape sea vinegar,['snack'],['salt'],0.5689416527748108,M
70,kit g<br wine sat heart mg<br chip fat drinkable saturday sit total sodium joke call,['saturday'],['kit g'],0.3932231664657593,M
71,calorie low fat protein fiber weight serve sodium gram high per carbs diet nutrition carb,['diet'],"['healthy snack', 'diet']",0.8230189681053162,VH
72,sweet enjoy right candy amount quick cold refresh sweetness summer mango plain beverage ant way,['summer'],['refresh drink'],0.4955953359603882,M
78,hair clear heard thick wash scent shampoo conditioner oily manufacturer shiny scalp head apply shower,['grooming'],['shampo'],0.616478443145752,H
79,ingredient honey list label special contain contains prov raw test process splenda site china tree,['sweetener'],['honey'],0.7651271820068359,H
80,company available care awesome search sent licorice send contact email since business call affordable amazon's,['amazon'],['online retailer'],0.626552164554596,H
81,protein fat coconut fiber sodium gram carbs splenda calorie msg bpa ant grape antiox g<br,['nutrition'],"['nutrient', 'calorie', 'nutrition', 'nutrition fact']",0.8236870914697647,VH
84,bought local grocery cost cheaper able buying carry deliver live run plant stop shelf trip,['shopping'],"['shopping', 'shopping']",0.9999997615814209,VH
90,sauce cheese recipe bread spicy cook season cake salad egg bake chicken flour chili tomato,['recipe'],"['food', 'cooking', 'recipe', 'cooking']",0.8401482999324799,VH
93,green sauce protein powder vitamin mixed soy shake contains fiber matcha form nutrition teaspoon prov,['healthy drink'],"['protein', 'health', 'nutrition']",0.6160286664962769,H
94,free cooky butter peanut gluten cookie gum original sale melt vegan reasonable bake prime walmart,['bakery'],"['food', 'candy and food choice']",0.5969098806381226,M
98,local grocery home half deliver ask realize shelf trip door brought picked across reorder shopping,['convenience'],"['local grocery delivery', 'home delivery']",0.33651673793792725,M
99,sauce regular serve per save hot bit red spicy pepper ounce subscribe option heat chili,['spicy'],"['food', 'sauce']",0.5904213488101959,M
101,popcorn baby jerky daughter son picky pill formula puppy training he's mom eater eats feed,['snacks'],['mom struggle'],0.18814045190811157,L
104,bit extra cream three bold ice type second tiny remember two single people honestly require,['sweetness'],['ice'],0.4631706178188324,M
105,dark full roast away rich flavorful extremely long double drinker steep magic drank half odd,['coffee'],['drink and food'],0.5431278944015503,M
106,ingredient color corn allergy stevia puppy source research filler main pet human yellow meal allergic,['food'],['pet food'],0.7081573009490967,H
110,bought local grocery buying cost cheaper able carry live deliver stop run plant supermarket shelf,['localism'],['grocery'],0.4571719765663147,M
114,ingredient natural list special contains raw berry usa china book herb gross prov report twist,['nature'],['food'],0.5057110786437988,M
115,feel health notice normal benefit lower person particular trouble heart gummy consume birthday crisp tasteless,['health'],['healthy diet'],0.6885166168212891,H
118,sweet delicious bar milk cereal texture nut almond yummy cinnamon granola fill strawberry chewy caramel,['sweetness'],"['nutrition', 'food', 'food']",0.5197551747163137,M
122,feed change diet crazy wellness formula eats kibble vet year whatever switch old science start,['transformation'],['diet'],0.4772747755050659,M
126,different many others keurig k-cups name brewer creamy curry k-cup experiment paste extra folgers way,['variety'],['beverage'],0.6979672908782959,H
129,year two size old every last month start since week several baby long three ago,['baby'],['year'],0.6583205461502075,H
130,snack chip healthy tasty family they're cheese potato apple alternative salty lunch satisfy enjoy crave,['snack'],"['food', 'snack']",0.8973219096660614,VH
132,milk n't start diet stomach soy substitute shake sensitive nasty upset dissolve usually zero allergic,['substitute'],['milk'],0.5437232255935669,M
135,last gum long hope date online dec original past shipment expiration true plan anywhere could,['shipment'],['gum'],0.580237865447998,M
144,free gluten balance salmon wet turkey diet kitten fussy since ocean limit natural important smelly,['nutrition'],"['food', 'diet', 'animal food', 'nutrition']",0.8044146597385406,VH
152,flour egg grain large boy mill poor disease recipe celiac kibble allergy choke formula whole,['food'],"['bake or cook', 'food']",0.8407666683197021,VH
153,chicken meat vegetable purchasing test hazelnut we're steak vegetarian real exception grill gloria rub plate,['food'],"['food', 'cooking']",0.8976049423217773,VH
155,sauce rice meal cook noodle dish soy dinner cooked thick brown sprinkle restaurant cooking simple,['cuisine'],"['food', 'food preparation']",0.8340837359428406,VH
156,bar cereal butter snack cooky peanut nut cracker almond oatmeal cookie granola fruit strawberry crunch,['snack'],"['breakfast', 'food', 'food item']",0.7371612787246704,H
157,sauce serve per regular save hot red bit spicy pepper ounce subscribe heat option single,['spicy'],['condiment'],0.6377618312835693,H
160,less calorie protein amount low fat fiber weight sodium gram substitute carbs lower lose diet,['diet'],"['healthy lifestyle', 'diet guide']",0.7147504985332489,H
162,package fresh receive absolutely disappointed fast white super return customer service open terrible costco shipment,['disappointment'],"['store delivery', 'package']",0.4330722987651825,M
163,bottle shipping excellent available plastic everyone offer pleased delivery glass lemon seller mint travel sample,['travel'],"['deliver', 'shopping', 'bottle', 'drink']",0.724176287651062,H
165,keep need seem worth still hand container teeth clean around cheap result thing every basically,['hygiene'],['clean'],0.7362645268440247,H
168,brew bitter bold starbucks decaf instant via weak strong drinker smooth mocha peppermint magic yet,['coffee'],"['hot drink', 'brew']",0.6610789597034454,H
169,way drinking mild aftertaste espresso weird sip latte either oppose mellow appeal richer overprice wonderfully,['espresso'],"['drinking', 'drink']",0.59410759806633,M
170,salt bean dish kitchen pork gourmet sea ground rind cooking amount jamaica grinder basic actually,['cuisine'],"['cooking', 'cooking']",0.8135979175567627,VH
172,healthy tasty snack fiber healthier lunch satisfy dip alternative yum touch gram bill usual enjoy,['healthy'],"['health snack', 'healthy food', 'healthy']",0.8158111572265625,VH
173,nice never hard kind please heard surprise overpower bring describe lighter present rock puff pa,['pleasant'],['noun'],0.48731380701065063,M
176,review see another disappointed read value similar reviewer base call experience write reading comment negative,['disappointment'],"['write', 'review']",0.5709867775440216,M
177,purchase happy ship offer website wonder impressed chance directly mother elsewhere enjoys promptly rip express,['shopping'],"['business', 'shipping', 'order']",0.655439019203186,H
180,company available care awesome search sent licorice send contact email business affordable amazon's beyond coupon,['amazon'],['business'],0.38222044706344604,M
181,oil popcorn spice pop olive christmas worst italian garlic regularly kernel microwave smoke sister cooking,['food'],['cooking'],0.7952097654342651,H
182,every last long nothing week grow plant boy he's beautiful visit still two ran finally,['growth'],['last'],0.4451184570789337,M
184,popcorn baby daughter formula pill he's training puppy pump gobble puff busy greenies kernel adult,['food'],['family'],0.5269685387611389,M
186,cooky cookie raspberry thin agree brownie oreo fudge think gooey crumbly soft enough overprice ruin,['dessert'],['cooking'],0.6308876872062683,H
189,anyone son super oatmeal body skin okay pure fall heard mom gas wash improve seriously,['healthy'],['oatmeal'],0.271083265542984,L
190,worth packet waste follow splenda world horrible direction sweeter whenever accord town sucralose hardly compliment,['sweetener'],['packet'],0.5921688079833984,M
191,cat pet wellness feed meat ingredient science vet kitty kibble filler kitten purina cat's by-product,['nutrition'],"['cat', 'pet', 'cat food']",0.35693810880184174,M
194,market pasta difference stomach brown mean hold sour cook soda coat upset folk nicely finger,['digestion'],['market pasta'],0.5375100374221802,M
201,oil salt chew energy gum bone hair body toy olive blue skin magnesium help night,['energy'],['energy bar'],0.7462272644042969,H
202,purchase item happy company ship see bulk exactly sent condition offer website packed impressed state,['happiness'],"['delivery', 'purchase item', 'online purchase']",0.4400436083475749,M
203,mix lot less problem pay leave place except kept convenience crystal waffle remove fancy scoop,['simplicity'],['problem'],0.4548807740211487,M
210,bar almond granola nut oat cluster omega- chia yogurt clif flaxseed flax cereal shiitake mar,['healthy snacks'],"['fiber drink', 'snack']",0.596421629190445,M
212,help chew keep hour honey energy bone minute toy skin need night work trip training,['assist'],['energy bodybuilder supplement'],0.4909924268722534,M
216,sweet delicious bar milk cereal texture nut yummy almond fill cinnamon oatmeal definitely granola strawberry,['dessert'],"['breakfast', 'breakfast', 'sweet']",0.7091211477915446,H
217,rice meal ginger content contain sprinkle dinner cooked thai snap they've fairly palm breast might,['thai rice meal'],['food'],0.5487712621688843,M
218,away roast dark full rich flavorful pick rest extremely world double drinker magic consistently drank,[' intensity'],['drink'],0.6678827404975891,H
219,two every item several brew deal smooth machine maker pot shop espresso sample french christmas,['coffee'],['coffee'],1.0,VH
221,hazelnut gloria ingredient manufacturing facility jean's test vanilla ensure blackberry processing jean please harmful assure,['manufacturing'],['gloria'],0.6329599618911743,H
228,fruit top plus nut fan cake mixed hit banana dessert microwave flavour etc car big,['dessert'],['dessert'],1.0000001192092896,VH
236,enjoy right candy amount refresh summer quantity unique plain chunk ant outstanding think pineapple relatively,['summer'],['summer'],1.0000001192092896,VH
