,text,topic,true_topic,cos_sim,cos_sim_class
0,earth orbit nasa mission moon satellite lunar shuttle launch spacecraft probe flight mars solar project,['space exploration'],"['nasa researcg', 'space program', 'space', 'lunar']",0.8251477777957916,VH
4,hell alaska eternal liar motto main acad crazy watch able create camera nsmca death lunatic,['crazy'],['fılm'],0.4699432849884033,M
7,error appreciate info motherboard graphics internet anybody nrhj access mode test type seizure upgrade advance,['computer'],['error'],0.4656142592430115,M
8,food disease medical doctor patient health treatment cancer blood cand medicine study treat symptom infection,['health'],"['healthcare', 'treatment', 'hospital', 'medicine']",0.7055064737796783,H
10,player hockey season league goal leaf playoff next flyer penalty draft division puck final shot,['playoffs'],"['sport', 'hockey', 'game', 'sport']",0.4814332127571106,M
11,anonymous news service usenet privacy network electronic internet email site public user server congress archive,['usenet'],['hack'],0.6664244532585144,H
12,bible religion turkish church belief truth argument faith christ atheist muslim greek ence human word,['religion'],"['faith', 'worship', 'religion', 'religion', 'faith', 'religion']",0.8687937359015147,VH
15,country action land force iran citizen house bosnia weapon majority federal constitution civil nation adam,['nation'],"['politics', 'world conflict']",0.5395720899105072,M
18,bible church christ truth faith lord catholic scripture father belief christianity heaven hell holy interpretation,['religion'],"['christ', 'christianity', 'christanity', 'religion']",0.7609033584594727,H
21,encryption chip clipper security escrow secure agency technology encrypt privacy enforcement algorithm protect secret crypto,['security'],"['technology', 'security', 'sec']",0.8129967848459879,VH
23,drug court legal police illegal laws charge property hate federal francisco lawyer anti civil angeles,['justice'],"['law', 'law', 'law implimentations']",0.7327119906743368,H
24,player european canadian food north league diet compass seizure canada major rauser hockey dyer corn,['sports'],['sport'],0.9436287879943848,VH
25,country nazi germany german land europe money party european happy political spend race waste history,['germany'],"['country', 'war two', 'german racism', 'history of nazi germany', 'country politics', 'nazi', 'politics', 'historical event', 'nazism', 'german', 'world war the second', 'history', 'europe', 'politics', 'country', 'money laundering', 'european power', 'hitler', 'germany', 'german history', 'political', 'wwii', 'germany', 'world war']",0.6390896911422411,H
26,care mark marriage poor child couple live deserve free together services deliver choose parent health,['care'],['family'],0.6080868244171143,H
27,doctor disease cause treatment patient medicine cand symptom yeast effects body medical infection vitamin study,['medical'],"['medicine', 'ilness', 'sickness', 'medical']",0.7584162056446075,H
28,player season hockey league goal baseball leaf score division playoff period pittsburgh shot boston toronto,['sports'],"['sport', 'hockey', 'sport']",0.7699585060278574,H
30,south george island secret military ship british jake employer bony nuclear rockefeller york naval plan,['island'],['mlitary'],0.6709835529327393,H
31,crime death rate laws paul freedom black homic defense white study majority rates minority handgun,['crime'],"['crime portal', 'crime']",0.9239449501037598,VH
36,health medical report among increase cancer april national child disease center newsletter volume page fnal,['health'],"['cancer', 'hospital']",0.5300726890563965,M
37,disk scsi card speed fast controller driver port chip board modem sound machine floppy cable,['hardware'],"['computer attribute', 'computer', 'computer']",0.7484680612881979,H
38,paul rate study homic risk worship sabbath rates handgun matt vancouver crime seattle death likely,['crime'],"['crime', 'violence']",0.8904337286949158,VH
39,bible church christ faith matthew father word scripture truth lord belief heaven holy spirit authority,['spirituality'],"['christianity', 'religion', 'jesus belif related', 'christianity']",0.6713865399360657,H
41,weapon crime firearm bill laws public criminal defense court handgun police vote federal carry washington,['gun control'],"['weapon', 'law', 'crime']",0.5810747742652893,M
43,mouse helmet police jason ticket face shooting auto weapon knife revolver rates semi criminal handgun,['crime'],"['weapon', 'mouse', 'police']",0.5175596872965494,M
45,ground wire connect panel outlet wiring circuit neutral electrical math cable screw duke swap plastic,['electrical wiring'],"['wiring', 'electricity']",0.837675929069519,VH
48,window display application server screen color motif manager function client resource image code create event,['display'],"['informatic', 'window', 'computer software', 'computer']",0.7029861509799957,H
50,hockey player goal penalty league flyer mouse shot pick scott playoff series move pass city,['hockey'],['hockey'],0.9999999403953552,VH
