,wordset,all_topics,unsuitable_topics,suitable_topics
0,islamic muslim ohio kent sandvik cheer islam apple newton upenn magnus tube activity rice private,"['islamic', 'muslim', 'ohio', 'kent', 'sandvik', 'cheer', 'islam', 'apple', 'newton', 'upenn', 'magnus', 'tube', 'activity', 'rice', 'private']",[],"['islam', 'tube', 'sandvik', 'ohio', 'upenn', 'kent', 'cheer', 'magnus', 'muslim', 'islamic', 'newton', 'apple', 'private', 'rice', 'activity']"
1,chip blend roast com favorite www http href dark keurig k-cups brew bold rich pod,"['chip', 'blend', 'roast', 'com', 'favorite', 'www', 'http', 'href', 'dark', 'keurig', 'k-cups', 'brew', 'bold', 'rich', 'pod']","['k-cups', 'blend', 'chip']","['href', 'pod', 'com', 'favorite', 'roast', 'dark', 'keurig', 'bold', 'rich', 'brew', 'http', 'www']"
2,window display color screen manager server application visual mode memory size client colors colormap default,"['window', 'display', 'color', 'screen', 'manager', 'server', 'application', 'visual', 'mode', 'memory', 'size', 'client', 'colors', 'colormap', 'default']","['client', 'colors', 'colormap', 'manager']","['size', 'application', 'memory', 'screen', 'mode', 'default', 'server', 'color', 'visual', 'window', 'display']"
3,nasa mission launch surface shuttle radar detector atmosphere field orbiter probe april ozone three pasadena,"['nasa', 'mission', 'launch', 'surface', 'shuttle', 'radar', 'detector', 'atmosphere', 'field', 'orbiter', 'probe', 'april', 'ozone', 'three', 'pasadena']","['april', 'three']","['orbiter', 'probe', 'shuttle', 'field', 'nasa', 'mission', 'atmosphere', 'radar', 'detector', 'surface', 'launch', 'pasadena', 'ozone']"
4,church bible christ catholic faith matthew lord scripture father word spirit paul holy passage interpretation,"['church', 'bible', 'christ', 'catholic', 'faith', 'matthew', 'lord', 'scripture', 'father', 'word', 'spirit', 'paul', 'holy', 'passage', 'interpretation']","['matthew', 'word', 'holy']","['father', 'catholic', 'christ', 'scripture', 'lord', 'spirit', 'bible', 'interpretation', 'passage', 'church', 'paul', 'faith']"
5,bike firearm knife criminal carry death weapon scsi murder smith handgun moral child defense tape,"['bike', 'firearm', 'knife', 'criminal', 'carry', 'death', 'weapon', 'scsi', 'murder', 'smith', 'handgun', 'moral', 'child', 'defense', 'tape']","['scsi', 'bike', 'smith', 'tape', 'child', 'moral']","['criminal', 'firearm', 'carry', 'handgun', 'knife', 'death', 'murder', 'weapon', 'defense']"
6,company available care awesome search sent licorice send contact email since business call affordable amazon's,"['company', 'available', 'care', 'awesome', 'search', 'sent', 'licorice', 'send', 'contact', 'email', 'since', 'business', 'call', 'affordable', ""amazon's""]","['awesome', 'care']","['licorice', 'call', 'company', 'business', 'sent', 'send', 'since', 'affordable', ""amazon's"", 'contact', 'available', 'email', 'search']"
7,firearm bill weapon crime vote handgun public laws defense criminal news member washington federal kent,"['firearm', 'bill', 'weapon', 'crime', 'vote', 'handgun', 'public', 'laws', 'defense', 'criminal', 'news', 'member', 'washington', 'federal', 'kent']","['vote', 'washington', 'news', 'kent']","['laws', 'criminal', 'federal', 'firearm', 'bill', 'member', 'handgun', 'public', 'weapon', 'crime', 'defense']"
8,clinton mike batf class bill within proper waco administration bush plan equipment unknown protect charles,"['clinton', 'mike', 'batf', 'class', 'bill', 'within', 'proper', 'waco', 'administration', 'bush', 'plan', 'equipment', 'unknown', 'protect', 'charles']",[],"['unknown', 'clinton', 'proper', 'bill', 'batf', 'waco', 'bush', 'administration', 'charles', 'plan', 'protect', 'equipment', 'within', 'class', 'mike']"
9,almond body smooth blue magnesium cause diamond reminds increase peppermint bowel nutrient rda blood source,"['almond', 'body', 'smooth', 'blue', 'magnesium', 'cause', 'diamond', 'reminds', 'increase', 'peppermint', 'bowel', 'nutrient', 'rda', 'blood', 'source']",[],"['blood', 'magnesium', 'rda', 'diamond', 'smooth', 'source', 'peppermint', 'increase', 'reminds', 'bowel', 'blue', 'cause', 'nutrient', 'body', 'almond']"
10,country iran nation house bosnia europe political majority federal civil minority hallam revolution social senate,"['country', 'iran', 'nation', 'house', 'bosnia', 'europe', 'political', 'majority', 'federal', 'civil', 'minority', 'hallam', 'revolution', 'social', 'senate']",['hallam'],"['social', 'majority', 'senate', 'nation', 'political', 'europe', 'minority', 'bosnia', 'house', 'federal', 'revolution', 'civil', 'country', 'iran']"
11,drinking brew bitter machine ground mild maker aftertaste espresso pot filter brewing weak grind smooth,"['drinking', 'brew', 'bitter', 'machine', 'ground', 'mild', 'maker', 'aftertaste', 'espresso', 'pot', 'filter', 'brewing', 'weak', 'grind', 'smooth']","['weak', 'brewing', 'grind', 'mild', 'ground']","['pot', 'bitter', 'smooth', 'espresso', 'filter', 'machine', 'aftertaste', 'maker', 'brew', 'drinking']"
12,offer copy monitor sale excellent email asking manual condition title tape cover trade distribution brand,"['offer', 'copy', 'monitor', 'sale', 'excellent', 'email', 'asking', 'manual', 'condition', 'title', 'tape', 'cover', 'trade', 'distribution', 'brand']",['monitor'],"['copy', 'title', 'sale', 'excellent', 'tape', 'asking', 'trade', 'condition', 'manual', 'brand', 'cover', 'offer', 'email', 'distribution']"
13,apple mouse robert fast processor speed move slow clock week pretty microsoft music chicago jason,"['apple', 'mouse', 'robert', 'fast', 'processor', 'speed', 'move', 'slow', 'clock', 'week', 'pretty', 'microsoft', 'music', 'chicago', 'jason']",['jason'],"['pretty', 'move', 'week', 'fast', 'microsoft', 'chicago', 'robert', 'apple', 'speed', 'music', 'slow', 'clock', 'mouse', 'processor']"
14,printer quality print byte digital electronics laser design component lower portable sample cartr feed compression,"['printer', 'quality', 'print', 'byte', 'digital', 'electronics', 'laser', 'design', 'component', 'lower', 'portable', 'sample', 'cartr', 'feed', 'compression']","['electronics', 'digital', 'feed', 'sample', 'printer', 'design', 'cartr', 'laser', 'print']","['component', 'compression', 'lower', 'quality', 'portable', 'byte']"
15,food study ence natural language animal revelation understand humans rochester nothing death theory double thought,"['double', 'food', 'humans', 'ence', 'understand', 'natural', 'thought', 'rochester', 'nothing', 'revelation', 'study', 'theory', 'animal', 'death', 'language']","['nothing', 'double', 'rochester', 'food']","['humans', 'thought', 'animal', 'study', 'theory', 'death', 'revelation', 'natural', 'understand', 'ence', 'language']"
16,turkish turk greek turkey armenia nazi genoc soviet history russian today azeri muslim henrik massacre,"['turkish', 'turk', 'greek', 'turkey', 'armenia', 'nazi', 'genoc', 'soviet', 'history', 'russian', 'today', 'azeri', 'muslim', 'henrik', 'massacre']",['today'],"['nazi', 'history', 'massacre', 'armenia', 'azeri', 'turk', 'soviet', 'russian', 'muslim', 'turkish', 'greek', 'henrik', 'turkey', 'genoc']"
17,rice meal ginger content contain sprinkle dinner cooked thai snap they've fairly palm breast might,"['rice', 'meal', 'ginger', 'content', 'contain', 'sprinkle', 'dinner', 'cooked', 'thai', 'snap', ""they've"", 'fairly', 'palm', 'breast', 'might']","[""they've"", 'contain', 'fairly', 'might', 'snap']","['palm', 'content', 'thai', 'breast', 'meal', 'sprinkle', 'dinner', 'ginger', 'rice', 'cooked']"
18,keyboard roger forward nick maynard finger richard scroll gainey typing business player greg injury ralph,"['keyboard', 'roger', 'forward', 'nick', 'maynard', 'finger', 'richard', 'scroll', 'gainey', 'typing', 'business', 'player', 'greg', 'injury', 'ralph']",[],"['keyboard', 'forward', 'greg', 'business', 'player', 'ralph', 'nick', 'maynard', 'richard', 'roger', 'scroll', 'injury', 'typing', 'gainey', 'finger']"
19,bar cereal butter peanut nut cracker almond granola yogurt oat raisin brownie quaker cashew walnut,"['bar', 'cereal', 'butter', 'peanut', 'nut', 'cracker', 'almond', 'granola', 'yogurt', 'oat', 'raisin', 'brownie', 'quaker', 'cashew', 'walnut']","['yogurt', 'bar', 'cereal']","['cracker', 'raisin', 'cashew', 'walnut', 'granola', 'peanut', 'butter', 'oat', 'brownie', 'nut', 'quaker', 'almond']"
20,israel israeli arab kill human attack land peace stop palestinian judge murder civilian death killing,"['human', 'civilian', 'kill', 'judge', 'killing', 'israel', 'death', 'land', 'peace', 'palestinian', 'israeli', 'arab', 'stop', 'murder', 'attack']","['human', 'stop', 'israeli', 'killing', 'palestinian', 'israel', 'arab', 'attack', 'civilian', 'death', 'murder', 'kill', 'peace', 'land']",['judge']
21,driver card sound light gateway running crash machine mark copy memory else black left disk,"['driver', 'card', 'sound', 'light', 'gateway', 'running', 'crash', 'machine', 'mark', 'copy', 'memory', 'else', 'black', 'left', 'disk']",[],"['disk', 'crash', 'sound', 'copy', 'card', 'memory', 'left', 'light', 'black', 'gateway', 'running', 'machine', 'mark', 'driver', 'else']"
22,driver card memory running machine sound anybody tape error instal simms upgrade works cards fine,"['driver', 'card', 'memory', 'running', 'machine', 'sound', 'anybody', 'tape', 'error', 'instal', 'simms', 'upgrade', 'works', 'cards', 'fine']",[],"['cards', 'fine', 'instal', 'works', 'error', 'sound', 'card', 'simms', 'tape', 'memory', 'running', 'machine', 'anybody', 'upgrade', 'driver']"
23,quite expect wish bread recipe thing melt bake follow baking could stuck stir homemade way,"['quite', 'expect', 'wish', 'bread', 'recipe', 'thing', 'melt', 'bake', 'follow', 'baking', 'could', 'stuck', 'stir', 'homemade', 'way']",[],"['expect', 'thing', 'melt', 'bake', 'homemade', 'bread', 'baking', 'could', 'stir', 'quite', 'stuck', 'way', 'recipe', 'wish', 'follow']"
24,salt bean dish sea kitchen gourmet pork ground basic rind grinder jamaica marley shaker collection,"['salt', 'bean', 'dish', 'sea', 'kitchen', 'gourmet', 'pork', 'ground', 'basic', 'rind', 'grinder', 'jamaica', 'marley', 'shaker', 'collection']","['sea', 'jamaica', 'basic']","['collection', 'gourmet', 'bean', 'salt', 'rind', 'pork', 'kitchen', 'dish', 'ground', 'shaker', 'grinder', 'marley']"
25,israel israeli arab jewish policy peace research center citizen palestinian gaza east subject west authorities,"['israel', 'israeli', 'arab', 'jewish', 'policy', 'peace', 'research', 'center', 'citizen', 'palestinian', 'gaza', 'east', 'subject', 'west', 'authorities']","['citizen', 'subject']","['center', 'gaza', 'israeli', 'west', 'research', 'israel', 'arab', 'policy', 'east', 'authorities', 'palestinian', 'peace', 'jewish']"
26,popcorn baby pill he's movie pump kernel puff gerber popper earth's fussy theater hour pocket,"['popcorn', 'baby', 'pill', ""he's"", 'movie', 'pump', 'kernel', 'puff', 'gerber', 'popper', ""earth's"", 'fussy', 'theater', 'hour', 'pocket']",[],"['fussy', 'puff', 'movie', 'kernel', 'theater', 'hour', 'baby', ""earth's"", 'popper', 'pill', ""he's"", 'popcorn', 'pocket', 'pump', 'gerber']"
