,Human,Model,wordset
0,rather_bad,bad,able amaze fill glad stop daily fantastic move prime plenty empty subtle job strongly litter
1,rather_bad,bad,able amaze fill stop glad daily fantastic move plenty prime empty job subtle strongly litter
2,rather_bad,bad,able amaze fill stop glad daily fantastic move plenty prime empty subtle job strongly litter
3,bad,bad,able amaze glad fill stop fantastic daily move prime empty plenty subtle job strongly litter
4,rather_good,bad,absolute church truth doug scripture symbol libxmu font bible free undefined type motif error application
5,rather_bad,bad,absolute church truth mission nasa doug mars earth free application error type font email symbol
6,good,good,absolute mission church nasa mars earth truth lunar shuttle doug telescope symbol planetary libxmu launch
7,rather_bad,bad,absolutely fast white rice service noodle terrible customer grain process satisfied super delivery disappointed experience
8,good,bad,absolutely fast white super service customer return terrible satisfied horrible replace sticky process package disgust
9,bad,bad,absolutely grain experience soon there's process anyway true terrible satisfied knew average replace sort wild
10,bad,bad,absolutely grain experience soon there's process true anyway knew terrible sort satisfied average replace wild
11,bad,bad,absolutely grain experience there's soon process anyway terrible satisfied average true replace sort wild knew
12,rather_bad,bad,absolutely grain there's process experience terrible anyway satisfied replace average sticky wild soon disgust lol
13,bad,bad,absolutely grain there's process experience terrible satisfied replace anyway sticky wild average disgust lol freshness
14,bad,bad,absolutely grain there's process terrible experience satisfied replace sticky wild anyway disgust lol freshness average
15,bad,bad,absolutely grain there's process terrible satisfied experience replace sticky wild disgust lol freshness anyway gag
16,bad,bad,absolutely grain there's terrible satisfied process replace experience sticky wild disgust rice lol freshness gag
17,bad,bad,absolutely white fast super return customer service experience process terrible horrible satisfied replace sticky lol
18,good,bad,absolutely white fast super return service customer terrible satisfied horrible replace process experience sticky lol
19,good,bad,absolutely white fast super service customer return terrible satisfied horrible replace sticky process disgust lol
20,bad,bad,absolutely white fast super service customer return terrible satisfied horrible replace sticky process experience disgust
21,bad,bad,access appear digex henry phone toronto informatik mass hamburg price bontchev level comet spencer saturn
22,bad,bad,access appear digex henry toronto informatik phone hamburg mass intercon amanda spencer hole bontchev walker
23,bad,bad,access appear henry phone digex experience price comet orbit level bontchev saturn secure mass nasa
24,rather_good,bad,access appear henry toronto digex cover mass star spencer constant jupiter universe theory radius galaxy
25,bad,bad,access appear henry toronto digex mass cover star spencer hole constant theory jupiter universe radius
26,bad,bad,access appear henry toronto digex spencer cover mass star light hole theory black universe constant
27,rather_bad,bad,access henry appear toronto digex captain hole star mass spencer harris theory weaver universe light
28,bad,bad,access henry digex appear toronto informatik intercon hole amanda walker mass hamburg spencer captain cover
29,rather_bad,bad,access henry toronto digex appear hole informatik intercon amanda walker spencer mass hamburg captain cover
30,bad,bad,access toronto henry appear digex hole informatik intercon spencer walker amanda captain hamburg mass star
31,bad,bad,access toronto henry appear digex hole informatik intercon spencer walker amanda hamburg star mass cover
32,rather_bad,bad,access toronto henry appear digex hole informatik intercon walker amanda spencer captain hamburg mass cover
33,bad,bad,access toronto henry digex appear hole informatik intercon amanda walker spencer hamburg mass captain cover
34,rather_bad,bad,actually texture cut version wheat pasta search miss cook office oat biscuit unlike seriously winner
35,bad,bad,actually texture cut version wheat pasta search miss cook office unlike oat biscuit seriously winner
36,rather_bad,bad,actually texture cut version wheat pasta search miss unlike oat biscuit seriously winner similar standard
37,bad,bad,actually texture cut wheat miss oat biscuit unlike seriously quaker country winner absolute whole swiss
38,bad,bad,address send request bear militia amendment receive constitution arms shall mailing free organize regulate organization
39,good,bad,address send request bear militia receive amendment constitution arms shall mailing free organize regulate organization
40,bad,bad,address send request receive bear militia free amendment shall constitution arms mailing organize sent regulate
41,bad,bad,address send request receive militia bear amendment mailing arms shall constitution organize regulate free expo
42,bad,bad,almond blue cocoa magnesium iced bitter wait grey diamond earl ounce rda beat bowel body
43,bad,bad,almond body blue magnesium cause blood diamond level reminds nutrient bowel rda present approximately diarrhea
44,rather_bad,bad,almond body blue magnesium diamond blood cause reminds bowel rda nutrient level approximately diarrhea source
45,good,bad,almond body blue magnesium diamond blood reminds cause bowel rda nutrient approximately diarrhea source level
46,bad,bad,almond body blue magnesium diamond blood reminds cause bowel rda nutrient approximately level diarrhea source
47,bad,bad,almond body smooth blue magnesium cause diamond reminds increase peppermint bowel nutrient rda blood source
48,bad,bad,almond smooth body blue magnesium cause diamond reminds increase bowel peppermint nutrient rda blood source
49,bad,bad,always case salty awesome live sour hooked tuna cheddar crispy pantry since suggest new tangy
50,good,bad,always case salty awesome live sour hooked tuna cheddar crispy pantry since tangy new suggest
51,bad,bad,always case salty awesome live sour hooked tuna cheddar crispy pantry suggest since new tangy
52,bad,bad,always case salty awesome live sour hooked tuna cheddar crispy pantry tangy since new suggest
53,bad,bad,always case salty awesome live sour hooked tuna suggest cheddar crispy pantry since tangy new
54,rather_bad,bad,always case salty awesome live sour tuna hooked cheddar crispy pantry tangy since new less
55,bad,bad,always case salty live awesome sour hooked suggest tuna cheddar since crispy pantry tangy heaven
56,bad,bad,always case salty live awesome sour hooked tuna suggest cheddar crispy pantry since tangy heaven
57,rather_bad,bad,always case salty live awesome suggest sour hooked tuna crispy cheddar since pantry tangy heaven
58,bad,bad,always case salty live awesome suggest sour hooked tuna since cheddar crispy pantry tangy heaven
59,bad,bad,always last buying whole open worth case they're that's hand couple jar part mine pouch
60,bad,bad,always last sure case they're open couple jar week two whole part mine someone seed
61,bad,bad,always powder several usually chai gold meal scoop replacement tablespoon living since nature authentic prefers
62,good,bad,always powder vitamin aroma supplement teaspoon grow soy form along grass mineral hint hemp tablespoon
63,rather_bad,bad,always several powder usually chai gold replacement scoop meal living tablespoon since nature authentic orgain
64,bad,bad,always several powder usually chai replacement gold scoop living tablespoon since nature meal authentic orgain
65,rather_bad,bad,always several usually powder chai replacement gold scoop living since authentic orgain prefers buttermilk nature
66,bad,bad,always sure case last they're couple jar open week two mine part someone seed pouch
67,bad,bad,always sure case last they're couple week jar open two part mine someone seed pouch
68,bad,bad,always sure last case they're couple week open jar two part mine someone seed pouch
69,rather_bad,bad,always sure last case they're two week couple jar part mine maybe someone open seed
70,bad,bad,always sure last open whole case they're week maybe couple jar that's part mine someone
71,bad,bad,andrew disclaimer james chris lost columbia navy model gary behanna callison houston rick bird chuck
72,rather_bad,bad,andrew disclaimer james chris lost navy columbia gary behanna model callison rick bird houston baby
73,bad,bad,andrew disclaimer lost james chris columbia behanna navy callison houston pack bird gary uoknor init
74,rather_bad,bad,andrew homosexual james lost cleveland chris cramer internet bitnet michael gatech virginia freenet clayton sexual
75,bad,bad,andrew homosexual lost james chris cramer bitnet internet gatech michael cleveland virginia clayton sexual male
76,bad,bad,andrew homosexual lost james chris cramer internet bitnet gatech michael clayton male sexual disclaimer virginia
77,rather_bad,bad,andrew james disclaimer chris lost model navy columbia gary behanna callison houston rick bird weight
78,bad,bad,andrew lost disclaimer james chris columbia navy behanna callison houston bird pack init uoknor gary
79,bad,bad,andrew lost james chris disclaimer model navy columbia gary behanna houston callison rick weight bird
80,rather_bad,bad,andrew lost james chris disclaimer model navy columbia gary behanna houston callison weight rick bird
81,bad,bad,andrew lost james disclaimer model chris navy behanna houston callison weight columbia hell uoknor wild
82,bad,bad,anonymous internet news usenet service privacy email electronic congress network user public bill site address
83,bad,bad,anonymous news bill public conference congress vote internet usenet anon colorado member abuse service cview
84,bad,bad,anonymous news congress service bill anon internet usenet conference public server abuse privacy user electronic
85,rather_good,bad,anonymous news service usenet conference congress public privacy email electronic internet network bill user server
86,bad,bad,anonymous news service usenet privacy network electronic internet email site public user server congress archive
87,good,bad,anonymous private public news crime server conference internet privacy carry bill paul congress pretty abuse
88,bad,bad,anonymous public private news crime server religion carry cview pretty bill internet paul congress conference
89,good,bad,anonymous public private news crime server religion carry pretty bill cview internet paul hold thought
90,rather_bad,bad,anyone son hair super oatmeal skin okay pure fall mom gas recently wash improve seriously
91,bad,bad,anyone son super oatmeal body skin okay pure fall heard mom gas wash improve seriously
92,bad,bad,anything juice guess wrong throw immediately think actual n't concentrate squeeze picture might could strip
93,bad,bad,anything juice guess wrong throw picture immediately actual concentrate squeeze strip photo funny pas mislead
94,bad,bad,anything juice guess wrong throw picture immediately actual concentrate squeeze strip think photo funny pas
95,rather_bad,bad,anything juice guess wrong throw picture immediately actual concentrate think squeeze strip photo might funny
96,bad,bad,anything juice wrong guess throw immediately think n't concentrate squeeze actual could might photo strip
97,bad,bad,anything juice wrong guess throw immediately think n't concentrate squeeze actual might could picture strip
98,bad,bad,apartment building water left azerbaijani home woman city sumgait dept father face neighbor door crowd
99,rather_good,bad,apartment home left woman door father azerbaijani room building neighbor sumgait city mother later beat
100,bad,bad,appear access henry digex comet orbit phone toronto experience appreciate nasa galileo ghost backup mass
101,good,bad,appear access henry toronto hole digex star captain harris spencer mass theory light weaver black
102,bad,bad,appear access hole henry toronto digex star light captain black theory harris spencer energy weaver
103,bad,bad,appear access hole henry toronto digex star light captain harris spencer theory black energy weaver
104,bad,bad,appear access hole henry toronto digex star light captain harris theory spencer black energy weaver
105,bad,bad,appear cover black light miss level theory hole story excellent trade henry toronto given physical
106,bad,bad,appear henry black toronto trade cover hole digex access captain light star company alaska level
107,bad,bad,appear henry toronto black trade cover hole digex access light captain star level company alaska
108,rather_bad,good,apple fast mouse speed slow robert simms clock processor machine move cheer centris hardware quadra
109,bad,good,apple mouse fast speed robert slow processor machine move clock simms week centris hardware pretty
110,rather_bad,bad,apple mouse fast speed robert slow processor move clock machine week pretty centris simms hardware
111,rather_bad,bad,apple mouse robert fast processor speed move slow clock week pretty microsoft music chicago jason
112,rather_good,bad,apple mouse robert fast speed processor slow move clock week pretty microsoft music machine chicago
113,bad,bad,apple mouse robert processor fast move speed slow clock week pretty microsoft music chicago jason
114,good,good,apple offer monitor sale price shipping pitt selling gordon banks sell purchase dealer sony excellent
115,good,good,apple offer monitor sale price shipping pitt selling gordon purchase banks sell manual dealer excellent
116,rather_bad,good,apple offer monitor sale price shipping pitt selling manual gordon sell purchase banks dealer excellent
117,bad,good,apple simms colorado message drug record simm math ripem chips thought news cigarette wonder mark
118,bad,bad,application window resource word science allow ever human child money health center return motif already
119,rather_bad,bad,appreciate advance anybody info experience email thank suggestion hello greatly wonder recently response thanx advice
120,bad,bad,appreciate advance anybody info keyboard looking thank hello greatly experience email access wonder type peter
121,bad,bad,appreciate advance anybody info keyboard thank greatly hello looking experience access email type wonder normal
122,bad,bad,appreciate advance anybody info looking keyboard thank hello greatly email experience wonder access thanx upenn
123,bad,bad,appreciate advance anybody info thank experience greatly hello suggestion edge wonder able looking technology recently
124,bad,bad,appreciate advance anybody info thank experience hello greatly suggestion wonder edge able email recently thanx
125,rather_bad,bad,appreciate advance anybody info thank experience wonder hello suggestion greatly email looking able response edge
126,bad,bad,appreciate advance info anybody experience greatly motherboard thank suggestion eisa type setup test hello upgrade
127,bad,bad,appreciate advance info anybody greatly experience thank motherboard edge suggestion eisa hello cmos review seizure
128,bad,bad,appreciate advance info anybody greatly thank experience edge hello motherboard suggestion able eisa wonder technology
129,good,bad,appreciate advance looking anybody info keyboard thank email hello greatly experience wonder thanx able peter
130,good,bad,appreciate anybody advance wonder info experience thank email suggestion hello greatly able advice edge thanx
131,bad,bad,appreciate anybody advance wonder info experience thank suggestion hello greatly email advice edge able thanx
132,rather_bad,bad,appreciate card israeli israel kill send drug wrong money attack cause phone land company thought
133,bad,bad,appreciate email anybody advance experience info thank wonder suggestion send hello greatly response recently advice
134,good,bad,appreciate info error motherboard anybody advance keyboard graphics access upgrade internet test experience type hardware
135,bad,bad,appreciate info keyboard advance anybody greatly motherboard access error upgrade experience test thank setup graphics
136,good,bad,appreciate info keyboard error advance motherboard anybody access upgrade graphics test greatly internet experience type
137,bad,bad,appreciate info motherboard advance anybody experience eisa test setup seizure greatly upgrade access cmos edge
138,bad,bad,appreciate info motherboard advance anybody experience test eisa setup seizure upgrade access greatly cmos edge
139,bad,bad,april canada buffalo roger maynard area spring pilot star wings ontario astronaut cand nasa always
140,bad,bad,april canada buffalo roger spring ontario area maynard pilot wings astronaut cand nasa star aircraft
141,bad,good,april nasa star canada bike score always goal maynard area player hockey wings center white
142,good,good,arab israeli israel policy thousand none border mass bullet citizen trial prison switzerland religious building
143,bad,good,arab israeli policy tape jewish research population border israel associate center intelligence bullet georgia recognize
