,true,model,wordset,model_num,true_num
4,rather_good,bad,absolute church truth doug scripture symbol libxmu font bible free undefined type motif error application,-2,1
5,rather_bad,good,absolute church truth mission nasa doug mars earth free application error type font email symbol,2,-1
6,good,bad,absolute mission church nasa mars earth truth lunar shuttle doug telescope symbol planetary libxmu launch,-2,2
21,bad,good,access appear digex henry phone toronto informatik mass hamburg price bontchev level comet spencer saturn,2,-2
22,bad,good,access appear digex henry toronto informatik phone hamburg mass intercon amanda spencer hole bontchev walker,2,-2
23,bad,bad,access appear henry phone digex experience price comet orbit level bontchev saturn secure mass nasa,-2,-2
24,rather_good,bad,access appear henry toronto digex cover mass star spencer constant jupiter universe theory radius galaxy,-2,1
25,bad,bad,access appear henry toronto digex mass cover star spencer hole constant theory jupiter universe radius,-2,-2
26,bad,good,access appear henry toronto digex spencer cover mass star light hole theory black universe constant,2,-2
27,rather_bad,bad,access henry appear toronto digex captain hole star mass spencer harris theory weaver universe light,-2,-1
28,bad,good,access henry digex appear toronto informatik intercon hole amanda walker mass hamburg spencer captain cover,2,-2
29,rather_bad,good,access henry toronto digex appear hole informatik intercon amanda walker spencer mass hamburg captain cover,2,-1
30,bad,good,access toronto henry appear digex hole informatik intercon spencer walker amanda captain hamburg mass star,2,-2
31,bad,good,access toronto henry appear digex hole informatik intercon spencer walker amanda hamburg star mass cover,2,-2
32,rather_bad,good,access toronto henry appear digex hole informatik intercon walker amanda spencer captain hamburg mass cover,2,-1
33,bad,good,access toronto henry digex appear hole informatik intercon amanda walker spencer hamburg mass captain cover,2,-2
38,bad,good,address send request bear militia amendment receive constitution arms shall mailing free organize regulate organization,2,-2
39,good,good,address send request bear militia receive amendment constitution arms shall mailing free organize regulate organization,2,2
40,bad,good,address send request receive bear militia free amendment shall constitution arms mailing organize sent regulate,2,-2
41,neutral,bad,address send request receive militia bear amendment mailing arms shall constitution organize regulate free expo,-2,0
71,bad,good,andrew disclaimer james chris lost columbia navy model gary behanna callison houston rick bird chuck,2,-2
72,rather_bad,good,andrew disclaimer james chris lost navy columbia gary behanna model callison rick bird houston baby,2,-1
73,bad,good,andrew disclaimer lost james chris columbia behanna navy callison houston pack bird gary uoknor init,2,-2
74,rather_bad,good,andrew homosexual james lost cleveland chris cramer internet bitnet michael gatech virginia freenet clayton sexual,2,-1
75,bad,good,andrew homosexual lost james chris cramer bitnet internet gatech michael cleveland virginia clayton sexual male,2,-2
76,bad,good,andrew homosexual lost james chris cramer internet bitnet gatech michael clayton male sexual disclaimer virginia,2,-2
77,rather_bad,good,andrew james disclaimer chris lost model navy columbia gary behanna callison houston rick bird weight,2,-1
78,bad,good,andrew lost disclaimer james chris columbia navy behanna callison houston bird pack init uoknor gary,2,-2
79,bad,good,andrew lost james chris disclaimer model navy columbia gary behanna houston callison rick weight bird,2,-2
80,rather_bad,good,andrew lost james chris disclaimer model navy columbia gary behanna houston callison weight rick bird,2,-1
81,bad,good,andrew lost james disclaimer model chris navy behanna houston callison weight columbia hell uoknor wild,2,-2
82,neutral,good,anonymous internet news usenet service privacy email electronic congress network user public bill site address,2,0
83,bad,bad,anonymous news bill public conference congress vote internet usenet anon colorado member abuse service cview,-2,-2
84,bad,good,anonymous news congress service bill anon internet usenet conference public server abuse privacy user electronic,2,-2
85,rather_good,good,anonymous news service usenet conference congress public privacy email electronic internet network bill user server,2,1
86,bad,good,anonymous news service usenet privacy network electronic internet email site public user server congress archive,2,-2
87,good,good,anonymous private public news crime server conference internet privacy carry bill paul congress pretty abuse,2,2
88,bad,good,anonymous public private news crime server religion carry cview pretty bill internet paul congress conference,2,-2
89,good,good,anonymous public private news crime server religion carry pretty bill cview internet paul hold thought,2,2
98,neutral,bad,apartment building water left azerbaijani home woman city sumgait dept father face neighbor door crowd,-2,0
99,rather_good,bad,apartment home left woman door father azerbaijani room building neighbor sumgait city mother later beat,-2,1
100,rather_bad,bad,appear access henry digex comet orbit phone toronto experience appreciate nasa galileo ghost backup mass,-2,-1
101,neutral,bad,appear access henry toronto hole digex star captain harris spencer mass theory light weaver black,-2,0
102,bad,bad,appear access hole henry toronto digex star light captain black theory harris spencer energy weaver,-2,-2
103,bad,bad,appear access hole henry toronto digex star light captain harris spencer theory black energy weaver,-2,-2
104,bad,bad,appear access hole henry toronto digex star light captain harris theory spencer black energy weaver,-2,-2
105,bad,good,appear cover black light miss level theory hole story excellent trade henry toronto given physical,2,-2
106,bad,good,appear henry black toronto trade cover hole digex access captain light star company alaska level,2,-2
107,bad,good,appear henry toronto black trade cover hole digex access light captain star level company alaska,2,-2
108,rather_bad,good,apple fast mouse speed slow robert simms clock processor machine move cheer centris hardware quadra,2,-1
109,bad,good,apple mouse fast speed robert slow processor machine move clock simms week centris hardware pretty,2,-2
110,neutral,good,apple mouse fast speed robert slow processor move clock machine week pretty centris simms hardware,2,0
111,rather_bad,good,apple mouse robert fast processor speed move slow clock week pretty microsoft music chicago jason,2,-1
112,rather_good,good,apple mouse robert fast speed processor slow move clock week pretty microsoft music machine chicago,2,1
113,neutral,good,apple mouse robert processor fast move speed slow clock week pretty microsoft music chicago jason,2,0
114,good,good,apple offer monitor sale price shipping pitt selling gordon banks sell purchase dealer sony excellent,2,2
115,neutral,good,apple offer monitor sale price shipping pitt selling gordon purchase banks sell manual dealer excellent,2,0
116,rather_bad,good,apple offer monitor sale price shipping pitt selling manual gordon sell purchase banks dealer excellent,2,-1
117,bad,good,apple simms colorado message drug record simm math ripem chips thought news cigarette wonder mark,2,-2
118,bad,good,application window resource word science allow ever human child money health center return motif already,2,-2
119,rather_bad,good,appreciate advance anybody info experience email thank suggestion hello greatly wonder recently response thanx advice,2,-1
120,bad,good,appreciate advance anybody info keyboard looking thank hello greatly experience email access wonder type peter,2,-2
121,bad,good,appreciate advance anybody info keyboard thank greatly hello looking experience access email type wonder normal,2,-2
122,bad,good,appreciate advance anybody info looking keyboard thank hello greatly email experience wonder access thanx upenn,2,-2
123,bad,good,appreciate advance anybody info thank experience greatly hello suggestion edge wonder able looking technology recently,2,-2
124,bad,good,appreciate advance anybody info thank experience hello greatly suggestion wonder edge able email recently thanx,2,-2
125,rather_bad,good,appreciate advance anybody info thank experience wonder hello suggestion greatly email looking able response edge,2,-1
126,bad,good,appreciate advance info anybody experience greatly motherboard thank suggestion eisa type setup test hello upgrade,2,-2
127,bad,bad,appreciate advance info anybody greatly experience thank motherboard edge suggestion eisa hello cmos review seizure,-2,-2
128,rather_bad,good,appreciate advance info anybody greatly thank experience edge hello motherboard suggestion able eisa wonder technology,2,-1
129,neutral,good,appreciate advance looking anybody info keyboard thank email hello greatly experience wonder thanx able peter,2,0
130,good,good,appreciate anybody advance wonder info experience thank email suggestion hello greatly able advice edge thanx,2,2
131,bad,good,appreciate anybody advance wonder info experience thank suggestion hello greatly email advice edge able thanx,2,-2
132,rather_bad,good,appreciate card israeli israel kill send drug wrong money attack cause phone land company thought,2,-1
133,bad,good,appreciate email anybody advance experience info thank wonder suggestion send hello greatly response recently advice,2,-2
134,good,good,appreciate info error motherboard anybody advance keyboard graphics access upgrade internet test experience type hardware,2,2
135,neutral,good,appreciate info keyboard advance anybody greatly motherboard access error upgrade experience test thank setup graphics,2,0
136,good,good,appreciate info keyboard error advance motherboard anybody access upgrade graphics test greatly internet experience type,2,2
