,true,model,wordset,model_num,true_num
0,rather_bad,good,able amaze fill glad stop daily fantastic move prime plenty empty subtle job strongly litter,2,-1
1,rather_bad,good,able amaze fill stop glad daily fantastic move plenty prime empty job subtle strongly litter,2,-1
2,rather_bad,good,able amaze fill stop glad daily fantastic move plenty prime empty subtle job strongly litter,2,-1
3,bad,good,able amaze glad fill stop fantastic daily move prime empty plenty subtle job strongly litter,2,-2
7,rather_bad,good,absolutely fast white rice service noodle terrible customer grain process satisfied super delivery disappointed experience,2,-1
8,good,good,absolutely fast white super service customer return terrible satisfied horrible replace sticky process package disgust,2,2
9,bad,good,absolutely grain experience soon there's process anyway true terrible satisfied knew average replace sort wild,2,-2
10,bad,good,absolutely grain experience soon there's process true anyway knew terrible sort satisfied average replace wild,2,-2
11,bad,good,absolutely grain experience there's soon process anyway terrible satisfied average true replace sort wild knew,2,-2
12,rather_bad,good,absolutely grain there's process experience terrible anyway satisfied replace average sticky wild soon disgust lol,2,-1
13,bad,good,absolutely grain there's process experience terrible satisfied replace anyway sticky wild average disgust lol freshness,2,-2
14,bad,good,absolutely grain there's process terrible experience satisfied replace sticky wild anyway disgust lol freshness average,2,-2
15,bad,bad,absolutely grain there's process terrible satisfied experience replace sticky wild disgust lol freshness anyway gag,-2,-2
16,bad,good,absolutely grain there's terrible satisfied process replace experience sticky wild disgust rice lol freshness gag,2,-2
17,neutral,good,absolutely white fast super return customer service experience process terrible horrible satisfied replace sticky lol,2,0
18,neutral,good,absolutely white fast super return service customer terrible satisfied horrible replace process experience sticky lol,2,0
19,good,good,absolutely white fast super service customer return terrible satisfied horrible replace sticky process disgust lol,2,2
20,bad,good,absolutely white fast super service customer return terrible satisfied horrible replace sticky process experience disgust,2,-2
34,rather_bad,good,actually texture cut version wheat pasta search miss cook office oat biscuit unlike seriously winner,2,-1
35,bad,good,actually texture cut version wheat pasta search miss cook office unlike oat biscuit seriously winner,2,-2
36,rather_bad,good,actually texture cut version wheat pasta search miss unlike oat biscuit seriously winner similar standard,2,-1
37,bad,good,actually texture cut wheat miss oat biscuit unlike seriously quaker country winner absolute whole swiss,2,-2
42,bad,bad,almond blue cocoa magnesium iced bitter wait grey diamond earl ounce rda beat bowel body,-2,-2
43,rather_bad,bad,almond body blue magnesium cause blood diamond level reminds nutrient bowel rda present approximately diarrhea,-2,-1
44,rather_bad,bad,almond body blue magnesium diamond blood cause reminds bowel rda nutrient level approximately diarrhea source,-2,-1
45,good,bad,almond body blue magnesium diamond blood reminds cause bowel rda nutrient approximately diarrhea source level,-2,2
46,neutral,bad,almond body blue magnesium diamond blood reminds cause bowel rda nutrient approximately level diarrhea source,-2,0
47,neutral,bad,almond body smooth blue magnesium cause diamond reminds increase peppermint bowel nutrient rda blood source,-2,0
48,bad,bad,almond smooth body blue magnesium cause diamond reminds increase bowel peppermint nutrient rda blood source,-2,-2
49,bad,bad,always case salty awesome live sour hooked tuna cheddar crispy pantry since suggest new tangy,-2,-2
50,good,bad,always case salty awesome live sour hooked tuna cheddar crispy pantry since tangy new suggest,-2,2
51,neutral,bad,always case salty awesome live sour hooked tuna cheddar crispy pantry suggest since new tangy,-2,0
52,bad,bad,always case salty awesome live sour hooked tuna cheddar crispy pantry tangy since new suggest,-2,-2
53,rather_bad,bad,always case salty awesome live sour hooked tuna suggest cheddar crispy pantry since tangy new,-2,-1
54,rather_bad,bad,always case salty awesome live sour tuna hooked cheddar crispy pantry tangy since new less,-2,-1
55,bad,bad,always case salty live awesome sour hooked suggest tuna cheddar since crispy pantry tangy heaven,-2,-2
56,bad,bad,always case salty live awesome sour hooked tuna suggest cheddar crispy pantry since tangy heaven,-2,-2
57,rather_bad,bad,always case salty live awesome suggest sour hooked tuna crispy cheddar since pantry tangy heaven,-2,-1
58,bad,bad,always case salty live awesome suggest sour hooked tuna since cheddar crispy pantry tangy heaven,-2,-2
59,neutral,good,always last buying whole open worth case they're that's hand couple jar part mine pouch,2,0
60,bad,good,always last sure case they're open couple jar week two whole part mine someone seed,2,-2
61,bad,good,always powder several usually chai gold meal scoop replacement tablespoon living since nature authentic prefers,2,-2
62,good,bad,always powder vitamin aroma supplement teaspoon grow soy form along grass mineral hint hemp tablespoon,-2,2
63,rather_bad,good,always several powder usually chai gold replacement scoop meal living tablespoon since nature authentic orgain,2,-1
64,bad,good,always several powder usually chai replacement gold scoop living tablespoon since nature meal authentic orgain,2,-2
65,rather_bad,bad,always several usually powder chai replacement gold scoop living since authentic orgain prefers buttermilk nature,-2,-1
66,bad,good,always sure case last they're couple jar open week two mine part someone seed pouch,2,-2
67,bad,good,always sure case last they're couple week jar open two part mine someone seed pouch,2,-2
68,bad,good,always sure last case they're couple week open jar two part mine someone seed pouch,2,-2
69,rather_bad,good,always sure last case they're two week couple jar part mine maybe someone open seed,2,-1
70,bad,good,always sure last open whole case they're week maybe couple jar that's part mine someone,2,-2
90,rather_bad,good,anyone son hair super oatmeal skin okay pure fall mom gas recently wash improve seriously,2,-1
91,bad,good,anyone son super oatmeal body skin okay pure fall heard mom gas wash improve seriously,2,-2
92,bad,good,anything juice guess wrong throw immediately think actual n't concentrate squeeze picture might could strip,2,-2
93,bad,good,anything juice guess wrong throw picture immediately actual concentrate squeeze strip photo funny pas mislead,2,-2
94,bad,good,anything juice guess wrong throw picture immediately actual concentrate squeeze strip think photo funny pas,2,-2
95,rather_bad,good,anything juice guess wrong throw picture immediately actual concentrate think squeeze strip photo might funny,2,-1
96,bad,good,anything juice wrong guess throw immediately think n't concentrate squeeze actual could might photo strip,2,-2
97,bad,good,anything juice wrong guess throw immediately think n't concentrate squeeze actual might could picture strip,2,-2
168,rather_bad,good,arrive second gum hope date online however original past finish last today stale broken shipment,2,-1
169,bad,good,arrive second gum hope date online however original past last finish today stale broken shipment,2,-2
170,bad,good,arrive second gum hope date online original past stale shipment today finish however dec expiration,2,-2
171,bad,good,arrive second gum hope online date original past already soon finish today broken stale plan,2,-2
195,neutral,good,away dark full roast rich flavorful extremely rest double drinker steep world magic drank selection,2,0
196,rather_bad,good,away roast dark full rich flavorful pick rest extremely world double drinker magic consistently drank,2,-1
197,bad,bad,baby jerky broken ready veggie pump increase fall tender barely carrot freezer previously gerber earth's,-2,-2
198,bad,bad,baby jerky broken veggie fall ready pump increase freezer tender barely carrot older previously gerber,-2,-2
199,rather_bad,bad,baby jerky broken veggie fall ready pump increase freezer tender barely carrot older previously parent,-2,-1
200,rather_bad,good,baby pill jerky pump cost liter gerber hairball sodastream formula nursing reflux teriyaki week infant,2,-1
201,bad,good,baby pill jerky pump cost liter gerber sodastream hairball reflux teriyaki nursing whatever med fenugreek,2,-2
202,bad,good,back wonderful home next thank left fantastic issue brought thrill mouth word post mini fabulous,2,-2
