,text,true,model
0,able amaze fill glad stop daily fantastic move prime plenty empty subtle job strongly litter,rather_bad,rather_bad
1,able amaze fill stop glad daily fantastic move plenty prime empty job subtle strongly litter,rather_bad,rather_bad
2,able amaze fill stop glad daily fantastic move plenty prime empty subtle job strongly litter,rather_bad,rather_bad
3,able amaze glad fill stop fantastic daily move prime empty plenty subtle job strongly litter,bad,rather_bad
7,absolutely fast white rice service noodle terrible customer grain process satisfied super delivery disappointed experience,rather_bad,rather_good
8,absolutely fast white super service customer return terrible satisfied horrible replace sticky process package disgust,good,rather_bad
9,absolutely grain experience soon there's process anyway true terrible satisfied knew average replace sort wild,bad,rather_good
10,absolutely grain experience soon there's process true anyway knew terrible sort satisfied average replace wild,bad,rather_good
11,absolutely grain experience there's soon process anyway terrible satisfied average true replace sort wild knew,bad,rather_good
12,absolutely grain there's process experience terrible anyway satisfied replace average sticky wild soon disgust lol,rather_bad,rather_bad
13,absolutely grain there's process experience terrible satisfied replace anyway sticky wild average disgust lol freshness,bad,rather_good
14,absolutely grain there's process terrible experience satisfied replace sticky wild anyway disgust lol freshness average,bad,rather_good
15,absolutely grain there's process terrible satisfied experience replace sticky wild disgust lol freshness anyway gag,bad,rather_bad
16,absolutely grain there's terrible satisfied process replace experience sticky wild disgust rice lol freshness gag,bad,rather_bad
17,absolutely white fast super return customer service experience process terrible horrible satisfied replace sticky lol,bad,rather_good
18,absolutely white fast super return service customer terrible satisfied horrible replace process experience sticky lol,good,rather_good
19,absolutely white fast super service customer return terrible satisfied horrible replace sticky process disgust lol,good,rather_bad
20,absolutely white fast super service customer return terrible satisfied horrible replace sticky process experience disgust,bad,rather_bad
34,actually texture cut version wheat pasta search miss cook office oat biscuit unlike seriously winner,rather_bad,rather_good
35,actually texture cut version wheat pasta search miss cook office unlike oat biscuit seriously winner,bad,rather_good
36,actually texture cut version wheat pasta search miss unlike oat biscuit seriously winner similar standard,rather_bad,rather_good
37,actually texture cut wheat miss oat biscuit unlike seriously quaker country winner absolute whole swiss,bad,rather_good
42,almond blue cocoa magnesium iced bitter wait grey diamond earl ounce rda beat bowel body,bad,rather_good
43,almond body blue magnesium cause blood diamond level reminds nutrient bowel rda present approximately diarrhea,bad,rather_good
44,almond body blue magnesium diamond blood cause reminds bowel rda nutrient level approximately diarrhea source,rather_bad,rather_good
45,almond body blue magnesium diamond blood reminds cause bowel rda nutrient approximately diarrhea source level,good,rather_good
46,almond body blue magnesium diamond blood reminds cause bowel rda nutrient approximately level diarrhea source,bad,rather_good
47,almond body smooth blue magnesium cause diamond reminds increase peppermint bowel nutrient rda blood source,bad,rather_good
48,almond smooth body blue magnesium cause diamond reminds increase bowel peppermint nutrient rda blood source,bad,rather_good
49,always case salty awesome live sour hooked tuna cheddar crispy pantry since suggest new tangy,bad,rather_good
50,always case salty awesome live sour hooked tuna cheddar crispy pantry since tangy new suggest,good,rather_good
51,always case salty awesome live sour hooked tuna cheddar crispy pantry suggest since new tangy,bad,rather_good
52,always case salty awesome live sour hooked tuna cheddar crispy pantry tangy since new suggest,bad,rather_good
53,always case salty awesome live sour hooked tuna suggest cheddar crispy pantry since tangy new,bad,rather_good
54,always case salty awesome live sour tuna hooked cheddar crispy pantry tangy since new less,rather_bad,rather_good
55,always case salty live awesome sour hooked suggest tuna cheddar since crispy pantry tangy heaven,bad,rather_good
56,always case salty live awesome sour hooked tuna suggest cheddar crispy pantry since tangy heaven,bad,rather_good
57,always case salty live awesome suggest sour hooked tuna crispy cheddar since pantry tangy heaven,rather_bad,rather_good
58,always case salty live awesome suggest sour hooked tuna since cheddar crispy pantry tangy heaven,bad,rather_good
59,always last buying whole open worth case they're that's hand couple jar part mine pouch,bad,rather_good
60,always last sure case they're open couple jar week two whole part mine someone seed,bad,rather_good
61,always powder several usually chai gold meal scoop replacement tablespoon living since nature authentic prefers,bad,rather_good
62,always powder vitamin aroma supplement teaspoon grow soy form along grass mineral hint hemp tablespoon,good,rather_good
63,always several powder usually chai gold replacement scoop meal living tablespoon since nature authentic orgain,rather_bad,rather_good
64,always several powder usually chai replacement gold scoop living tablespoon since nature meal authentic orgain,bad,rather_good
65,always several usually powder chai replacement gold scoop living since authentic orgain prefers buttermilk nature,rather_bad,rather_good
66,always sure case last they're couple jar open week two mine part someone seed pouch,bad,rather_good
67,always sure case last they're couple week jar open two part mine someone seed pouch,bad,rather_good
68,always sure last case they're couple week open jar two part mine someone seed pouch,bad,rather_good
69,always sure last case they're two week couple jar part mine maybe someone open seed,rather_bad,rather_good
70,always sure last open whole case they're week maybe couple jar that's part mine someone,bad,rather_good
90,anyone son hair super oatmeal skin okay pure fall mom gas recently wash improve seriously,rather_bad,rather_good
91,anyone son super oatmeal body skin okay pure fall heard mom gas wash improve seriously,bad,rather_good
92,anything juice guess wrong throw immediately think actual n't concentrate squeeze picture might could strip,bad,rather_good
93,anything juice guess wrong throw picture immediately actual concentrate squeeze strip photo funny pas mislead,bad,rather_good
94,anything juice guess wrong throw picture immediately actual concentrate squeeze strip think photo funny pas,bad,rather_good
95,anything juice guess wrong throw picture immediately actual concentrate think squeeze strip photo might funny,rather_bad,rather_good
96,anything juice wrong guess throw immediately think n't concentrate squeeze actual could might photo strip,bad,rather_good
97,anything juice wrong guess throw immediately think n't concentrate squeeze actual might could picture strip,bad,rather_good
168,arrive second gum hope date online however original past finish last today stale broken shipment,bad,rather_good
169,arrive second gum hope date online however original past last finish today stale broken shipment,bad,rather_good
170,arrive second gum hope date online original past stale shipment today finish however dec expiration,bad,rather_good
171,arrive second gum hope online date original past already soon finish today broken stale plan,bad,rather_good
195,away dark full roast rich flavorful extremely rest double drinker steep world magic drank selection,bad,rather_good
196,away roast dark full rich flavorful pick rest extremely world double drinker magic consistently drank,rather_bad,rather_good
197,baby jerky broken ready veggie pump increase fall tender barely carrot freezer previously gerber earth's,bad,rather_good
198,baby jerky broken veggie fall ready pump increase freezer tender barely carrot older previously gerber,bad,rather_good
199,baby jerky broken veggie fall ready pump increase freezer tender barely carrot older previously parent,rather_bad,rather_good
200,baby pill jerky pump cost liter gerber hairball sodastream formula nursing reflux teriyaki week infant,rather_bad,rather_good
201,baby pill jerky pump cost liter gerber sodastream hairball reflux teriyaki nursing whatever med fenugreek,bad,rather_good
202,back wonderful home next thank left fantastic issue brought thrill mouth word post mini fabulous,bad,rather_good
203,back wonderful home next thank left fantastic issue brought thrill word post mouth mini fabulous,bad,rather_good
204,back wonderful home next thank left fantastic issue thrill brought word post mini fabulous reach,bad,rather_good
205,back wonderful home next thank left fantastic issue thrill brought word post mouth mini reach,bad,rather_good
206,back wonderful new drinking home change amaze highly next issue thank left set excite share,bad,rather_good
207,back wonderful new drinking home change highly amaze next issue thank left set excite share,bad,rather_good
208,back wonderful new highly drinking home change amaze next issue thank left set excite share,bad,rather_good
209,back wonderful new highly drinking home change amaze next issue thank left set share excite,rather_bad,rather_good
210,back wonderful new home change absolutely amaze next issue thank left wait hope difficult fantastic,bad,rather_good
211,back wonderful new home change amaze next absolutely issue thank left wait difficult office fantastic,rather_bad,rather_good
212,back wonderful new home change amaze next issue thank left lose difficult office fantastic anywhere,bad,rather_good
213,back wonderful new home change drinking amaze husband next issue thank left highly life anyone,bad,rather_good
214,back wonderful new home change next amaze issue thank left lose difficult office fantastic anywhere,bad,rather_good
215,back wonderful new home change next amaze issue thank left lose hope life office fantastic,bad,rather_good
216,back wonderful next life mouth issue thank left sit short fantastic stand eye brought ton,rather_bad,rather_good
217,back wonderful thank issue left next eye customer introduce doctor felt spring brought lose goodness,rather_bad,rather_good
219,bar almond granola nut oat cluster omega- chia yogurt clif flaxseed flax cereal shiitake mar,good,rather_good
220,bar almond granola nut oat cluster omega- chia yogurt flaxseed clif flax cereal shiitake mar,bad,rather_good
221,bar butter peanut nut almond granola yogurt oat raisin cashew quaker walnut bran graham flax,good,rather_good
222,bar cereal butter peanut nut almond cracker granola yogurt oat raisin brownie quaker cashew walnut,good,rather_good
223,bar cereal butter peanut nut almond granola yogurt oat raisin brownie quaker cashew flax walnut,good,rather_good
224,bar cereal butter peanut nut almond granola yogurt oat raisin quaker cashew flax walnut bran,good,rather_good
225,bar cereal butter peanut nut cracker almond granola yogurt oat raisin brownie quaker cashew walnut,good,rather_good
226,bar cereal butter snack cooky peanut nut cracker almond oatmeal cookie granola fruit strawberry crunch,good,rather_good
227,bar cereal nut almond granola snack sweet cinnamon blueberry banana raisin oat crunchy cake cashew,good,rather_good
228,bar cereal peanut nut butter gluten cracker almond cake granola fiber yogurt crunch flour raisin,good,rather_good
229,bar cereal sweet nut yummy oatmeal granola chewy blueberry banana dessert crunch raisin tart crunchy,good,rather_good
230,bar crunchy yummy cinnamon granola crunch sweet yogurt cereal blueberry combination raisin addict flake almond,good,rather_good
231,bar crunchy yummy cinnamon granola crunch yogurt blueberry cereal combination addict raisin sweet almond flake,good,rather_good
232,bar crunchy yummy cinnamon sweet granola crunch yogurt cereal raisin combination flake blueberry almond addict,good,rather_good
233,bar crunchy yummy sweet cinnamon granola crunch yogurt cereal raisin combination flake almond blueberry addict,good,rather_good
234,bar granola nut almond oat cluster omega- cereal yogurt chia snack flax flaxseed sweet shiitake,good,rather_good
235,bar sweet crunchy granola yogurt crunch cereal snack raisin flake combination almond texture cranberry nutritious,good,rather_good
236,bar sweet crunchy yummy cinnamon granola crunch yogurt raisin combination cereal flake almond blueberry addict,good,rather_good
237,bar sweet crunchy yummy cinnamon granola yogurt crunch cereal raisin flake snack almond combination blueberry,good,rather_good
238,bar yummy cinnamon crunchy granola crunch yogurt blueberry combination addict chewy tart raisin almond flake,bad,rather_good
244,bean indiv espresso ual dress fuel ually flower jet herbal illy wake lipton jasmine throat,bad,rather_good
245,bean indiv espresso ual dress fuel ually flower jet herbal wake illy lipton jasmine throat,bad,rather_good
