,text,true,model,model_extracted
4,absolute church truth doug scripture symbol libxmu font bible free undefined type motif error application,1,-1,-1
5,absolute church truth mission nasa doug mars earth free application error type font email symbol,-1,-1,-1
6,absolute mission church nasa mars earth truth lunar shuttle doug telescope symbol planetary libxmu launch,2,1,1
21,access appear digex henry phone toronto informatik mass hamburg price bontchev level comet spencer saturn,-2,-1,-1
22,access appear digex henry toronto informatik phone hamburg mass intercon amanda spencer hole bontchev walker,-2,1,1
23,access appear henry phone digex experience price comet orbit level bontchev saturn secure mass nasa,-2,1,1
24,access appear henry toronto digex cover mass star spencer constant jupiter universe theory radius galaxy,1,1,1
25,access appear henry toronto digex mass cover star spencer hole constant theory jupiter universe radius,-2,-1,-1
26,access appear henry toronto digex spencer cover mass star light hole theory black universe constant,-2,1,1
27,access henry appear toronto digex captain hole star mass spencer harris theory weaver universe light,-1,1,1
28,access henry digex appear toronto informatik intercon hole amanda walker mass hamburg spencer captain cover,-2,1,1
29,access henry toronto digex appear hole informatik intercon amanda walker spencer mass hamburg captain cover,-1,1,1
30,access toronto henry appear digex hole informatik intercon spencer walker amanda captain hamburg mass star,-2,-1,-1
31,access toronto henry appear digex hole informatik intercon spencer walker amanda hamburg star mass cover,-2,1,1
32,access toronto henry appear digex hole informatik intercon walker amanda spencer captain hamburg mass cover,-1,1,1
33,access toronto henry digex appear hole informatik intercon amanda walker spencer hamburg mass captain cover,-2,1,1
38,address send request bear militia amendment receive constitution arms shall mailing free organize regulate organization,-2,1,1
39,address send request bear militia receive amendment constitution arms shall mailing free organize regulate organization,2,1,1
40,address send request receive bear militia free amendment shall constitution arms mailing organize sent regulate,-2,1,1
41,address send request receive militia bear amendment mailing arms shall constitution organize regulate free expo,0,1,1
71,andrew disclaimer james chris lost columbia navy model gary behanna callison houston rick bird chuck,-2,1,1
72,andrew disclaimer james chris lost navy columbia gary behanna model callison rick bird houston baby,-1,1,1
73,andrew disclaimer lost james chris columbia behanna navy callison houston pack bird gary uoknor init,-2,-1,-1
74,andrew homosexual james lost cleveland chris cramer internet bitnet michael gatech virginia freenet clayton sexual,-1,-1,-1
75,andrew homosexual lost james chris cramer bitnet internet gatech michael cleveland virginia clayton sexual male,-2,-2,-2
76,andrew homosexual lost james chris cramer internet bitnet gatech michael clayton male sexual disclaimer virginia,-2,-1,-1
77,andrew james disclaimer chris lost model navy columbia gary behanna callison houston rick bird weight,-1,1,1
78,andrew lost disclaimer james chris columbia navy behanna callison houston bird pack init uoknor gary,-2,-1,-1
79,andrew lost james chris disclaimer model navy columbia gary behanna houston callison rick weight bird,-2,1,1
80,andrew lost james chris disclaimer model navy columbia gary behanna houston callison weight rick bird,-1,1,1
81,andrew lost james disclaimer model chris navy behanna houston callison weight columbia hell uoknor wild,-2,-1,-1
