,task,true,model,model_extracted,true_num,classification_metric
0,pack variety com www http href stash pie grey earl twinings selection bergamot bigelow pecan,bad,NO.</s>,-2,-2,0
1,south island ship secret military rutgers british newspaper nuclear kaldis rockefeller plan naval easter sport,bad,NO.</s>,-2,-2,0
2,piece beef jerky everything season break pill training pocket jack two tender crush nose garbage,bad,NO.</s>,-2,-2,0
3,mix cream ice pour strawberry stir pancake waffle muffin pomegranate frozen whip grainy instead lollipop,good,NO </s>,-2,2,0
4,window display screen color server application manager client create default memory visual colors resource running,good,NO.</s>,-2,2,0
5,magnesium oil olive energy diamond bowel blue rda body blood almond tolerance skin allowance source,good,NO.</s>,-2,2,0
6,encryption chip clipper security escrow secure phone algorithm technology encrypt agency privacy public enforcement protect,good,YES.</s>,2,2,1
7,dry liver freeze gravy movie walk cube lick style portion popped tub reward due beg,bad,NO.</s>,-2,-2,0
8,bone bubble rawh oat gum chewer miso slim china steel mushroom bulldog dubble chew groat,bad,NO.</s>,-2,-2,0
9,year month friend husband gift weight ago lose already none week healthy two thrill start,bad,NO. There is no common topic that can be determined for the majority of the text. The text appears to be a collection of disconnected words and phrases without a clear theme or topic.</s>,-2,-2,0
10,can't run wait iced cocoa bone beat steep alot watery mug canister hear one's everytime,bad,NO.</s>,-2,-2,0
11,ingredient honey list special contains raw splenda berry test label china contain prov book usa,bad,NO.</s>,-2,-2,0
12,israel israeli kill arab palestinian country innocent human civilian murder peace trial killing lebanon soldier,good,"NO. The text does not have a common topic or a clear majority of content related to a specific theme. The text mentions multiple topics such as Israel, Israeli, Arab, Palestinian, country, innocent, human, civilian, murder, peace, trial, and killing, which are not cohesively connected.</s>",-2,2,0
13,argument colorado conclusion music letter fallacy form flame japanese motorcycle therefore occur denizen onur yalcin,bad,NO.</s>,-2,-2,0
14,country land care germany happy money waste german health company proposal europe race european spend,good,"NO. There is no common topic that can be determined for the majority of the text. The text mentions various unrelated topics such as country, land, care, Germany, happy, money, waste, German health, company, proposal, Europe, race, and European spend.</s>",-2,2,0
15,package item receive rice fresh soup disappointed white fast absolutely anyone wrong noodle awesome return,bad,NO.</s>,-2,-2,0
16,drug country nazi german anti society party germany insurance political freedom care free hitler social,good,NO.</s>,-2,2,0
17,mark care insurance business ohio marriage parent child school greg married couple money magnus prince,bad,NO.</s>,-2,-2,0
18,know review since smell bad think people i'll read reviewer though see open another seal,bad,NO.</s>,-2,-2,0
19,wire ground circuit outlet connect wiring voltage electrical cable neutral current panel risc metal instruction,good,NO.</s>,-2,2,0
20,oil salt chew energy help gum bone hair body toy olive skin blue magnesium night,bad,NO.</s>,-2,-2,0
21,problem pay sent ball convenience place crystal leave fancy litter gobble scoop mate spray skeptical,bad,NO.</s>,-2,-2,0
22,cwru mike freenet cleveland previous stephen stand ryan joke story koresh guess wave tape funny,bad,YES.</s>,2,-2,1
