INPUT:wordset,OUTPUT:quality,OUTPUT:topic_name,topic_name_num
able amaze fill stop glad daily fantastic move plenty prime empty job subtle strongly litter,good,feelings,1
absolute mission church nasa mars earth truth lunar shuttle doug telescope symbol planetary libxmu launch,good,astrology ,1
absolute mission church nasa mars earth truth lunar shuttle doug telescope symbol planetary libxmu launch,good,nasa,1
absolute mission church nasa mars earth truth lunar shuttle doug telescope symbol planetary libxmu launch,good,space,1
absolute mission church nasa mars earth truth lunar shuttle doug telescope symbol planetary libxmu launch,good,space mission ,1
absolutely fast white rice service noodle terrible customer grain process satisfied super delivery disappointed experience,good,customer experience,1
absolutely fast white super service customer return terrible satisfied horrible replace sticky process package disgust,good,express expedition,1
absolutely fast white super service customer return terrible satisfied horrible replace sticky process package disgust,good,online shopping,2
absolutely fast white super service customer return terrible satisfied horrible replace sticky process package disgust,good,review,1
absolutely grain there's process terrible experience satisfied replace sticky wild anyway disgust lol freshness average,good,comment,1
absolutely white fast super return customer service experience process terrible horrible satisfied replace sticky lol,good,costumer service ,1
absolutely white fast super return service customer terrible satisfied horrible replace process experience sticky lol,good,sticky,1
absolutely white fast super service customer return terrible satisfied horrible replace sticky process disgust lol,good,customer service ,1
absolutely white fast super service customer return terrible satisfied horrible replace sticky process disgust lol,good,white,1
access appear digex henry toronto informatik phone hamburg mass intercon amanda spencer hole bontchev walker,good,access,1
access appear digex henry toronto informatik phone hamburg mass intercon amanda spencer hole bontchev walker,good,communication,1
access appear digex henry toronto informatik phone hamburg mass intercon amanda spencer hole bontchev walker,good,phone,1
access appear henry phone digex experience price comet orbit level bontchev saturn secure mass nasa,good,space,1
access appear henry phone digex experience price comet orbit level bontchev saturn secure mass nasa,good,space science,1
access appear henry toronto digex cover mass star spencer constant jupiter universe theory radius galaxy,good,space,1
actually texture cut version wheat pasta search miss cook office unlike oat biscuit seriously winner,good,krackers,1
actually texture cut version wheat pasta search miss cook office unlike oat biscuit seriously winner,good,pasta,1
actually texture cut wheat miss oat biscuit unlike seriously quaker country winner absolute whole swiss,good,oats,1
address send request bear militia amendment receive constitution arms shall mailing free organize regulate organization,good,organization,1
address send request bear militia receive amendment constitution arms shall mailing free organize regulate organization,good,email,1
address send request bear militia receive amendment constitution arms shall mailing free organize regulate organization,good,militia,1
address send request receive bear militia free amendment shall constitution arms mailing organize sent regulate,good,request ,1
almond body blue magnesium diamond blood cause reminds bowel rda nutrient level approximately diarrhea source,good,science,1
almond body blue magnesium diamond blood reminds cause bowel rda nutrient approximately diarrhea source level,good,medecin,1
almond body blue magnesium diamond blood reminds cause bowel rda nutrient approximately diarrhea source level,good,nutrition,1
almond body blue magnesium diamond blood reminds cause bowel rda nutrient approximately level diarrhea source,good,almond,1
almond body blue magnesium diamond blood reminds cause bowel rda nutrient approximately level diarrhea source,good,nutrition,1
almond body blue magnesium diamond blood reminds cause bowel rda nutrient approximately level diarrhea source,good,patient,1
almond body smooth blue magnesium cause diamond reminds increase peppermint bowel nutrient rda blood source,good,nutrient,1
always case salty awesome live sour hooked tuna cheddar crispy pantry since tangy new suggest,good,food,1
always case salty awesome live sour hooked tuna cheddar crispy pantry since tangy new suggest,good,tuna,1
always case salty awesome live sour hooked tuna cheddar crispy pantry suggest since new tangy,good,food texture and taste,1
always case salty live awesome sour hooked tuna suggest cheddar crispy pantry since tangy heaven,good,taste,1
always case salty live awesome suggest sour hooked tuna since cheddar crispy pantry tangy heaven,good,taste,1
always powder vitamin aroma supplement teaspoon grow soy form along grass mineral hint hemp tablespoon,good,diet,1
always powder vitamin aroma supplement teaspoon grow soy form along grass mineral hint hemp tablespoon,good,supplement,1
always several powder usually chai gold replacement scoop meal living tablespoon since nature authentic orgain,good,chai,1
always several powder usually chai gold replacement scoop meal living tablespoon since nature authentic orgain,good,powder,1
always sure last case they're two week couple jar part mine maybe someone open seed,good,seeding,1
andrew homosexual lost james chris cramer internet bitnet gatech michael clayton male sexual disclaimer virginia,good,sex,1
anonymous internet news usenet service privacy email electronic congress network user public bill site address,good,internet,2
anonymous news bill public conference congress vote internet usenet anon colorado member abuse service cview,good,hacker,1
anonymous news service usenet conference congress public privacy email electronic internet network bill user server,good,internet,1
anonymous news service usenet privacy network electronic internet email site public user server congress archive,good,hacking,1
anonymous private public news crime server conference internet privacy carry bill paul congress pretty abuse,good,carry,1
anonymous private public news crime server conference internet privacy carry bill paul congress pretty abuse,good,crime ,1
anonymous private public news crime server conference internet privacy carry bill paul congress pretty abuse,good,cyber,1
anonymous private public news crime server conference internet privacy carry bill paul congress pretty abuse,good,news,1
anonymous public private news crime server religion carry pretty bill cview internet paul hold thought,good,news,1
anonymous public private news crime server religion carry pretty bill cview internet paul hold thought,good,news ,1
anonymous public private news crime server religion carry pretty bill cview internet paul hold thought,good,private ,1
anyone son super oatmeal body skin okay pure fall heard mom gas wash improve seriously,good,oatmeal,1
apartment building water left azerbaijani home woman city sumgait dept father face neighbor door crowd,good,living ,1
