,text,true,model
0,pack variety com www http href stash pie grey earl twinings selection bergamot bigelow pecan,bad,good
2,piece beef jerky everything season break pill training pocket jack two tender crush nose garbage,bad,good
3,mix cream ice pour strawberry stir pancake waffle muffin pomegranate frozen whip grainy instead lollipop,good,good
5,magnesium oil olive energy diamond bowel blue rda body blood almond tolerance skin allowance source,good,good
7,dry liver freeze gravy movie walk cube lick style portion popped tub reward due beg,bad,good
8,bone bubble rawh oat gum chewer miso slim china steel mushroom bulldog dubble chew groat,bad,good
9,year month friend husband gift weight ago lose already none week healthy two thrill start,bad,good
10,can't run wait iced cocoa bone beat steep alot watery mug canister hear one's everytime,bad,good
11,ingredient honey list special contains raw splenda berry test label china contain prov book usa,bad,good
15,package item receive rice fresh soup disappointed white fast absolutely anyone wrong noodle awesome return,bad,good
18,know review since smell bad think people i'll read reviewer though see open another seal,bad,good
20,oil salt chew energy help gum bone hair body toy olive skin blue magnesium night,bad,good
21,problem pay sent ball convenience place crystal leave fancy litter gobble scoop mate spray skeptical,bad,good
23,absolutely grain there's process terrible experience satisfied replace sticky wild anyway disgust lol freshness average,bad,good
24,package work receive surprised sample recipe future description party damage pack pleasantly careful say way,bad,good
25,bottle shipping plastic iced delivery glass lemon seller mint lime peach forward prime drinking count,good,good
28,feel normal health oreo birthday particular heart notice dairy adult crisp chia kashi omega- hairball,bad,good
29,right bean candy quick refresh grind mango beverage sweetness ant pineapple cold antiox unique grinder,good,good
32,place container easily soft hold melt together open mess shape stuck chewy somewhat cool around,bad,good
33,stuff coconut health tell believe difference cannot care please notice benefit fact pure horrible case,bad,good
34,pack com www http href fill pie pecan can europe whole clif brewer larabar single,bad,good
37,n't milk diet stomach soy substitute shake sensitive nasty upset allergic dissolve pain gallon zero,good,good
40,per let must choice simply sit seed fish totally age vegan wine jelly ten kit,bad,good
45,green protein powder vitamin body soy normal fiber source mixed contains shake daily con meal,good,good
51,feel actually friend fact notice normal sort particular otherwise issue trouble crisp sensitive gummy might,bad,good
57,away roast dark full rich flavorful pick rest extremely world double drinker magic consistently drank,bad,good
58,mix less problem diet clean switch coat vet crazy ball feed kibble leave wellness spoon,bad,good
59,bottle shipping delivery subscribe hazelnut prime peach charge wine cost gallon kit sparkle mio cola,bad,bad
60,notice believe life show completely face supplement heart fix number common sleep habit doctor recent,bad,good
65,buying sauce regular serve per save cost cheaper red spicy pepper pay subscribe bulk option,bad,good
67,bar almond granola nut oat cluster omega- chia yogurt flaxseed clif flax cereal shiitake mar,good,good
69,ingredient color corn allergy puppy source stevia research filler allergic main yellow list human soy,bad,good
74,value teeth difficult msg pea bone rawh spent what's glutamate monosodium europe potential inexpensive japanese,bad,good
78,green vitamin mountain form teaspoon nutritional mineral smoothie load grass calcium hemp smoothy spaghetti iron,bad,good
80,thing quite expect probably i'd seem n't either wish stock certainly stir though kind end,bad,good
