,INPUT:wordset,INPUT:model_id,INPUT:dataset_name,OUTPUT:quality,homogeneity,assessment
0,able amaze fill glad stop daily fantastic move prime plenty empty subtle job strongly litter,63230c61b8301ca38b7ffbde,amazon_food,"['rather_bad', 'bad', 'rather_bad']",0.7,-1
1,able amaze fill stop glad daily fantastic move plenty prime empty job subtle strongly litter,632306afc52777f2b76a1197,amazon_food,"['bad', 'good', 'bad']",0.7,-2
2,able amaze fill stop glad daily fantastic move plenty prime empty job subtle strongly litter,632309e2a5a57837b841eae2,amazon_food,"['rather_bad', 'bad', 'rather_bad']",0.7,-1
3,able amaze fill stop glad daily fantastic move plenty prime empty job subtle strongly litter,632316e1bd3239d091ddc698,amazon_food,"['bad', 'rather_good', 'rather_bad']",0.3,0
4,able amaze fill stop glad daily fantastic move plenty prime empty job subtle strongly litter,632316f364156252a09343ec,amazon_food,"['rather_bad', 'rather_bad', 'rather_bad']",1.0,-1
5,able amaze fill stop glad daily fantastic move plenty prime empty subtle job strongly litter,6323094769fe8ba23d12e777,amazon_food,"['bad', 'rather_bad', 'rather_bad']",0.7,-1
6,able amaze glad fill stop fantastic daily move prime empty plenty subtle job strongly litter,63230e56f849c89c6187f004,amazon_food,"['bad', 'bad', 'bad']",1.0,-2
7,absolute church truth doug scripture symbol libxmu font bible free undefined type motif error application,631b96a72b337b5d9500c778,20newsgroups,"['rather_good', 'bad', 'bad', 'rather_good', 'rather_good']",0.6,1
8,absolute church truth mission nasa doug mars earth free application error type font email symbol,631b8695d3d80d9e966fc899,20newsgroups,"['rather_bad', 'rather_bad', 'bad', 'rather_bad', 'rather_bad']",0.8,-1
9,absolute mission church nasa mars earth truth lunar shuttle doug telescope symbol planetary libxmu launch,631ba1dba6fa8975eb579abd,20newsgroups,"['good', 'good', 'bad', 'good', 'good']",0.8,2
10,absolutely fast white rice service noodle terrible customer grain process satisfied super delivery disappointed experience,63230f2aeef852a376dcab18,amazon_food,"['good', 'bad', 'rather_bad']",0.3,0
11,absolutely fast white rice service noodle terrible customer grain process satisfied super delivery disappointed experience,632313b2e7f493f3b948f34b,amazon_food,"['rather_bad', 'bad', 'rather_bad']",0.7,-1
12,absolutely fast white super service customer return terrible satisfied horrible replace sticky process package disgust,632600d632591f66b7e6cc1c,amazon_food,"['rather_good', 'rather_bad', 'bad']",0.3,0
13,absolutely fast white super service customer return terrible satisfied horrible replace sticky process package disgust,632605ca395a63a800f6d164,amazon_food,"['bad', 'good', 'rather_good']",0.3,0
14,absolutely fast white super service customer return terrible satisfied horrible replace sticky process package disgust,632607302b337b5d95014054,amazon_food,"['good', 'good', 'good']",1.0,2
15,absolutely grain experience soon there's process anyway true terrible satisfied knew average replace sort wild,632309e2a5a57837b841eae2,amazon_food,"['bad', 'bad', 'rather_bad']",0.7,-2
16,absolutely grain experience soon there's process true anyway knew terrible sort satisfied average replace wild,632316f364156252a09343ec,amazon_food,"['rather_bad', 'bad', 'bad']",0.7,-2
17,absolutely grain experience there's soon process anyway terrible satisfied average true replace sort wild knew,632316e1bd3239d091ddc698,amazon_food,"['bad', 'bad', 'bad']",1.0,-2
18,absolutely grain there's process experience terrible anyway satisfied replace average sticky wild soon disgust lol,6323094769fe8ba23d12e777,amazon_food,"['bad', 'rather_bad', 'rather_bad']",0.7,-1
19,absolutely grain there's process experience terrible satisfied replace anyway sticky wild average disgust lol freshness,6323054a1b24cf3ff71764fe,amazon_food,"['bad', 'bad', 'bad']",1.0,-2
20,absolutely grain there's process terrible experience satisfied replace sticky wild anyway disgust lol freshness average,63230c1a23e8da342a2250ed,amazon_food,"['bad', 'bad', 'good']",0.7,-2
21,absolutely grain there's process terrible satisfied experience replace sticky wild disgust lol freshness anyway gag,63230f63a6fa8975eb57cf9e,amazon_food,"['rather_bad', 'bad', 'bad']",0.7,-2
22,absolutely grain there's terrible satisfied process replace experience sticky wild disgust rice lol freshness gag,63230d58174d83c12d0f686b,amazon_food,"['bad', 'bad', 'bad']",1.0,-2
23,absolutely white fast super return customer service experience process terrible horrible satisfied replace sticky lol,6325db66814e124a8fb0d331,amazon_food,"['good', 'bad', 'rather_good']",0.3,0
24,absolutely white fast super return service customer terrible satisfied horrible replace process experience sticky lol,632315b600ddc44cc4be51b8,amazon_food,"['rather_good', 'rather_bad', 'good']",0.3,0
25,absolutely white fast super service customer return terrible satisfied horrible replace sticky process disgust lol,6323081e31be382c45bf5a33,amazon_food,"['rather_bad', 'good', 'good']",0.7,2
26,absolutely white fast super service customer return terrible satisfied horrible replace sticky process experience disgust,63230e25174d83c12d0f695c,amazon_food,"['bad', 'bad', 'rather_good']",0.7,-2
27,access appear digex henry phone toronto informatik mass hamburg price bontchev level comet spencer saturn,631ba42f27e1a64b305426cf,20newsgroups,"['bad', 'bad', 'rather_bad', 'bad', 'bad']",0.8,-2
